# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: HA_smo6 Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
NGC0444,26.69772,110.141889,1.222871,-3.66925,3.099509,-0.42149,1.054719
NGC0444,30.232955,114.376071,1.146767,-3.741901,3.211633,0.809456,1.277112
NGC0444,33.68824,118.785433,2.047209,-4.935353,3.232887,-0.753558,1.542121
NGC0444,36.770852,129.127209,2.435356,-7.829616,3.537109,-2.753856,2.234027
NGC0444,39.881615,134.333359,3.356937,-10.08362,4.01267,-4.519106,3.105475
NGC0444,43.032539,141.232784,4.709503,-11.324585,5.218494,-6.221021,4.255703
NGC0444,46.391574,161.996336,5.881437,-9.24754,5.41236,-3.370991,4.873646
NGC0444,50.047509,166.081831,8.175304,5.014046,8.043772,9.911057,7.50456
NGC0444,53.622744,176.912794,17.903798,-11.846383,200.959276,-5.680986,194.242908
NGC0444,57.578989,186.564364,217.494346,15.043786,434.512036,14.078056,479.44585
NGC0444,61.398411,184.755088,182.111022,-13.798458,833.79408,5.542969,831.193172
NGC0447,2.164322,58.511347,8.428279,3.008263,6.22636,-29.041811,7.634064
NGC0447,5.105273,98.748148,8.169237,-13.999873,5.060292,-10.952508,10.772815
NGC0447,8.355331,139.273632,10.104837,-9.741322,12.211953,-16.587246,16.768817
NGC0447,11.531354,145.691515,9.251518,-16.33682,12.698999,-25.636576,27.279076
NGC0447,14.655569,113.627567,11.597411,61.802958,13.380946,-39.148034,27.189609
NGC0447,17.855571,97.744328,14.407944,40.775302,5.213363,-48.986936,23.775032
NGC0447,21.029982,123.880516,17.57258,32.663516,7.873304,-18.053965,19.662608
NGC0447,24.23405,147.780112,11.772292,53.271337,8.55184,5.454552,22.725804
NGC0447,27.313925,165.016512,12.407927,41.223425,10.168584,8.934615,23.877341
NGC0447,30.353857,173.794402,14.580649,9.805477,11.800863,15.429145,24.756677
NGC0447,33.581422,181.233431,12.800189,6.339802,13.43004,11.992916,22.300029
NGC0447,36.729662,196.149885,29.144255,-36.272074,42.624287,17.519355,39.621945
NGC0447,39.638961,153.458962,18.339179,-2.758297,36.634546,25.262274,41.227091
NGC0477,2.862766,37.524088,3.007439,1.501952,2.467695,-18.843801,9.669908
NGC0477,6.066555,89.364422,2.894464,-0.858411,3.030681,-21.325796,10.097387
NGC0477,9.18378,130.574454,8.255509,0.893593,3.945104,-9.910885,6.740883
NGC0477,12.305665,146.772601,5.67142,1.7937,4.40426,2.47452,3.686707
NGC0477,15.407404,159.418294,3.296313,8.620343,4.805127,8.054577,3.932683
NGC0477,18.498983,167.870798,2.834894,16.473336,4.774231,9.692377,3.220208
NGC0477,21.597477,175.533541,3.079276,21.95845,4.710734,10.730941,2.735618
NGC0477,24.695629,181.090123,3.351476,24.681523,5.094245,10.310091,3.00166
NGC0477,27.784192,183.514515,2.906381,29.566291,5.588102,8.642839,3.174809
NGC0477,30.925614,184.268557,3.226429,30.924164,5.761358,8.866497,3.194216
NGC0477,34.071794,179.06096,4.106643,28.357931,6.281305,6.690326,3.081041
NGC0477,37.102473,171.940627,3.55747,24.457984,5.954294,2.988704,2.73413
NGC0477,40.239478,173.537906,2.869501,26.033547,5.586884,0.396378,2.544209
NGC0477,43.49019,176.541432,3.439188,21.588365,5.512178,-1.285715,3.100737
NGC0477,46.661013,187.142223,5.259742,20.336859,5.026712,-6.16121,3.447663
NGC0477,49.68542,184.408892,6.357595,13.344646,5.040873,-7.443337,3.41864
NGC0477,52.789992,196.357346,9.646908,10.476875,5.588584,-7.879328,3.636017
NGC0477,55.933267,203.743011,13.812427,16.488459,7.24663,-10.096165,4.636048
NGC0477,59.107156,221.859883,23.541002,22.966465,11.914079,-2.019047,10.318683
NGC0477,62.191356,201.961114,113.03237,27.01569,560.558773,-8.710269,566.599679
NGC0477,65.203548,159.565401,356.664345,30.050647,2087.6385,0.169941,2111.687054
NGC0496,2.74985,44.378339,3.49291,-2.913655,2.232742,2.285657,4.713285
NGC0496,6.470412,85.463624,2.800364,0.107615,2.562846,1.265019,2.191276
NGC0496,10.173142,124.315926,3.989397,2.246577,3.322892,2.094134,1.013239
NGC0496,13.516128,138.991343,3.241503,5.591274,3.694934,0.125512,4.026971
NGC0496,16.706656,144.839126,2.449673,9.114777,4.146951,-2.787589,5.336083
NGC0496,19.827033,147.786853,2.482696,10.907222,4.32807,-4.961742,6.198562
NGC0523,3.607945,53.669918,3.645211,-4.011267,4.060438,41.16985,8.409307
NGC0523,7.634886,100.85671,5.317698,-3.942878,7.110719,43.046292,5.881544
NGC0523,11.555599,133.284055,5.966458,-1.965874,6.643742,31.881118,3.912775
NGC0523,15.002253,162.092487,6.687424,0.686616,4.389049,19.915434,3.090347
NGC0523,18.190975,174.015973,3.486298,3.587768,3.554057,14.197381,1.649246
NGC0523,21.613253,193.427022,5.512406,6.15231,3.417827,5.975373,1.813309
NGC0523,24.86891,205.678506,3.989835,7.730524,4.198533,0.206053,2.090056
NGC0523,28.032387,217.979999,3.774796,7.843931,4.945721,0.891678,2.157076
NGC0523,31.368605,239.295938,4.125949,12.209861,6.328291,7.755849,2.655504
NGC0523,34.669951,251.404392,4.779651,14.492199,7.438337,7.651981,3.855418
NGC0523,37.85779,260.819848,6.832301,18.140359,8.214837,5.725614,5.889563
NGC0523,40.883463,254.49884,7.7164,15.004648,8.25375,-5.332957,6.464788
NGC0523,44.075709,272.470877,8.297216,22.242565,8.09115,-1.444131,5.796689
NGC0523,47.401199,301.159314,8.22695,29.287442,7.678267,-2.187183,5.108518
NGC0523,50.806464,319.754246,8.325429,32.865446,7.51917,-7.437421,3.989189
NGC0523,54.345515,339.9363,13.763323,29.96045,7.750217,-3.074327,3.709905
NGC0523,57.68837,338.693212,20.506426,32.659968,7.558899,-2.249781,5.588393
NGC0523,61.092356,354.528492,25.997194,34.204905,7.808698,1.371752,7.748691
NGC0523,64.686339,327.682321,31.501176,41.903516,8.590902,8.429566,9.961554
NGC0523,68.417636,370.831287,45.065973,22.263609,10.125805,10.136913,11.857842
NGC0523,72.177153,454.68076,75.283182,25.410223,56.711941,25.872909,58.320389
NGC0523,76.118054,546.595749,252.575979,44.805988,460.034462,12.999311,487.105573
NGC0528,2.918933,135.328271,53.893894,65.587641,28.741861,131.885844,39.065192
NGC0528,6.160542,221.778327,18.914958,21.16997,14.193369,52.815761,7.564297
NGC0528,9.368439,204.660968,5.294323,8.013205,9.135879,25.799526,8.931362
NGC0528,12.735979,205.731129,12.35497,6.265815,10.507555,21.601237,9.137755
NGC0528,16.890538,152.877082,24.118753,-18.245926,12.529678,19.080641,11.889824
NGC0528,22.561882,-388.143895,209.820389,-167.937384,99.309381,239.6625,95.129713
NGC0551,3.083488,45.025969,2.998434,8.611557,2.787127,9.979528,7.575295
NGC0551,6.486812,88.719597,2.772367,11.722473,2.640151,13.152451,5.866843
NGC0551,9.853198,120.751122,4.054883,8.513133,2.790672,9.899141,2.416348
NGC0551,13.184293,142.394836,2.942366,4.436985,3.713289,4.927082,1.67583
NGC0551,16.510364,163.431865,2.277167,1.866458,4.437749,0.437757,0.729262
NGC0551,19.831649,178.731072,1.831287,1.176667,5.123584,-2.201573,1.846458
NGC0551,23.147156,184.946348,1.689925,3.978798,5.622918,-4.699391,3.416882
NGC0551,26.489772,186.593727,1.644641,6.215534,5.430989,-8.511951,3.981776
NGC0551,29.898015,190.015824,1.76795,5.717686,4.953956,-9.296272,3.288937
NGC0551,33.268721,198.716659,2.427678,5.444434,5.06927,-8.835823,3.141763
NGC1167,2.317759,95.984555,15.337478,-11.627261,11.93976,-29.772586,24.810637
NGC1167,5.429824,159.197086,13.582173,-21.447868,7.221436,-34.122165,15.086104
NGC1167,8.88738,181.333113,9.145976,-30.707677,8.70363,-35.869612,12.058262
NGC1167,12.141851,177.922173,17.038552,-53.700949,11.619421,-17.182689,13.348153
NGC1167,15.296307,170.7552,10.602785,-41.039562,13.6791,19.12326,9.74172
NGC1167,18.484244,196.453208,11.188811,-17.318249,11.199151,38.123455,6.954252
NGC1167,21.705387,245.959086,13.330835,25.443046,9.310385,41.513861,7.543606
NGC1167,24.90422,257.218585,13.148066,41.903778,9.089514,49.359919,10.281148
NGC1167,27.968262,305.145335,21.807647,52.175727,14.46031,24.192453,8.616501
NGC1167,31.086078,327.464138,12.871822,58.326193,11.816973,1.333876,11.909632
NGC1167,34.211779,331.063274,15.210225,51.218362,10.897519,1.342592,9.408067
NGC1167,37.528791,364.952733,20.905415,64.081147,13.366596,18.770203,5.516108
NGC1167,40.559223,476.455464,46.173169,75.805348,15.715829,40.337343,8.990598
NGC2253,2.467847,38.574367,4.95124,2.769041,1.838574,13.877106,10.244964
NGC2253,5.79791,100.458578,4.033432,5.801456,2.929051,16.024815,9.972892
NGC2253,9.488731,150.674447,6.692596,5.77802,4.225939,8.947618,6.41014
NGC2253,12.964104,169.990124,5.466512,-1.562821,5.031836,2.471806,2.611282
NGC2253,16.114416,173.942226,4.860309,-3.439916,5.387987,-0.820743,1.550371
NGC2253,19.303126,172.89594,4.150294,2.277714,5.653737,0.168357,2.665457
NGC2253,22.502184,169.993759,4.16114,5.10414,5.488444,-0.598715,2.770858
NGC2253,25.589283,172.551042,4.550584,6.320325,5.338034,-2.18886,3.031123
NGC2253,28.705455,171.660822,4.198355,8.689626,5.744764,-5.08997,4.005243
NGC2253,31.849585,173.260734,4.135111,9.158046,5.484982,-6.35031,3.349045
NGC2253,35.021763,173.146308,4.10743,8.992399,5.714416,-9.349736,3.723484
NGC2253,38.105193,178.688216,5.792815,15.246212,6.15602,-5.713318,2.963292
NGC2347,2.544485,148.49826,13.993367,-8.584149,7.466572,-13.791403,36.260574
NGC2347,5.958834,223.067186,7.972052,-10.464633,6.633015,-15.563367,15.07174
NGC2347,9.387603,252.75156,6.434706,-5.026478,7.575924,-13.40281,4.528468
NGC2347,12.465706,258.038982,5.240684,-5.670036,8.418339,-6.680289,2.584407
NGC2347,15.64648,261.199285,5.052606,-5.75782,8.518957,-1.676082,3.829401
NGC2347,18.901608,262.203373,5.351485,-4.87133,8.361594,-1.22027,5.377661
NGC2347,22.000667,262.20987,5.225919,-5.258359,8.361705,-2.967368,6.550022
NGC2347,25.165359,260.108009,4.910688,-6.666959,8.712434,-5.885344,7.35459
NGC2347,28.368983,260.214539,4.846981,-1.260205,9.089263,-9.336572,7.98912
NGC2347,31.485135,258.022161,5.427602,3.195688,8.721614,-12.874625,8.122195
NGC2410,3.618089,162.99251,25.316755,-26.766549,13.173121,-1.306597,36.481452
NGC2410,7.63491,220.065749,9.44376,-22.465145,7.980147,-5.548396,9.310456
NGC2410,11.56045,225.403183,5.619628,-5.493545,7.156314,-1.867982,6.135878
NGC2410,15.485536,220.277523,4.25822,7.274455,8.36348,-4.15467,4.909685
NGC2410,19.000757,210.757573,4.647241,14.315955,8.573094,-0.477262,3.609323
NGC2410,22.303078,203.926637,5.743029,8.985098,7.894525,4.114678,3.54315
NGC2410,25.757147,204.860143,5.176011,-0.027367,7.48568,2.149789,3.491971
NGC2410,29.068606,219.166644,3.611582,-1.874124,7.712171,1.610816,2.599059
NGC2410,32.284449,218.35608,3.977792,-7.941236,8.393909,1.441804,3.617005
NGC2410,35.463594,221.828048,3.809782,-7.396317,8.720431,-3.528114,4.304851
NGC2410,38.665113,227.896083,6.621243,-7.019225,8.636872,-6.992205,5.773473
NGC2480,2.700678,5.062341,5.426366,0.399191,0.978103,1.250596,2.932953
NGC2480,5.681415,19.937332,2.260719,0.773025,1.393712,-8.279117,3.967308
NGC2480,9.079429,16.836932,0.863719,1.401335,0.903708,-6.980749,4.262064
NGC2480,12.579131,16.993797,2.94517,0.695256,1.714181,-6.886627,4.272522
NGC2480,15.83911,18.357851,1.528664,0.426478,1.436488,-4.344967,4.037134
NGC2480,18.980361,27.178987,6.357886,4.077381,3.993057,-10.738991,3.014117
NGC2480,22.083383,35.069086,7.368072,4.307435,5.060816,-21.819661,4.059393
NGC2480,25.134547,32.440954,7.133666,4.983614,4.831177,-29.175235,5.00586
NGC2480,28.247295,39.764047,23.534591,-0.063505,8.102526,-29.926868,7.054381
NGC2480,31.450371,32.910918,16.607303,-24.939502,6.899089,-19.182525,6.427156
NGC2480,35.327635,83.854533,48.20142,-15.020498,9.191355,-29.497602,8.446998
NGC2480,38.849811,344.879507,84.815398,-25.369042,15.318782,-17.989948,14.538947
NGC2486,4.16878,723.418942,169.932788,104.416734,108.565825,408.490443,173.457238
NGC2486,12.402662,80.097969,271.991146,-187.469355,191.170645,75.856888,76.051146
NGC2486,19.001353,-542.060996,187.546239,106.742647,132.699447,10.820626,96.877766
NGC2486,26.779647,-11.244967,200.093238,-255.219434,451.267472,-112.688973,452.640501
NGC2487,2.194138,47.702468,6.203699,-2.898716,5.726524,-33.90674,12.283886
NGC2487,5.164853,95.9839,21.790809,-20.718002,11.893772,-27.86063,10.977799
NGC2487,8.454491,72.771096,17.260777,5.711176,4.907657,35.229909,12.865671
NGC2487,11.668641,196.693015,13.432812,-10.640022,8.070338,-16.829434,9.89665
NGC2487,14.811491,217.088374,13.725299,-1.414328,9.765442,6.192991,5.405161
NGC2487,17.936128,229.355352,12.057919,20.959702,8.407498,19.941525,7.48433
NGC2487,21.100093,225.842562,11.745419,14.212993,7.299889,12.737603,8.598256
NGC2487,24.186511,218.563736,11.792599,20.497717,6.820402,16.763966,8.355772
NGC2487,27.282738,226.348753,12.169735,19.518491,6.959735,15.667273,7.531674
NGC2487,30.464959,238.406442,12.730838,17.720203,7.327174,13.333195,8.131822
NGC2487,33.529414,239.556437,12.043134,21.223461,8.156658,10.439468,7.870431
