# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrad, datatype: float64, description: Expansion velocity}
# - {name: e_Vrad, unit: km / s, datatype: float64, description: Error in expansion velocity}
# - {name: dVsys, unit: km / s, datatype: float64, description: Systemic velocity offset}
# - {name: e_dVsys, unit: km / s, datatype: float64, description: Error in systemic velocity offset}
# delimiter: ','
# meta: !!omap
# - {comments: HA_natv Rotation Curves from 2018ApJ...860...92L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrad,e_Vrad,dVsys,e_dVsys
NGC0447,15.092444,93.94837,49.679524,25.083853,24.900797,8.872904,34.67325
NGC0447,16.839214,108.204387,54.231546,37.353462,33.477199,-38.322272,28.652376
NGC0447,18.575913,208.409003,49.542824,-44.227218,36.685321,-37.332876,29.918643
NGC0447,20.347602,137.706995,50.065198,54.240717,33.818632,5.342532,27.907406
NGC0447,22.142036,110.050644,39.845648,30.108041,30.171433,3.597043,22.373488
NGC0447,23.904444,178.396324,26.592488,10.897436,35.063689,32.080092,21.284473
NGC0447,25.563641,209.578337,27.004483,-65.690363,39.166481,5.178832,21.94103
NGC0447,27.182688,185.863315,27.13527,16.336483,43.891943,18.521902,25.651028
NGC0447,28.735552,180.648314,27.783194,-27.932538,52.494771,20.818358,28.699013
NGC0447,30.43117,181.14547,29.973374,6.046535,62.082672,18.298391,34.540666
NGC0447,32.076717,172.730255,40.95766,15.946696,103.732505,54.228251,36.745109
NGC0447,33.973382,327.471787,67.729033,-391.368792,176.992678,90.501863,36.262867
NGC0447,35.935882,247.740842,94.607312,-71.247119,248.943697,52.669528,83.67577
NGC0447,37.985988,206.355151,94.688632,-8.623729,245.297627,43.292573,116.164184
NGC0447,40.123596,159.919508,237.306461,-43.90867,261.016559,31.760147,310.485696
NGC0477,2.862766,55.707176,10.682191,2.631351,8.997714,-60.498693,27.392045
NGC0477,5.276686,99.428713,19.803343,-0.203367,10.251137,-51.653993,22.581774
NGC0477,7.49573,126.17126,22.611399,-14.187675,11.495549,-35.939,14.82324
NGC0477,9.708152,126.995997,18.882077,-6.891678,10.787789,-16.902636,9.470294
NGC0477,11.52964,141.819087,14.672853,-6.903883,9.932516,-13.112347,8.592288
NGC0477,13.435366,155.820777,11.47123,-3.141603,8.683699,-6.823775,8.048266
NGC0477,15.413016,159.689202,8.895022,10.421924,7.690539,-2.169047,6.319703
NGC0477,17.1906,168.47101,5.527864,12.295771,6.028663,-0.089413,4.648051
NGC0477,18.778724,165.954318,4.622959,18.889332,5.503082,-0.073891,4.147972
NGC0477,20.470185,167.958798,5.007277,20.065008,5.290545,1.162765,4.224212
NGC0477,22.260695,175.554342,5.976965,23.53313,5.488926,1.740295,3.982674
NGC0477,23.921969,181.463091,5.505727,27.349591,5.849592,3.331103,4.024135
NGC0477,25.469289,183.047808,5.576799,27.986673,6.095985,1.719199,4.300878
NGC0477,27.099747,183.420347,4.449809,28.021373,6.414106,2.931828,4.815172
NGC0477,28.81561,184.850057,5.130369,28.119541,6.359407,3.962787,4.900774
NGC0477,30.529067,181.979451,6.303021,31.915927,6.162641,6.742044,5.024677
NGC0477,32.271872,187.590735,7.901072,36.140657,6.236039,5.895247,4.734376
NGC0477,34.039417,179.976822,9.034686,31.930745,6.825177,2.044222,4.574813
NGC0477,35.693254,178.155288,9.948195,32.410631,7.093924,-1.045539,4.473344
NGC0477,37.372921,172.379206,9.95318,30.98852,6.961393,-2.089142,4.410309
NGC0477,39.158118,171.538459,8.927259,31.727557,6.679327,-5.155823,4.512411
NGC0477,40.99914,175.090688,8.023247,30.524687,6.59085,-4.783355,5.322563
NGC0477,42.828951,180.368739,8.340578,26.899384,6.175796,-4.626289,6.412349
NGC0477,44.575626,194.655511,10.46937,23.743024,7.361436,-7.425394,8.348819
NGC0477,46.343794,197.408472,12.813415,26.146826,8.083463,-5.235233,9.825763
NGC0477,48.073405,188.302386,17.468167,18.846225,9.018947,-3.108407,10.052068
NGC0477,49.615063,178.228428,22.685298,6.079142,9.915344,-5.159753,10.143306
