# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: r_arcs, unit: arcsec, datatype: float64, description: outer radius of ring in arcsec}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: outer radius of ring in kpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: outer radius of ring as frac of opt radius}
# - {name: npix, datatype: int64, description: number of available pixels in the ring}
# - {name: ngood, datatype: int64, description: number of unmasked pixels in the ring}
# - {name: ico_avg, unit: K km / s, datatype: float64, format: 10.3f, description: average face-on intensity in ring if ngood/npix > 0.1
#     and setting blanks to zero}
# - {name: ico_rms, unit: K km / s, datatype: float32, description: rms face-on intensity in ring for unmasked pixels}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f, description: 3 sigma detection limit based on emom0max}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f, description: average face-on surface density including He with
#     alphaco=4.3}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e, description: total CO luminosity within the given radius}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e, description: total molecular gas mass within the given radius}
# delimiter: ','
# schema: astropy-2.0
Name,r_arcs,r_kpc,r_r25,npix,ngood,ico_avg,ico_rms,detlim,sigmol,cumlum,cummass
IC1199,9.0,2.978,0.252,50,50,3.535,2.1027381,2.764,15.203,1.7166e+08,7.3812e+08
IC1199,11.0,3.640,0.308,61,61,3.570,1.8098739,2.349,15.351,2.2704e+08,9.7629e+08
IC1199,13.0,4.302,0.364,69,69,3.194,1.5485204,2.120,13.733,2.8309e+08,1.2173e+09
IC1199,15.0,4.964,0.420,80,80,2.784,1.2318008,1.907,11.970,3.3973e+08,1.4609e+09
IC1199,17.0,5.625,0.476,93,93,2.251,1.0035369,1.722,9.679,3.9298e+08,1.6898e+09
IC1199,19.0,6.287,0.532,99,99,1.730,0.91006005,1.645,7.438,4.3653e+08,1.8771e+09
IC1199,21.0,6.949,0.588,119,119,1.377,1.0522304,1.481,5.920,4.7820e+08,2.0563e+09
IC1199,23.0,7.611,0.644,122,122,0.854,1.1481917,1.469,3.671,5.0469e+08,2.1702e+09
IC1199,25.0,8.273,0.700,137,137,0.410,0.900299,1.399,1.765,5.1899e+08,2.2317e+09
IC1199,27.0,8.934,0.756,146,146,0.189,0.78482974,1.371,0.812,5.2601e+08,2.2618e+09
IC1199,29.0,9.596,0.811,154,139,0.065,0.723434,1.357,0.278,5.2854e+08,2.2727e+09
IC1199,31.0,10.258,0.867,167,110,0.055,0.6279553,1.330,0.238,5.3090e+08,2.2829e+09
IC1199,33.0,10.920,0.923,179,74,0.093,0.39832532,1.307,0.401,5.3514e+08,2.3011e+09
IC1199,35.0,11.582,0.979,187,48,0.051,0.31239513,1.313,0.220,5.3757e+08,2.3116e+09
IC1199,37.0,12.243,1.035,200,20,0.022,0.20080529,1.297,0.095,5.3870e+08,2.3164e+09
IC1199,39.0,12.905,1.091,211,24,-0.005,0.15214674,1.297,-0.023,5.3841e+08,2.3152e+09
IC1199,41.0,13.567,1.147,221,11,nan,nan,1.308,nan,5.3841e+08,2.3152e+09
IC1199,43.0,14.229,1.203,238,11,nan,nan,1.304,nan,5.3841e+08,2.3152e+09
IC1199,45.0,14.891,1.259,238,3,nan,nan,1.343,nan,5.3841e+08,2.3152e+09
IC1683,1.0,0.338,0.025,7,7,85.600,10.6822405,11.668,368.082,1.1879e+08,5.1079e+08
IC1683,3.0,1.014,0.076,20,20,56.350,20.18113,6.866,242.305,3.4221e+08,1.4715e+09
IC1683,5.0,1.690,0.127,39,39,33.031,17.513865,4.900,142.034,5.9759e+08,2.5696e+09
IC1683,7.0,2.366,0.177,52,52,15.692,9.025101,4.199,67.475,7.5935e+08,3.2652e+09
IC1683,9.0,3.042,0.228,63,63,8.902,4.5062943,3.660,38.280,8.7053e+08,3.7433e+09
IC1683,11.0,3.718,0.279,76,76,5.495,3.5044537,3.132,23.627,9.5331e+08,4.0993e+09
IC1683,13.0,4.395,0.329,97,97,3.224,3.3393612,2.630,13.865,1.0153e+09,4.3659e+09
IC1683,15.0,5.071,0.380,108,108,1.665,3.2740815,2.315,7.159,1.0510e+09,4.5191e+09
IC1683,17.0,5.747,0.431,123,118,0.772,2.9512095,2.078,3.321,1.0698e+09,4.6001e+09
IC1683,19.0,6.423,0.482,135,85,0.552,1.9278814,1.902,2.373,1.0846e+09,4.6636e+09
IC1683,21.0,7.099,0.532,153,78,0.475,1.3270779,1.715,2.043,1.0990e+09,4.7256e+09
IC1683,23.0,7.775,0.583,169,69,0.407,1.136705,1.619,1.749,1.1126e+09,4.7842e+09
IC1683,25.0,8.451,0.634,180,57,0.293,0.8391753,1.558,1.259,1.1230e+09,4.8291e+09
IC1683,27.0,9.127,0.684,191,43,0.197,0.6717362,1.537,0.849,1.1305e+09,4.8612e+09
IC1683,29.0,9.803,0.735,205,34,0.175,0.5985597,1.510,0.751,1.1376e+09,4.8917e+09
IC1683,31.0,10.479,0.786,241,31,0.110,0.6331108,1.420,0.473,1.1429e+09,4.9143e+09
IC1683,33.0,11.155,0.836,232,22,nan,nan,1.487,nan,1.1429e+09,4.9143e+09
IC1683,35.0,11.832,0.887,255,14,nan,nan,1.453,nan,1.1429e+09,4.9143e+09
IC2247,1.0,0.301,0.018,3,3,11.235,0.27864403,5.602,48.308,1.4308e+07,6.1523e+07
IC2247,3.0,0.902,0.055,8,8,8.996,1.4418836,3.443,38.683,4.4859e+07,1.9290e+08
IC2247,5.0,1.504,0.091,12,12,7.885,2.0344322,2.779,33.906,8.5028e+07,3.6562e+08
IC2247,7.0,2.105,0.128,19,19,6.814,1.7947853,2.095,29.298,1.3998e+08,6.0193e+08
IC2247,9.0,2.707,0.164,23,23,5.961,1.4991313,1.857,25.632,1.9819e+08,8.5220e+08
IC2247,11.0,3.308,0.201,31,31,5.265,1.520114,1.564,22.641,2.6748e+08,1.1502e+09
IC2247,13.0,3.909,0.238,32,32,4.287,1.247724,1.489,18.436,3.2572e+08,1.4006e+09
IC2247,15.0,4.511,0.274,45,45,3.670,1.2647686,1.235,15.780,3.9582e+08,1.7020e+09
IC2247,17.0,5.112,0.311,45,45,3.097,1.2241843,1.204,13.319,4.5499e+08,1.9565e+09
IC2247,19.0,5.714,0.347,51,51,2.599,1.2702698,1.114,11.175,5.1126e+08,2.1984e+09
IC2247,21.0,6.315,0.384,53,53,1.980,1.1833457,1.080,8.513,5.5580e+08,2.3899e+09
IC2247,23.0,6.917,0.420,62,62,1.593,0.9277453,0.984,6.850,5.9773e+08,2.5702e+09
IC2247,25.0,7.518,0.457,69,69,1.271,0.91779685,0.918,5.463,6.3494e+08,2.7303e+09
IC2247,27.0,8.120,0.493,69,69,0.804,0.73584396,0.927,3.455,6.5848e+08,2.8315e+09
IC2247,29.0,8.721,0.530,76,76,0.524,0.6728575,0.874,2.252,6.7538e+08,2.9041e+09
IC2247,31.0,9.322,0.567,82,82,0.392,0.6452058,0.852,1.685,6.8902e+08,2.9628e+09
IC2247,33.0,9.924,0.603,93,93,0.271,0.7290319,0.803,1.167,6.9974e+08,3.0089e+09
IC2247,35.0,10.525,0.640,94,94,0.182,0.681303,0.804,0.783,7.0701e+08,3.0401e+09
IC2247,37.0,11.127,0.676,100,100,-0.018,0.55143934,0.792,-0.078,7.0624e+08,3.0368e+09
IC2247,39.0,11.728,0.713,103,91,-0.148,0.46445847,0.790,-0.638,6.9975e+08,3.0089e+09
IC2247,41.0,12.330,0.749,106,86,-0.010,0.47580168,0.790,-0.042,6.9931e+08,3.0070e+09
IC2247,43.0,12.931,0.786,119,90,0.016,0.4986912,0.760,0.069,7.0012e+08,3.0105e+09
IC2247,45.0,13.533,0.822,116,79,-0.035,0.37510523,0.804,-0.150,6.9840e+08,3.0031e+09
