!! request processed by HyperLeda Sun Mar 29 19:02:11 2015
!! Number of lines in uploaded file: 458
                  name                  |     objname     |     al2000      |     de2000      |   celposj(pgc)   |       l2        |       b2        |      type       |       bar       |      ring       |    multiple     |   compactness   |        t        |       e_t       |       lc        |      e_lc       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |      brief      |     e_brief     |       bt        |      e_bt       |       it        |      e_it       |       ubt       |       bvt       |       ube       |       bve       |      vmaxg      |     e_vmaxg     |      vmaxs      |     e_vmaxs     |      vdis       |     e_vdis      |       mg2       |      e_mg2      |       m21       |      e_m21      |      mfir       |      vrad       |     e_vrad      |      vopt       |     e_vopt      |        v        |       e_v       |       ag        |       ai        |      incl       |       a21       |     lambda      |      logdc      |       btc       |      ubtc       |      bvtc       |      bri25      |      vrot       |     e_vrot      |      m21c       |       hic       |       vlg       |      vgsr       |      vvir       |       v3k       |      modz       |      mod0       |      mabs       |
UGC02229                                |  UGC02229       | 2.7576591       | 0.9143814       | J024527.6+005452 | 171.9285293     | -50.7796608     | Sa              |                 |                 | M               |                 | 0.7             | 2.4             |                 |                 |  1.125          |    0.041        |  0.315          |    0.026        | 177.15          |                 |                 | 14.72           | 0.316           | 13.013          | 0.124           |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 7320.1          |     25          | 7320.1          |  25             | 0.155           | 0.232           | 68.47           | 0.05            |                 | 1.127           | 14.241          |                 |                 | 23.788          |                 |                 |                 |                 | 7425            | 7329.7          | 7254.7          | 7099            | 35.118          |                 | -20.877         |
NGC1093                                 |  NGC1093        | 2.8044889       | 34.41975        | J024816.2+342511 | 148.7672979     | -22.5243355     | SABa            | B               |                 |                 |                 | 2               | 0.5             |                 |                 |  1.065          |    0.049        |  0.188          |    0.024        | 98.34           |                 |                 | 14.353          | 0.372           |                 |                 |                 |                 |                 |                 | 166.57          |    5.06         |                 |                 |                 |                 |                 |                 | 15.142          |  0.09           |                 | 5285.9          |      5          | 5343            |     50          | 5286.5          | 5.2             | 0.379           | 0.234           | 52.75           | 0.03            |                 | 1.093           | 13.687          |                 |                 | 23.148          | 209.27          |    6.5          | 15.115          | 1.428           | 5504.9          | 5387.8          | 5388.2          | 5086.6          | 34.472          |                 | -20.784         |
UGC02403                                |  UGC02403       | 2.9325719       | 0.6926177       | J025557.3+004133 | 175.1263221     | -49.1361064     | SBa             | B               |                 |                 |                 | 1.3             | 0.9             |                 |                 |  1.136          |    0.038        |  0.358          |    0.027        | 150.15          |                 |                 | 14.799          | 0.247           | 12.586          | 0.352           |                 |                 |                 |                 | 154.57          |     5.3         |                 |                 |                 |                 |                 |                 | 17.01           | 0.266           | 11.024          | 4122            |    5.8          | 4155.9          |    2.1          | 4151.9          | 7.8             | 0.39            | 0.345           | 71.34           | 0.05            |                 | 1.158           | 14.013          |                 |                 | 23.802          | 163.15          |   5.64          | 16.958          | 2.945           | 4248.3          | 4153.6          | 4083.1          | 3944            | 33.866          |                 | -19.854         |
UGC02405                                |  UGC02405       | 2.9326694       | 6.4948056       | J025557.6+062941 | 169.3718141     | -44.8582092     | Sc              |                 |                 |                 |                 | 5.7             | 0.6             |                 |                 |  1.132          |    0.047        |  0.425          |    0.052        | 167.25          |                 |                 | 14.706          | 0.071           | 13.097          | 0.037           |                 |                 |                 |                 | 191.81          |    4.67         |                 |                 |                 |                 |                 |                 | 15.918          | 0.149           |                 | 7696.5          |    5.5          | 7709            |     60          | 7696.6          | 4.3             | 0.749           | 0.735           | 70.53           | 0.05            |                 | 1.186           | 13.186          |                 |                 | 23.288          | 203.45          |   5.02          | 15.868          | 2.681           | 7816.9          | 7715.8          | 7656.9          | 7486.4          | 35.24           |                 | -22.054         |
UGC02465                                |  UGC02465       | 3.0103833       | 35.1689709      | J030037.4+351008 | 150.7517251     | -20.6300862     | Sa              |                 |                 |                 |                 | 0.9             | 0.4             |                 |                 |  1.103          |    0.044        |  0.606          |    0.031        | 142.67          |                 |                 | 14.618          | 0.32            |                 |                 |                 |                 |                 |                 | 185.75          |    8.69         |                 |                 |                 |                 |                 |                 | 16.613          | 0.189           |                 | 5097            |    8.1          | 5079            |      7          | 5086.6          | 7.3             | 0.712           | 0.439           |   90            | 0.83            |                 | 1.146           | 13.403          |                 |                 | 23.315          | 185.75          |                 | 15.787          | 2.384           | 5299.6          | 5182.9          | 5189.8          | 4900.8          | 34.387          |                 | -20.984         |
NGC1167                                 |  NGC1167        | 3.0284351       | 35.2057302      | J030142.4+351221 | 150.9350486     | -20.4856531     | S0              |                 |                 |                 |                 | -2.4            | 0.6             |                 |                 |   1.26          |    0.036        |  0.121          |     0.03        | 70              |                 |                 | 13.455          | 0.132           |                 |                 | 0.6             | 1.1             |                 |                 | 213.96          |    7.78         |                 |                 | 204.29          |   9.51          |                 |                 | 15.595          | 0.174           |                 | 4956.8          |      5          | 4954            |    6.6          | 4955.8          | 3.1             | 0.784           |  0              | 49.05           | 0.02            |                 | 1.349           | 12.597          | 0.436           | 0.87            | 23.491          | 283.28          |  10.75          | 15.574          | 2.977           | 5168.1          | 5051.5          | 5058.9          | 4771.1          | 34.335          |                 | -21.738         |
NGC1349                                 |  NGC1349        | 3.5243167       | 4.3808611       | J033127.5+042251 | 179.9331157     | -40.15778       | S0              |                 |                 |                 |                 | -2              | 0.4             |                 |                 |  0.959          |    0.078        |      0          |    0.032        |                 | 23.373          |   0.305         | 14.207          | 0.218           |                 |                 | 0.54            | 1.13            | 0.605           | 1.16            | 168.59          |    8.69         |                 |                 |                 |                 |                 |                 | 16.476          | 0.259           |                 | 6594.5          |    7.4          | 6595            |    5.9          | 6594.8          | 3.3             | 0.945           |  0              |    0            | 0.02            |                 | 1.065           | 13.163          | 0.358           | 0.858           | 22.761          |                 |                 | 16.454          | 3.291           | 6679.8          | 6583.6          | 6537.9          | 6432.6          | 34.895          |                 | -21.731         |
NGC1542                                 |  NGC1542        | 4.287275        | 4.7815833       | J041714.2+044654 | 188.2980006     | -30.977515      | Sab             |                 |                 |                 |                 | 2               | 0.3             |                 |                 |  1.085          |    0.039        |  0.483          |    0.033        | 127.67          |                 |                 | 14.969          | 0.318           |                 |                 |                 |                 |                 |                 | 185.07          |    9.44         |                 |                 |                 |                 |                 |                 | 17.394          | 0.193           | 13.637          | 3754            |    7.9          | 3714.5          |    7.7          | 3733.9          | 14.5            | 0.913           | 0.547           | 80.78           | 0.1             |                 | 1.152           | 13.471          |                 |                 | 23.492          | 187.49          |   9.59          | 17.291          | 3.819           | 3783.8          | 3693.9          | 3673.4          | 3638            | 33.638          |                 | -20.167         |
UGC03038                                |  UGC03038       | 4.4170225       | 7.1710373       | J042501.3+071016 | 187.3758162     | -28.0090787     | Sb              |                 |                 |                 |                 | 3               | 0.4             |  5              |  0.5            |  1.075          |    0.044        |  0.564          |    0.027        | 34.75           |                 |                 | 15.455          | 0.326           |                 |                 |                 |                 |                 |                 | 227.25          |    6.85         |                 |                 |                 |                 |                 |                 | 16.551          |  0.42           |                 | 8087            |    5.9          | 8089            |    7.5          | 8087.7          | 3.4             | 0.855           | 0.765           | 84.45           | 0.17            |   0.73          | 1.133           | 13.775          |                 |                 | 23.691          | 228.32          |    6.9          | 16.382          | 2.607           | 8141.2          | 8050.3          | 8038.8          | 8002.4          | 35.345          |                 | -21.57          |
UGC03107                                |  UGC03107       | 4.622736        | 9.5444607       | J043721.8+093240 | 187.220641      | -24.1447958     | Sbc             |                 |                 |                 |                 | 4               | 0.3             |                 |                 |  1.002          |     0.04        |  0.625          |    0.027        | 71.2            |                 |                 | 16.15           |  0.5            |                 |                 |                 |                 |                 |                 | 216.25          |    4.97         |                 |                 |                 |                 |                 |                 | 16.321          | 0.253           | 13.349          | 8362.6          |    5.2          | 8361            |    2.2          | 8361.2          | 2.6             | 0.971           | 0.946           | 86.22           | 0.25            |                 | 1.068           | 14.179          |                 |                 | 23.83           | 216.72          |   4.99          | 16.076          | 1.897           | 8414.3          | 8323.6          | 8323.6          | 8293.5          | 35.423          |                 | -21.244         |
