!! request processed by HyperLeda Sun Mar 29 19:02:11 2015
!! Number of lines in uploaded file: 458
                  name                  |     objname     |     al2000      |     de2000      |   celposj(pgc)   |       l2        |       b2        |      type       |       bar       |      ring       |    multiple     |   compactness   |        t        |       e_t       |       lc        |      e_lc       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |      brief      |     e_brief     |       bt        |      e_bt       |       it        |      e_it       |       ubt       |       bvt       |       ube       |       bve       |      vmaxg      |     e_vmaxg     |      vmaxs      |     e_vmaxs     |      vdis       |     e_vdis      |       mg2       |      e_mg2      |       m21       |      e_m21      |      mfir       |      vrad       |     e_vrad      |      vopt       |     e_vopt      |        v        |       e_v       |       ag        |       ai        |      incl       |       a21       |     lambda      |      logdc      |       btc       |      ubtc       |      bvtc       |      bri25      |      vrot       |     e_vrot      |      m21c       |       hic       |       vlg       |      vgsr       |      vvir       |       v3k       |      modz       |      mod0       |      mabs       |
NGC1645                                 |  NGC1645        | 4.7351111       | -5.46575        | J044406.4-052757 | 202.5700209     | -30.7114675     | S0-a            | B               | R               |                 |                 | -0.9            | 0.5             |                 |                 |  1.339          |    0.034        |  0.422          |    0.027        | 89.2            |                 |                 | 14.06           | 0.359           | 11.719          | 0.073           |                 |                 |                 |                 | 117.01          |    7.09         |                 |                 |                 |                 |                 |                 | 15.82           | 0.092           |                 | 4899.3          |    7.1          | 4808            |     22          | 4890.8          | 19.4            | 0.231           |  0              |   90            | 0.83            |                 | 1.344           | 13.756          |                 |                 | 24.409          | 117.01          |                 | 14.994          | 1.238           | 4875.3          | 4803.5          | 4778.2          | 4842.5          | 34.208          |                 | -20.452         |
UGC03151                                |  UGC03151       | 4.7554548       | 11.0679102      | J044519.6+110404 | 187.1064046     | -21.6656962     | Sbc             |                 |                 |                 |                 | 4               |   2             |                 |                 |   1.21          |    0.038        |  0.522          |    0.028        | 94.33           | 23.68           |   0.389         | 15.18           |  0.5            |                 |                 |                 |                 |                 |                 | 226.77          |    8.16         |                 |                 |                 |                 |                 |                 | 16.861          |  0.42           |                 | 4741            |    7.1          | 4377            |    9.8          | 4617.3          | 122             | 2.113           | 0.803           | 78.39           | 0.08            |                 | 1.388           | 12.234          |                 |                 | 24.062          | 231.5           |   8.36          | 16.778          | 4.545           | 4670.2          | 4579.8          | 4587.1          | 4561            | 34.113          | 33.882          | -21.879         |
IC2095                                  |  IC2095         | 4.8126973       | -5.1247886      | J044845.7-050729 | 202.8605377     | -29.5299477     | Sc              |                 |                 |                 |                 | 6               | 0.6             |                 |                 |  1.164          |    0.038        |  0.871          |    0.028        | 55.5            |                 |                 | 15.96           |  0.5            | 15              | 0.074           |                 |                 |                 |                 | 68.65           |    6.59         |                 |                 |                 |                 |                 |                 | 16.55           | 0.092           |                 | 2847            |    8.5          | 2847            |     60          | 2847            |   6             | 0.192           | 1.464           |   90            | 0.83            |                 | 1.147           | 14.291          |                 |                 | 23.879          | 68.65           |                 | 15.724          | 1.433           | 2829.1          | 2757.9          | 2735.8          | 2805.6          | 33.005          |                 | -18.714         |
NGC1677                                 |  NGC1659        | 4.7749927       | -4.7887843      | J044630.0-044720 | 202.2109653     | -29.8646089     | Sbc             |                 | R               |                 |                 | 4               | 0.2             |  5              |  0.1            |  1.176          |    0.033        |  0.204          |    0.022        | 51.45           |                 |                 | 13.205          | 0.036           | 11.712          | 0.103           | -0.03           | 0.66            | -0.04           | 0.57            | 151.88          |    6.89         |                 |                 |                 |                 |                 |                 | 15.859          | 0.246           | 12.059          | 4669.5          |    4.5          | 4575.2          |   15.2          | 4662            | 18.4            | 0.158           | 0.328           | 53.24           | 0.03            |  0.899          | 1.183           | 12.689          | -0.106          | 0.555           | 22.458          | 189.58          |    8.7          | 15.831          | 3.142           | 4647.4          | 4575.2          | 4552.5          | 4616.9          | 34.113          |                 | -21.424         |
IC2101                                  |  IC2101         | 4.8617301       | -6.2313994      | J045142.2-061353 | 204.377564      | -29.4042924     | SBc             | B               |                 |                 |                 | 5               | 0.4             |  3              |  0.5            |  1.246          |    0.029        |  0.667          |    0.025        | 151.86          |                 |                 | 14.42           |  0.5            | 13.025          | 0.429           |                 |                 |                 | 0.89            | 168.58          |    2.81         |                 |                 |                 |                 |                 |                 | 15.549          | 0.104           | 12.069          | 4525.4          |      5          | 4523            |   21.8          | 4525.2          | 3.6             | 0.209           | 1.087           | 85.66           | 0.22            |  0.706          | 1.239           | 13.1            |                 |                 | 23.171          | 169.06          |   2.82          | 15.334          | 2.234           | 4500.2          | 4431.2          | 4408.7          | 4489.2          | 34.034          |                 | -20.934         |
ARP180                                  |  PGC016261      | 4.8901793       | -4.7924206      | J045324.6-044733 | 203.1548677     | -28.3531656     |                 |                 |                 |                 |                 |                 |                 |                 |                 |  1.079          |    0.043        |  0.381          |    0.027        | 19.5            |                 |                 | 15.31           | 0.47            | 13.3            | 0.081           |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 4229            |     25          | 4229            |  25             | 0.14            |                 | 67.59           | 0.04            |                 |                 | 15.128          |                 |                 | 24.443          |                 |                 |                 |                 | 4208.6          | 4138.1          | 4119.3          | 4194.6          | 33.888          |                 | -18.76          |
UGC03253                                |  UGC03253       | 5.3282278       | 84.0525278      | J051941.6+840309 | 128.9602409     | 24.6827375      | Sb              | B               | R               |                 |                 | 3               | 0.4             |                 |                 |  1.138          |    0.041        |   0.27          |    0.025        | 84              |                 |                 | 13.751          | 0.735           | 12.16           |  0.1            |                 |                 |                 |                 | 154.96          |    4.37         |                 |                 |                 |                 |                 |                 | 15.55           | 0.092           | 13.379          | 4120.9          |    4.7          | 4130            |      7          | 4123.7          |   4             | 0.29            | 0.392           | 60.74           | 0.03            |                 | 1.154           | 13.039          |                 |                 | 22.735          | 177.63          |   5.08          | 15.516          | 2.477           | 4361.9          | 4285.4          | 4396.2          | 4087.4          | 34.034          |                 | -20.995         |
NGC2253                                 |  NGC2253        | 6.7282806       | 65.20625        | J064341.8+651222 | 150.1633414     | 23.6626233      | Sc              |                 |                 |                 |                 | 5.8             | 0.5             |                 |                 |  1.154          |    0.033        |  0.131          |    0.022        | 128.4           |                 |                 | 13.178          | 0.494           | 11.504          | 0.039           |                 |                 |                 |                 | 146.53          |    4.15         |                 |                 |                 |                 |                 |                 | 14.86           | 0.097           | 11.692          | 3565.8          |    3.3          | 3563.2          |    4.9          | 3565            | 2.1             | 0.294           | 0.232           | 43.26           | 0.02            |                 | 1.177           | 12.636          |                 |                 | 22.431          | 213.8           |   6.28          | 14.839          | 2.203           | 3747.3          | 3666.4          | 3788.5          | 3586.7          | 33.709          |                 | -21.074         |
UGC03539                                |  UGC03539       | 6.8149766       | 66.2612763      | J064853.9+661541 | 149.1695158     | 24.4208106      | Sbc             | B               |                 |                 |                 | 4.2             | 0.6             |                 |                 |  1.263          |    0.041        |  0.978          |    0.043        | 116.39          |                 |                 | 15.219          | 0.268           | 13.381          | 0.271           |                 |                 |                 |                 | 142.12          |    4.31         |                 |                 |                 |                 |                 |                 | 15.341          | 0.108           | 12.947          | 3307.7          |    5.1          | 3304            |    2.9          | 3304.9          | 2.1             | 0.346           | 1.405           |   90            | 0.83            |                 | 1.256           | 13.447          |                 |                 | 23.672          | 142.12          |                 | 14.515          | 1.068           | 3489            | 3409            | 3532.3          | 3327.1          | 33.565          |                 | -20.118         |
NGC2347                                 |  NGC2347        | 7.2677541       | 64.7107858      | J071603.9+644239 | 151.3841296     | 26.9402308      | Sb              |                 | R               |                 |                 | 3.1             | 0.6             |  2              |  0.5            |  1.216          |     0.04        |   0.14          |    0.034        | 8.33            | 21.894          |   0.311         | 13.314          | 0.127           | 11.502          | 0.064           | 0.17            | 0.76            | 0.2             | 0.875           | 202.18          |    5.99         |                 |                 |                 |                 |                 |                 | 14.939          | 0.133           | 12.141          | 4424.1          |    3.4          | 4422.4          |    6.8          | 4423.8          |   2             | 0.349           | 0.211           | 45.43           | 0.02            |  0.525          | 1.243           | 12.722          | 0.065           | 0.625           | 22.897          | 283.78          |   8.83          | 14.918          | 2.196           | 4594.8          | 4519            | 4648.1          | 4466.1          | 34.151          |                 | -21.43          |
UGC03899                                |  UGC03899       | 7.5438207       | 35.6144924      | J073237.8+353652 | 183.4612527     | 23.258089       | Sab             |                 |                 |                 |                 | 2.1             | 0.4             |                 |                 |   1.04          |     0.04        |  0.613          |    0.022        | 46.77           |                 |                 | 15.541          | 0.381           | 14.468          | 0.301           |                 |                 |                 |                 | 91.09           |       5         |                 |                 |                 |                 |                 |                 | 15.615          | 0.243           |                 | 3884.1          |    7.4          |                 |                 | 3884.1          | 7.4             | 0.277           | 0.672           |   90            | 0.83            |                 | 1.041           | 14.553          |                 |                 | 23.684          | 91.09           |                 | 14.789          | 0.236           | 3925.4          | 3865.7          | 3991.6          | 4024.4          | 33.823          |                 | -19.269         |
NGC2410                                 |  NGC2410        | 7.5839632       | 32.822139       | J073502.3+324920 | 186.5145464     | 22.8664911      | Sb              | B               |                 |                 |                 | 3               | 0.5             |                 |                 |  1.336          |    0.059        |  0.525          |    0.048        | 33.28           |                 |                 | 13.747          | 0.32            | 12.005          |  0.3            |                 |                 |                 |                 | 230.23          |    6.08         |                 |                 |                 |                 |                 |                 | 14.731          |  0.42           | 12.519          | 4678            |   10.3          | 4680.7          |      6          | 4680            | 3.8             | 0.19            | 0.721           | 80.89           | 0.1             |                 | 1.332           | 12.801          |                 |                 | 23.339          | 233.17          |    6.2          | 14.626          | 1.825           | 4706.9          | 4650.2          | 4774.7          | 4830            | 34.208          | 33.97           | -21.406         |
UGC03944                                |  UGC03944       | 7.6434736       | 37.6334871      | J073836.5+373801 | 181.7241055     | 24.9906862      | Sc              |                 | R               |                 |                 | 5.8             | 0.5             |                 |                 |   0.84          |     0.06        |  0.451          |    0.036        | 128.29          |                 |                 | 15.032          | 0.483           | 13.284          | 0.243           |                 |                 |                 |                 | 124.54          |    4.15         |                 |                 |                 |                 |                 |                 | 15.365          | 0.193           |                 | 3897            |    4.4          | 3899            |    4.7          | 3897.9          | 2.3             | 0.267           | 0.781           | 72.05           | 0.05            |                 | 0.847           | 13.967          |                 |                 | 22.101          | 130.91          |   4.39          | 15.311          | 1.343           | 3945.6          | 3886.4          | 4016            | 4039.2          | 33.823          |                 | -19.855         |
UGC03969                                |  UGC03969       | 7.6873094       | 27.6140557      | J074114.3+273651 | 192.321138      | 22.4187214      | Sc              |                 |                 |                 |                 | 5.9             | 0.6             |                 |                 |  1.103          |    0.051        |  0.602          |    0.027        | 134.44          |                 |                 | 15.464          | 0.321           | 13.733          | 0.263           |                 |                 |                 |                 | 217.57          |     7.7         |                 |                 |                 |                 |                 |                 | 16.156          | 0.366           | 13.494          | 8131.3          |    5.9          | 8130            |    7.5          | 8130.8          | 3.1             | 0.222           | 1.033           | 79.97           | 0.1             |                 |   1.1           | 14.173          |                 |                 | 23.565          | 220.95          |   7.83          | 16.061          | 1.888           | 8129.7          | 8079.6          | 8201.4          | 8299.9          | 35.39           |                 | -21.217         |
UGC03973                                |  UGC03973       | 7.7090448       | 49.8098112      | J074232.6+494835 | 168.6022247     | 28.3815073      | Sb              | B               |                 |                 |                 | 3.1             | 0.4             |                 |                 |  1.127          |     0.04        |  0.088          |    0.028        | 73              | 19.778          |   0.325         | 13.659          | 0.338           |                 |                 | -0.52           | 0.59            | -0.76           | 0.495           |    73           |    2.65         |                 |                 |  130            |     10          |                 |                 | 16.167          | 0.125           | 12.793          | 6655.7          |    6.5          | 6649.9          |    8.3          | 6653.5          | 4.1             | 0.307           | 0.133           | 36.72           | 0.02            |                 | 1.153           | 13.169          | -0.613          | 0.459           | 22.884          | 122.07          |   4.71          | 16.146          | 2.977           | 6755.2          | 6689.4          | 6825.7          | 6762            | 34.989          |                 | -21.82          |
UGC03995                                |  UGC03995       | 7.7358929       | 29.2471337      | J074409.2+291450 | 190.8807664     | 23.5674542      | Sbc             |                 |                 | M               |                 | 3.6             | 1.9             |                 |                 |  1.353          |    0.031        |  0.341          |    0.024        | 88.94           |                 |                 | 13.517          | 0.344           |                 |                 |                 |                 |                 |                 | 205.28          |    6.12         |                 |                 |                 |                 |                 |                 | 15.293          | 0.157           | 13.313          | 4752            |    4.8          | 4843            |   10.6          | 4767.4          | 24.3            | 0.146           | 0.522           | 66.44           | 0.04            |                 | 1.353           | 12.819          |                 |                 | 23.431          | 223.94          |   6.74          | 15.252          | 2.433           | 4772.4          | 4721.9          | 4846.5          | 4935.9          | 34.245          |                 | -21.426         |
NGC2449                                 |  NGC2449        | 7.7889746       | 26.9301971      | J074720.3+265549 | 193.5186195     | 23.4621895      | Sab             |                 |                 |                 |                 | 2               | 0.3             |                 |                 |  1.157          |    0.038        |  0.403          |     0.03        | 135.77          |                 |                 | 14.078          | 0.232           | 12.409          | 0.097           |                 |                 |                 |                 | 101.13          |    4.09         |                 |                 |                 |                 |                 |                 | 16.591          |  0.42           |                 | 4778            |   10.3          | 4883.7          |    2.8          | 4876.7          | 18.7            | 0.191           | 0.472           | 73.74           | 0.06            |                 | 1.159           | 13.366          |                 |                 | 23.051          | 105.34          |   4.29          | 16.531          | 3.165           | 4868.9          | 4821.7          | 4945.1          | 5054.1          | 34.281          |                 | -20.915         |
UGC04029                                |  UGC04029       | 7.8052774       | 34.3322151      | J074819.0+341956 | 185.8419415     | 25.9573262      | Sbc             | B               |                 |                 |                 | 3.9             | 0.6             |                 |                 |  1.256          |    0.034        |  0.727          |    0.024        | 64.67           |                 |                 | 14.551          | 0.346           | 12.652          | 0.064           |                 |                 |                 |                 | 160.04          |    3.47         |                 |                 |                 |                 |                 |                 | 14.857          | 0.253           | 12.801          | 4416.2          |    4.6          | 4415            |    7.4          | 4415.9          | 2.9             | 0.235           | 1.067           |   90            | 0.83            |                 | 1.249           | 13.22           |                 |                 | 23.36           | 160.04          |                 | 14.03           | 0.811           | 4443.1          | 4389.6          | 4520.3          | 4575.9          | 34.093          |                 | -20.873         |
UGC04054                                |  UGC04054       | 7.8488937       | 23.8960661      | J075056.0+235346 | 196.9248461     | 23.1775459      | Sb              |                 |                 |                 |                 | 3.1             | 0.5             |  4              |  0.5            |  1.251          |    0.034        |  0.617          |    0.025        | 174.04          |                 |                 | 14.972          | 0.243           | 13.586          | 0.287           |                 |                 |                 |                 | 104.96          |    3.83         |                 |                 |                 |                 |                 |                 | 15.744          | 0.239           |                 | 2121.7          |    3.7          | 2124.2          |    5.7          | 2122.4          | 2.4             | 0.312           | 0.836           |   90            | 0.83            |  0.627          | 1.256           | 13.808          |                 |                 | 24.007          | 104.96          |                 | 14.918          | 1.111           | 2098.1          | 2055.2          | 2176.6          | 2310.6          | 32.507          | 32.16           | -18.699         |
IC0480                                  |  IC0480         | 7.9231089       | 26.7428168      | J075523.2+264434 | 194.3672051     | 25.0931096      | Sbc             |                 |                 |                 |                 | 4               | 0.3             |                 |                 |  1.243          |    0.033        |  0.727          |    0.023        | 167.01          |                 |                 | 14.938          | 0.21            | 13.29           | 0.235           |                 |                 |                 |                 | 152.52          |    3.15         |                 |                 |                 |                 |                 |                 | 15.527          | 0.196           | 12.117          | 4626.8          |    3.7          | 4559.4          |    1.8          | 4572.5          | 18.9            | 0.183           | 1.08            |   90            | 0.83            |                 | 1.231           | 13.646          |                 |                 | 23.67           | 152.52          |                 | 14.701          | 1.055           | 4559.6          | 4515.5          | 4641.8          | 4759.2          | 34.151          |                 | -20.505         |
NGC2476                                 |  NGC2476        | 7.9458806       | 39.9277222      | J075645.2+395540 | 180.2072426     | 28.9824827      | E               |                 |                 |                 |                 | -4.9            | 0.6             |                 |                 |  1.102          |    0.091        |  0.269          |    0.058        | 146.06          | 20.86           |   0.307         | 13.557          | 0.084           |                 |                 | 0.47            | 0.94            | 0.545           | 0.995           |                 |                 |                 |                 | 188.6           |   5.52          | 0.304           | 0.007           |                 |                 |                 |                 |                 | 3729.2          |   15.7          | 3729.2          | 15.7            | 0.229           |  0              |   90            | 0.83            |                 | 1.127           | 13.272          | 0.438           | 0.852           | 22.891          |                 |                 |                 |                 | 3779.2          | 3724            | 3861.2          | 3881.3          | 33.755          |                 | -20.483         |
NGC2480                                 |  NGC2480        | 7.952896        | 23.7797588      | J075710.4+234647 | 197.5896954     | 24.4736271      | SBd             | B               |                 | M               |                 | 8               | 2.6             |                 |                 |   1.12          |    0.038        |   0.41          |     0.03        | 164.02          |                 |                 | 14.978          | 0.37            | 13.828          | 0.173           |                 |                 |                 |                 | 39.62           |    5.38         |                 |                 |                 |                 |                 |                 | 16.771          |  0.42           | 13.504          | 2316            |    5.5          | 2344.9          |      2          | 2341.6          | 6.6             | 0.28            | 0.747           |   90            | 0.83            |                 |  1.13           | 13.945          |                 |                 | 23.49           | 39.62           |                 | 15.945          |   2             | 2313.4          | 2272.9          | 2396.7          | 2537            | 32.734          |                 | -18.789         |
NGC2481                                 |  NGC2481        | 7.9538111       | 23.7676667      | J075713.7+234604 | 197.6069449     | 24.4812135      | S0-a            |                 |                 | M               |                 | 0.2             | 1.9             |                 |                 |  1.133          |    0.036        |  0.383          |    0.028        | 18.67           | 21.086          |    0.54         | 13.626          | 0.534           | 11.296          | 0.078           |                 |                 |                 | 0.96            | 63.29           |    6.41         |                 |                 | 167.49          |   8.37          |                 |                 | 16.921          |  0.42           |                 |                 |                 | 2181.7          |   34.8          | 2181.7          | 34.8            | 0.28            | 0.186           | 77.47           | 0.08            |                 | 1.144           | 13.128          |                 |                 | 22.766          | 64.84           |   6.58          | 16.844          | 3.717           | 2153.4          | 2112.9          | 2236.6          | 2377.1          | 32.585          |                 | -19.458         |
NGC2486                                 |  NGC2486        | 7.965686        | 25.1607759      | J075756.5+250939 | 196.2256832     | 25.1095025      | Sa              |                 |                 |                 |                 | 1.2             | 0.7             |                 |                 |  1.172          |    0.029        |  0.244          |    0.024        | 90.28           | 22.609          |   0.326         | 14.321          | 0.095           | 12.769          | 0.31            | 0.29            | 0.85            | 0.325           | 0.875           | 191.67          |    4.76         |                 |                 |                 |                 |                 |                 | 16.35           | 0.158           |                 | 4649.3          |    4.3          | 4634            |    2.7          | 4638.3          | 5.1             | 0.231           | 0.232           | 60.27           | 0.03            |                 | 1.184           | 13.801          | 0.208           | 0.714           | 23.642          | 220.73          |   5.59          | 16.317          | 2.516           | 4616.3          | 4574.7          | 4700.3          | 4831.4          | 34.17           |                 | -20.37          |
NGC2487                                 |  NGC2487        | 7.9723552       | 25.1492023      | J075820.5+250857 | 196.2713409     | 25.1908982      | Sb              | B               | R               |                 |                 | 3.1             | 0.4             |                 |                 |  1.238          |    0.043        |  0.095          |    0.025        |                 | 22.748          |   0.315         | 13.381          | 0.116           | 12.152          | 0.361           | 0.13            | 0.73            | 0.225           | 0.785           | 119.44          |    4.17         |                 |                 |                 |                 |                 |                 | 15.46           |   0.2           | 13.46           | 4841.4          |    3.8          | 4827.2          |    2.6          | 4831.6          | 4.9             | 0.219           | 0.143           | 37.91           | 0.02            |                 | 1.255           | 12.983          | 0.054           | 0.631           | 23.148          | 194.38          |   7.15          | 15.439          | 2.456           | 4809.4          | 4768            | 4893.7          | 5025.2          | 34.263          |                 | -21.281         |
UGC04132                                |  UGC04132       | 7.9869451       | 32.9149333      | J075913.0+325454 | 188.0733916     | 27.7444252      | Sbc             |                 |                 |                 |                 | 4               | 0.3             |                 |                 |  1.091          |    0.051        |  0.506          |    0.026        | 28.77           |                 |                 | 14.219          | 0.718           | 12.415          | 0.32            |                 |                 |                 |                 | 237.84          |     5.4         |                 |                 |                 |                 |                 |                 | 15.022          | 0.245           | 11.576          | 5210.7          |    5.5          | 5192.8          |    3.2          | 5197.4          | 5.8             | 0.294           | 0.782           | 77.36           | 0.08            |                 | 1.099           | 13.109          |                 |                 | 22.534          | 243.74          |   5.57          | 14.946          | 1.836           | 5212.5          | 5163.9          | 5297.4          | 5372.3          | 34.438          |                 | -21.329         |
