CALIFA_name,Alias
NGC3227f2,NGC3227
NGC3227f3,NGC3227
NGC3300,
NGC3303,
NGC3323,
NGC3353,
NGC3353short,
NGC3381,
NGC3395,
NGC3396,
NGC3406NED01,2MASXJ10514368+5101195
NGC3451,
NGC3499,
NGC3600,
NGC3605,
NGC3610,
NGC3614,
NGC3615,
NGC3619,
NGC3687,
NGC3773,
NGC3811,
NGC3815,
NGC3842,
NGC3847,
NGC3893,
NGC3896,
NGC3905,
NGC3913,
NGC3945,
NGC3990,
NGC3991,
NGC3994,
NGC4003,
NGC4037,
NGC4047,
NGC4149,
NGC4185,
NGC4210,
NGC4211NED01,NGC4211
NGC4211NED02,UGC7277S
NGC4291,
NGC4384,
NGC4388f1,NGC4388
NGC4388f2,NGC4388
NGC4390,
NGC4415,
NGC4431,
NGC4470,
NGC4479,
NGC4486-2,NGC4486
NGC4486-3,NGC4486
NGC4486-4,NGC4486
NGC4486-5,NGC4486
NGC4486-6,NGC4486
NGC4486-7,NGC4486
NGC4486B,UGCA283
NGC4630,
NGC4644,
NGC4676A,IC819
NGC4676B,IC820
NGC4711,
NGC4736,
NGC4816,
NGC4841A,NGC4841
NGC4861a,NGC4861
NGC4861b,NGC4861
NGC4866,
NGC4874,
NGC4956,
NGC4961,
NGC5000,
NGC5016,
NGC5029,
NGC5056,
NGC5145,
NGC5157,
NGC5198,
NGC5205,
NGC5216,
NGC5218,
NGC5267,
NGC5289,
NGC5320,
NGC5338,
NGC5339,
NGC5358,
NGC5376,
NGC5378,
NGC5379,
NGC5394,
NGC5395,
NGC5402,
NGC5406,
NGC5410,
NGC5421NED02,
NGC5423,
NGC5425,
NGC5426,
NGC5427,
NGC5434B,
NGC5439,
NGC5443,
NGC5468,
NGC5473,
NGC5475,
NGC5480,
NGC5481,
NGC5485,
NGC5513,
NGC5519,
NGC5520,
NGC5522,
NGC5525,
NGC5532,
NGC5533,
NGC5546,
NGC5549,
NGC5557,
NGC5559,
NGC5576,
NGC5580,
NGC5587,
NGC5598,
NGC5602,
NGC5610,
NGC5611,
NGC5614,
NGC5616,
NGC5622,
NGC5623,
NGC5630,
NGC5631,
NGC5633,
NGC5635,
NGC5642,
NGC5656,
NGC5657,
NGC5659,
NGC5665,
NGC5675,
NGC5682,
NGC5684,
NGC5687,
NGC5689,
NGC5714,
NGC5720,
NGC5730,
NGC5731,
NGC5732,
NGC5735,
NGC5739,
NGC5772,
NGC5784,
NGC5794,
NGC5797,
NGC5829,
NGC5845,
NGC5876,
NGC5888,
NGC5907f1a,
NGC5907f2a,
NGC5908,
NGC5928,
NGC5929,
NGC5930,
NGC5934,
NGC5935,
NGC5947,
NGC5950,
NGC5951,
NGC5953,
NGC5954,
NGC5957,
NGC5966,
NGC5971,
NGC5980,
NGC5987,
NGC6004,
NGC6020,
NGC6021,
NGC6023,
NGC6027,
NGC6032,
NGC6060,
NGC6063,
NGC6081,
NGC6086,
NGC6090,
NGC6125,
NGC6132,
NGC6146,
NGC6150,
NGC6150B,
NGC6154,
NGC6155,
NGC6166NED01,
NGC6168,
NGC6173,
NGC6186,
NGC6251,
NGC6261,
NGC6264,
NGC6278,
NGC6285,
NGC6286,
NGC6301,
NGC6310,
NGC6314,
NGC6323,
NGC6338,
NGC6361,
NGC6373,
NGC6394,
NGC6411,
NGC6427,
NGC6478,
NGC6497,
NGC6515,
NGC6762,
NGC6786,
NGC6789,
NGC6941,
NGC6945,
NGC6946P1,NGC6946
NGC6946P2,NGC6946
NGC6946P3,NGC6946
NGC6946P4,NGC6946
NGC6946P5,NGC6946
NGC6946P6,NGC6946
NGC6962,
NGC6977,
NGC6978,
NGC7025,
NGC7047,
NGC7052,
NGC7194,
NGC7236,
NGC7253AF1,NGC7253
NGC7253AF2,NGC7253
NGC7253B,NGC7253
NGC7253C,NGC7253
NGC7253C2,NGC7253
NGC7311,
NGC7321,
NGC7364,
NGC7436B,NGC7436
NGC7457,NGC7457
NGC7457NW,NGC7457
NGC7457SE,NGC7457
NGC7461,
NGC7466,
NGC7469,
NGC7489,
NGC7503,
NGC7536,
NGC7549,
NGC7550,
NGC7559B,NGC7559
NGC7562,
NGC7563,
NGC7591,
NGC7608,
NGC7611,
NGC7619,
NGC7623,
NGC7625,
NGC7631,
NGC7653,
NGC7671,
NGC7683,
NGC7684,
NGC7691,
NGC7711,
NGC7716,
NGC7722,
NGC7738,
NGC7768,
NGC7782,
NGC7783NED01,NGC7783
NGC7787,
NGC7800,
NGC7803,
NGC7814f1b,NGC7814
NGC7814f2d,NGC7814
NGC7819,
NGC7824,
NGC784,
PGC0014370,2MASXJ04031675+7143124
PGC0035860,LEDA35860
PGC0063016,2MASXJ19171703+3325309
PGC0067911,2MASXJ22024404+3141444
PGC0213858,2MASXJ11343703+5453289
PGC042068,MCG+01-32-111
PGC070520,MCG+06-50-025
PGC10254,MCG+03-07-047
PGC10652,2MASXJ02485298+5302143
PGC10738,MCG+02-08-014
PGC11179,2MASXJ02573365+0558371
PGC12562,2MASXJ03210041+4133449
PGC12562N,2MASXJ03210041+4133449
PGC1481751,2MASXJ02014081+1519521
PGC213672,2MASXJ10091969+1459268
PGC3086846,2MASXJ09450774+5840088
PGC32873,MCG+07-23-003
PGC37426,MCG+02-30-044
PGC63932,CygA
PGC74050,2MASXJ01581578+3620538
PRCC-02,2MASXJ00195257+2228404
PS15sv,GALEXASCJ161311.68+013532.2
PSNJ08351668+4819011,SDSSJ083516.34+481901.3
PSNJ1504,NGC5837
PTF11owc,SDSSJ091609.98+493732.0
PTF11phk,LAMOSTJ002356.70+293118.7
PTF11ppn,2MASXJ21352164+2656051
PTF11qzq,2MASXJ07192718+5413454
PTF12ikt,2MASXJ01144386+0017100
PTF13ddg,SDSSJ004750.94+314922.5
PTF13dym,SDSSJ232430.20+143903.5
PTF14aaf,2MASXJ14365056+0608214
SDSS-C4-DR33247,MCG+07-18-001
SDSSJ015424,UGC1370
SDSSJ100141.02+371447.4,UGC5391
SDSSJ163658,2MASXJ16372921+405248
SN2000B,NGC2320
SN2000cn,UGC11064
SN2000fa,UGC3770
SN2001br,UGC11260
SN2002ji,NGC3655
SN2003du,UGC9391
SN2003it,UGC40
SN2005W,NGC691
SN2005bl,NGC4070
SN2005mc,UGC4414
SN2006N,MCG+11-08-012
SN2006bd,UGC6609
SN2006ev,UGC11758
SN2006gz,IC1277
SN2006kf,UGC2829
SN2006lf,UGC3108
SN2007N,MCG-01-33-012
SN2007co,MCG+05-43-016
SN2007jd,LEDA1186356
SN2007ke,NGC1129
SN2008C,UGC3611
SN2008bi,NGC2618
SN2008bw,UGC11241
SN2008bz,2MASXJ12385810+1107502
