# %ECSV 1.0
# ---
# datatype:
# - {name: Alias, datatype: string}
# - {name: ledaName, datatype: string}
# - {name: al2000, datatype: float64}
# - {name: de2000, datatype: float64}
# - {name: type, datatype: string}
# - {name: bar, datatype: string}
# - {name: ring, datatype: string}
# - {name: multiple, datatype: string}
# - {name: t, datatype: float64}
# - {name: agnclass, datatype: string}
# - {name: logd25, datatype: float64}
# - {name: e_logd25, datatype: float64}
# - {name: logr25, datatype: float64}
# - {name: e_logr25, datatype: float64}
# - {name: pa, datatype: float64}
# - {name: bt, datatype: float64}
# - {name: it, datatype: float64}
# - {name: m21, datatype: float64}
# - {name: mfir, datatype: float64}
# - {name: vmaxg, datatype: float64}
# - {name: e_vmaxg, datatype: float64}
# - {name: v, datatype: float64}
# - {name: e_v, datatype: float64}
# - {name: ag, datatype: float64}
# - {name: incl, datatype: float64}
# - {name: vrot, datatype: float64}
# - {name: e_vrot, datatype: float64}
# - {name: vvir, datatype: float64}
# - {name: modz, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
Alias,ledaName,al2000,de2000,type,bar,ring,multiple,t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,bt,it,m21,mfir,vmaxg,e_vmaxg,v,e_v,ag,incl,vrot,e_vrot,vvir,modz
NGC1667,NGC1667,4.8103277,-6.319777,SABc,B,R,,5.0,S2,1.273,0.044,0.109,0.053,0.83,12.766,10.825,15.792,11.062,170.54,7.33,4566.6,6.6,0.329,39.81,266.34,12.32,4385.7,34.033
IC2095,IC2095,4.8127108,-5.1247489,Sc,,,,6.0,,1.164,0.038,0.871,0.028,55.2,16.13,15.0,16.55,,68.65,6.59,2847.0,6.0,0.192,90.0,68.65,,2671.4,32.94
IC2098,IC2098,4.8456343,-5.4185662,Sc,,,,5.7,,1.389,0.028,0.865,0.026,96.47,14.66,12.844,15.36,12.948,148.44,5.3,2822.2,7.0,0.208,90.0,148.44,,2645.1,32.94
IC2101,IC2101,4.8617334,-6.2314848,SBc,B,,,5.0,,1.246,0.029,0.667,0.025,159.48,14.42,13.025,15.549,12.069,168.58,2.81,4525.2,3.5,0.209,85.66,169.06,2.82,4344.4,33.993
MCG-01-13-034,PGC016261,4.8901744,-4.7925158,,,,,,,1.079,0.043,0.381,0.027,19.5,15.62,13.3,,,,,4229.0,25.0,0.14,67.59,,,4054.5,33.845
IC391,IC0391,4.955844,78.1890122,Sc,,,,5.0,,1.144,0.068,0.021,0.031,,12.986,,14.691,11.287,55.57,1.94,1554.5,3.4,0.551,18.07,179.14,8.44,1791.8,32.115
UGC03236,UGC03236,5.059225,6.6573611,SABb,B,R,,4.0,,0.986,0.063,0.401,0.044,19.0,15.551,13.512,15.879,,185.8,3.65,8513.5,3.3,0.483,70.5,197.1,3.94,8393.5,35.445
UGC03253,UGC03253,5.3282278,84.0525278,Sb,B,R,,3.0,,1.138,0.041,0.27,0.025,85.82,13.45,12.16,15.55,13.379,154.96,4.37,4123.7,4.0,0.29,60.74,177.63,5.08,4380.6,34.013
UGC03312,UGC03312,5.4779094,22.1134051,Sbc,,,,3.8,,1.071,0.095,0.399,0.064,1.33,16.5,,16.45,,180.78,8.89,5686.5,2.9,2.173,70.6,191.67,9.52,5648.0,34.569
MGC+08-10-07,PGC017334,5.4790917,49.8834167,Sbc,,,,3.8,,0.852,0.058,0.07,0.026,140.0,15.458,,,13.097,,,6962.1,23.5,1.854,32.61,,,7073.2,35.067
MCG+11-08-012,PGC018467,6.141775,64.72375,E,,,,-5.0,,1.06,0.181,0.208,0.081,60.0,14.596,,,,,,4280.0,25.0,0.416,90.0,,,4464.0,34.054
MGC+11-08-25,PGC018729,6.2636584,66.8391992,Sab,,,,2.0,,0.803,0.084,0.19,0.028,125.0,15.273,,15.622,11.758,158.62,9.34,4065.0,14.1,0.465,52.96,198.73,11.87,4258.6,33.952
UGC03513,UGC03513,6.7143778,41.4208056,Sc,,,,6.0,,0.975,0.046,0.376,0.031,80.51,15.553,,16.55,,144.67,5.94,7350.6,5.7,0.645,67.26,156.86,6.48,7424.5,35.168
NGC2253,NGC2253,6.7282806,65.20625,Sc,,,,5.8,,1.154,0.033,0.131,0.022,129.5,12.921,11.504,14.86,11.692,146.53,4.15,3565.0,2.1,0.294,43.26,213.8,6.28,3753.9,33.686
UGC03539,UGC03539,6.8149688,66.2613351,Sbc,B,,,4.2,,1.263,0.041,0.978,0.043,116.34,15.277,13.381,15.341,12.947,142.12,4.31,3304.5,1.6,0.346,90.0,142.12,,3498.4,33.54
UGC03552,UGC03552,6.8309222,28.3710556,SBc,B,,,5.9,,1.017,0.045,0.43,0.028,78.5,15.246,,15.781,,116.32,2.86,4864.5,2.9,0.368,70.73,123.22,3.06,4870.1,34.245
UGC3555,UGC03555,6.8332444,25.6343611,SABb,B,,M,4.0,,1.046,0.079,0.056,0.042,115.0,14.24,,15.269,12.968,76.22,2.02,4653.1,43.0,0.379,29.35,155.49,5.0,4644.0,34.151
UGC3611,UGC03611,6.9532556,20.4374444,S0-a,,,,0.0,,0.983,0.047,0.367,0.029,64.5,15.052,,16.458,12.166,194.64,12.26,4991.9,18.3,0.363,76.49,200.18,12.66,4956.7,34.281
UGC03627,UGC03627,7.0180528,51.2696389,Sc,,R,,6.4,,1.014,0.06,0.174,0.036,80.4,15.083,13.162,15.755,,119.49,5.05,6281.3,5.3,0.32,48.88,158.63,6.89,6408.4,34.853
NGC2315,NGC2315,7.0425227,50.5905812,S0-a,,,,0.0,,1.196,0.081,0.726,0.059,115.5,14.413,,,13.649,,,6277.8,72.4,0.364,90.0,,,6401.9,34.853
NGC2320,NGC2320,7.0950009,50.5810723,E,,,,-4.8,,1.17,0.087,0.253,0.064,138.34,12.932,,,14.068,,,5903.4,29.5,0.298,90.0,,,6028.0,34.723
NGC2333,NGC2333,7.1392628,35.1700742,Sa,,,,1.0,,0.999,0.092,0.156,0.054,38.32,14.049,,15.681,13.492,170.99,4.65,4731.1,7.1,0.286,49.34,225.41,6.59,4777.4,34.208
2MASXJ07142032+7328242,PGC200231,7.2389778,73.4733889,Sbc,,,M,4.0,,,,,,5.0,13.7,,15.018,,62.68,2.14,2707.0,0.8,0.158,,,,2931.6,33.159
2MASXJ07142057+7328502,PGC020460,7.2390472,73.4806204,E,,,M,-4.0,,1.33,0.034,0.31,0.028,174.5,14.08,,,,,,2795.7,59.1,0.158,90.0,,,3020.3,33.217
UGC3770,UGC03770,7.2582365,23.4261556,IAB,B,,,9.8,,0.946,0.05,0.48,0.028,33.94,15.358,,15.335,,148.56,5.39,6377.8,2.1,0.291,90.0,148.56,,6363.6,34.839
NGC2347,NGC2347,7.2677541,64.7107858,Sb,,R,,3.1,,1.216,0.04,0.14,0.034,5.2,13.314,11.502,14.939,12.141,202.18,5.99,4423.8,2.0,0.349,45.43,283.78,8.83,4614.4,34.132
2MASXJ07192718+5413454,PGC2463481,7.3242167,54.2292778,,,,,,,0.44,0.105,0.06,0.028,37.0,17.88,,,,,,,,0.385,29.96,,,,
UGC03789,UGC03789,7.3252472,59.3551111,SABa,B,R,,1.6,,1.159,0.037,0.12,0.03,166.0,13.22,,16.83,12.526,143.39,9.55,3310.0,20.7,0.282,43.2,209.49,14.3,3478.1,33.515
UGC03816,UGC03816,7.3867861,58.0647778,S0,,,M,-2.0,,1.035,0.046,0.08,0.028,112.0,13.778,,,,,,3366.2,13.4,0.267,39.05,,,3529.2,33.565
UGC03843,UGC03843,7.4288304,20.1022816,Sc,,,,5.9,,0.916,0.044,0.44,0.028,147.4,15.464,14.822,16.451,,90.37,2.95,5277.0,0.3,0.229,71.36,95.37,3.13,5248.2,34.421
NGC2276,NGC2276,7.4536264,85.7513925,SABc,B,R,M,5.4,,1.348,0.03,0.109,0.031,18.5,11.994,,14.294,10.307,44.41,1.85,2416.0,5.0,0.432,39.76,69.43,3.02,2679.8,32.973
UGC03899,UGC03899,7.54382,35.6144883,Sab,,,M,2.1,,1.04,0.04,0.613,0.022,46.64,15.383,14.468,15.571,,96.02,4.37,3884.0,3.0,0.277,90.0,96.02,,3939.3,33.8
NGC2410,NGC2410,7.5839628,32.8221293,Sb,B,,,3.1,S2,1.336,0.059,0.525,0.048,32.83,13.791,12.005,15.286,12.519,229.63,5.62,4678.4,4.4,0.19,80.61,232.75,5.74,4719.8,34.189
UGC03944,UGC03944,7.6434737,37.6334915,Sc,,R,,5.7,,0.84,0.06,0.451,0.036,127.35,14.864,13.314,15.372,,125.15,3.57,3898.5,1.8,0.267,72.11,131.5,3.78,3966.0,33.8
UGC03960,UGC03960,7.6729843,23.2749997,E,,,,-4.8,,1.101,0.04,0.152,0.029,46.72,14.764,12.973,,,,,2255.6,1.8,0.202,72.39,,,2248.6,32.585
UGC03969,UGC03969,7.6873134,27.6140919,Sc,,,,5.8,,1.103,0.051,0.602,0.027,134.06,15.434,13.882,16.285,13.494,217.57,7.7,8168.7,2.8,0.222,80.01,220.92,7.83,8184.8,35.39
UGC03973,UGC03973,7.7090448,49.8098112,Sb,B,,,3.0,S,1.127,0.04,0.088,0.028,73.0,13.625,,16.167,12.793,73.0,2.65,6653.5,4.1,0.307,36.74,122.04,4.71,6782.5,34.976
UGC03995,UGC03995,7.735891,29.2472629,SBbc,B,,M,3.6,S2,1.353,0.031,0.341,0.024,87.92,13.485,,15.299,13.313,209.56,6.35,4762.2,19.0,0.146,66.44,228.61,6.99,4787.9,34.208
NGC2431,NGC2431,7.7537444,53.0752778,SBa,B,,,1.0,,0.937,0.11,0.043,0.053,,14.489,,,,,,5679.0,154.9,0.192,26.72,,,5823.9,34.647
MCG+03-20-011,PGC021757,7.7718366,18.3687015,E,,,,-4.0,,1.018,0.048,0.217,0.03,176.36,14.713,12.813,,,,,15771.6,4.4,0.162,86.5,,,15741.0,36.833
NGC2445,NGC2445,7.7819722,39.01525,Sm,,,M,9.4,,1.27,0.036,0.22,0.028,167.0,13.851,,14.838,11.802,214.84,11.9,4006.5,10.0,0.221,61.4,244.69,13.71,4083.6,33.866
NGC2449,NGC2449,7.7889734,26.9301937,SBab,B,,,2.0,,1.157,0.038,0.403,0.03,135.47,14.111,12.401,16.591,,101.13,4.09,4880.6,13.4,0.191,73.74,105.34,4.29,4895.2,34.263
UGC04029,UGC04029,7.8052774,34.3322151,Sbc,B,,,4.0,,1.256,0.034,0.727,0.024,64.43,14.503,12.652,14.968,12.801,159.78,3.27,4417.0,1.3,0.235,90.0,159.78,,4470.5,34.073
UGC04054,UGC04054,7.8488978,23.8960563,SABb,B,R,,3.2,,1.251,0.034,0.617,0.025,173.73,14.984,13.621,14.748,,105.27,3.04,2120.9,2.6,0.312,90.0,105.27,,2120.9,32.467
MGC+11-10-34,PGC022021,7.8595,63.928299,,B,,,,,0.887,0.056,0.207,0.028,74.0,16.86,,,,,,,,0.227,52.77,,,,
IC0480,IC0480,7.923108,26.7426992,Sbc,,,,4.0,,1.243,0.033,0.726,0.025,167.29,15.035,13.199,15.517,12.117,152.52,3.15,4618.5,2.8,0.183,90.0,152.52,,4635.1,34.151
MCG+07-17-002,PGC022212,7.9289904,41.2038856,E,,,,-5.0,,0.921,0.056,0.231,0.027,128.68,15.951,13.973,,,,,22262.0,4.5,0.183,90.0,,,22352.8,37.621
NGC2476,NGC2476,7.9458829,39.9278061,E,,,,-4.9,,1.102,0.091,0.269,0.058,143.24,13.555,,,,,,3729.2,15.7,0.229,90.0,,,3813.9,33.709
NGC2480,NGC2480,7.9528982,23.7797771,SBm,B,,M,9.3,,1.12,0.038,0.41,0.03,163.08,14.997,13.807,16.846,13.504,39.62,5.38,2343.2,4.9,0.28,90.0,39.62,,2345.0,32.661
NGC2481,NGC2481,7.9538157,23.7677168,S0-a,B,,M,-0.3,,1.146,0.038,0.386,0.032,18.5,13.322,11.296,16.921,,63.29,6.41,2180.4,17.5,0.28,81.47,64.0,6.5,2182.2,32.507
NGC2486,NGC2486,7.9656862,25.1608727,SBa,B,R,,1.2,,1.172,0.029,0.244,0.024,89.23,14.321,12.815,16.322,,193.55,4.37,4637.8,4.6,0.231,60.2,223.04,5.14,4647.1,34.151
NGC2487,NGC2487,7.972353,25.1492118,Sb,B,R,,3.1,,1.238,0.043,0.085,0.025,,13.38,12.169,15.461,13.46,119.43,3.22,4830.7,4.4,0.219,35.97,203.31,5.91,4840.1,34.245
NGC2484,NGC2484,7.9744696,37.7866546,S0,,,,-2.1,,1.229,0.034,0.214,0.026,140.69,14.181,12.597,,,,,12238.9,4.3,0.201,64.43,,,12313.5,36.288
UGC04132,UGC04132,7.9869478,32.9148756,Sbc,,,M,4.0,,1.091,0.051,0.506,0.026,28.67,13.836,12.415,15.133,11.576,238.72,5.36,5195.2,4.7,0.294,77.36,244.65,5.53,5245.2,34.404
UGC04140,UGC04140,7.9895004,18.1102501,SABb,B,,,4.0,,1.137,0.038,0.691,0.03,143.43,15.024,14.186,15.456,,114.24,2.99,4713.8,3.2,0.133,90.0,114.24,,4687.0,34.17
UGC04145,UGC04145,7.9944781,15.3868023,SBa,B,R,,0.9,S2,1.162,0.07,0.319,0.043,136.21,14.142,12.9,16.446,11.791,162.52,6.51,4650.0,3.6,0.15,68.46,174.71,7.09,4609.2,34.132
UGC04136,UGC04136,7.9984522,47.4131175,Sa,,,,1.0,,1.201,0.038,0.651,0.025,141.49,14.811,13.058,16.744,,296.0,31.56,6682.2,5.5,0.194,90.0,296.0,,6804.5,34.976
IC0485,IC0485,8.0054953,26.7014796,SABa,B,R,M,1.0,,1.069,0.042,0.688,0.03,153.93,15.329,13.504,16.143,,247.26,8.03,8354.0,11.2,0.175,90.0,247.26,,8372.3,35.434
NGC2507,NGC2507,8.0270046,15.709759,S0-a,,,M,0.1,,1.181,0.104,0.026,0.049,,13.916,,,,,,4574.1,37.3,0.158,21.15,,,4535.8,34.093
UGC04179,UGC04179,8.0349483,0.8095227,Sb,B,,M,3.0,,0.891,0.064,0.18,0.028,158.0,15.468,13.935,15.421,,73.32,2.63,5578.2,7.9,0.247,50.95,94.42,3.47,5465.3,34.505
NGC2513,NGC2513,8.0401849,9.413523,E,,,,-4.9,,1.28,0.035,0.126,0.026,152.69,12.625,,17.894,,63.18,3.28,4702.2,3.0,0.1,63.66,70.5,3.76,4632.0,34.151
UGC04176,UGC04176,8.0452514,40.6786216,Scd,B,,,6.6,,1.063,0.05,0.447,0.028,107.89,15.2,14.538,15.682,,88.18,2.92,3087.2,1.5,0.222,71.25,93.12,3.1,3177.7,33.33
UGC04190,UGC04190,8.049313,16.2992889,S0,B,,,-1.8,,1.098,0.091,0.504,0.054,33.8,14.51,12.669,,,,,4853.6,1.8,0.157,90.0,,,4818.9,34.226
UGC04197,UGC04197,8.0570889,10.0505778,Sb,,,,3.1,,1.236,0.068,0.766,0.05,131.13,14.439,12.995,16.231,,213.38,7.13,4570.8,5.6,0.107,90.0,213.38,,4504.3,34.074
UGC04210,UGC04210,8.0848387,25.0625139,SBc,B,,,5.9,,1.041,0.045,0.638,0.027,36.14,15.38,13.825,15.93,,139.83,3.02,5023.9,6.1,0.17,81.68,141.31,3.06,5035.5,34.317
UGC04195,UGC04195,8.0852278,66.7828611,Sb,B,R,,3.0,,1.187,0.038,0.276,0.026,15.05,14.515,,15.634,,170.06,6.68,4883.8,4.1,0.244,61.33,193.83,7.69,5090.4,34.352
NGC2522,NGC2522,8.1037337,17.7065828,S0-a,,,,0.0,,1.062,0.086,0.546,0.054,33.07,14.101,12.105,,,,,4706.8,1.6,0.268,90.0,,,4680.7,34.17
NGC2526,NGC2526,8.1162841,8.0039028,Sab,,,M,2.4,,0.961,0.103,0.298,0.05,136.68,14.584,13.311,15.039,13.385,155.42,5.44,4544.8,49.7,0.105,64.07,172.81,6.17,4469.4,34.073
UGC04233,UGC04233,8.1214666,8.8690939,Sbc,,,,4.0,,1.15,0.041,0.73,0.025,113.59,15.125,13.588,16.219,,248.7,8.22,8881.9,3.8,0.104,90.0,248.7,,8811.0,35.551
NGC2530,NGC2530,8.1321111,17.8183889,Scd,B,,M,6.6,,1.147,0.037,0.17,0.024,170.54,14.622,12.43,15.504,13.135,67.04,1.57,5028.0,1.1,0.204,48.29,89.8,2.18,5003.2,34.317
UGC04240,UGC04240,8.1350284,14.837764,Sbc,,,,4.0,,1.099,0.041,0.565,0.032,177.99,15.264,13.739,16.157,,248.87,10.92,8526.0,15.9,0.141,81.2,251.83,11.07,8485.9,35.466
UGC04245,UGC04245,8.1460598,18.1942214,SBb,B,,,3.1,,1.151,0.037,0.497,0.033,107.74,14.759,12.681,14.985,13.529,162.72,4.19,5202.7,4.9,0.184,78.53,166.04,4.3,5180.2,34.387
UGC04241,UGC04241,8.1566,57.7631667,SABa,B,,,2.0,,1.012,0.093,0.433,0.052,145.67,14.934,,15.458,,66.59,3.95,1235.0,9.4,0.193,76.44,68.5,4.08,1406.4,31.579
UGC04258,UGC04258,8.1799255,46.9124261,SABc,B,,,6.4,,1.001,0.049,0.538,0.024,123.13,15.645,14.762,15.768,,89.31,2.65,3124.5,1.5,0.219,76.2,91.96,2.74,3247.6,33.385
NGC2540,NGC2540,8.2128998,26.361597,Sc,B,,,5.5,,1.094,0.034,0.284,0.025,123.3,14.397,12.707,16.123,12.94,153.19,3.89,6288.8,8.2,0.148,60.43,176.14,4.54,6310.2,34.81
NGC2543,NGC2543,8.2160906,36.2546197,Sb,B,R,M,3.0,,1.385,0.044,0.333,0.05,52.42,13.08,11.765,14.352,11.939,138.03,5.5,2470.7,2.1,0.298,66.38,150.66,6.08,2542.6,32.839
UGC04280,UGC04280,8.2425948,54.7995167,SABa,B,,,1.1,,1.121,0.078,0.653,0.047,2.14,14.404,13.172,15.52,13.488,156.42,7.17,3512.3,1.6,0.183,90.0,156.42,,3672.3,33.638
IC2247,UGC04299,8.2664118,23.199604,Sbc,,,,4.0,,1.261,0.031,0.83,0.037,149.14,14.038,12.735,16.074,12.671,182.96,4.2,4292.7,3.1,0.228,90.0,182.96,,4299.1,33.972
UGC04310,UGC04310,8.2876841,1.2060699,Sm,,,,8.9,,0.876,0.062,0.045,0.025,9.5,15.271,13.79,15.411,,67.12,1.64,4358.3,2.2,0.134,28.34,141.38,4.07,4254.2,33.952
UGC04308,UGC04308,8.2904917,21.6855556,Sc,B,,M,5.2,,1.199,0.043,0.16,0.028,119.51,13.72,11.667,14.815,,109.01,1.72,3567.2,2.2,0.169,47.37,148.16,2.49,3566.5,33.565
NGC2553,NGC2553,8.2930547,20.9031599,Sa,,R,,1.0,,1.044,0.052,0.22,0.028,56.58,14.695,12.643,,,,,4670.7,1.4,0.161,57.68,,,4666.0,34.151
NGC2554,NGC2554,8.2981892,23.4722394,S0-a,,R,M,-0.1,,1.31,0.034,0.192,0.033,153.75,12.946,,16.801,13.386,241.28,15.77,4128.9,5.6,0.246,55.75,291.9,19.34,4137.6,33.888
UGC04262,UGC04262,8.3174389,83.2663611,Sb,,,,3.0,,1.304,0.057,0.109,0.061,151.68,14.552,,14.871,,187.48,6.7,5698.0,3.3,0.171,40.57,288.26,11.37,5957.6,34.693
NGC2558,NGC2558,8.3202106,20.5106997,Sab,B,,,2.0,,1.155,0.04,0.192,0.029,158.76,13.875,12.219,15.147,,184.46,4.28,4980.3,3.5,0.215,53.16,230.48,5.54,4974.3,34.299
NGC2565,NGC2565,8.3300917,22.0314167,Sbc,B,R,M,3.7,,1.222,0.026,0.358,0.021,165.67,13.295,11.52,14.908,13.241,185.34,3.4,3581.0,4.9,0.206,67.71,200.3,3.71,3583.1,33.59
NGC2572,NGC2572,8.3568397,19.1477711,SBa,B,R,,1.0,,1.085,0.045,0.365,0.03,134.64,14.723,13.245,15.906,,244.91,6.04,7970.3,5.9,0.218,72.82,256.35,6.39,7958.3,35.322
NGC2577,NGC2577,8.3787382,22.5530479,E-S0,,,,-2.9,,1.191,0.038,0.246,0.026,105.0,13.428,,19.109,,222.76,19.81,2112.1,8.9,0.233,76.31,229.28,20.5,2118.1,32.466
UGC04375,UGC04375,8.3864649,22.6646066,SABc,B,,,5.3,,1.23,0.037,0.195,0.022,178.65,12.874,11.468,18.355,,123.15,2.3,2053.8,3.4,0.196,51.74,156.83,3.03,2060.6,32.384
IC2341,IC2341,8.394841,21.4348704,E-S0,,,,-3.1,,1.073,0.038,0.315,0.026,2.58,14.639,12.432,,,,,5132.6,1.7,0.212,90.0,,,5133.3,34.37
IC2361,IC2361,8.4290284,27.8745451,SBab,B,,,2.0,,1.194,0.039,0.491,0.028,77.78,14.764,13.412,17.173,,106.44,4.09,2078.2,4.4,0.162,81.63,107.58,4.14,2112.8,32.466
MCG+07-18-001,PGC023659,8.4334918,40.981077,E,,,,-4.0,,1.158,0.043,0.202,0.03,151.49,15.153,13.486,,,,,17257.4,3.9,0.181,77.98,,,17357.4,37.05
IC2373,IC2373,8.4469401,20.3648365,Sc,B,,M,6.1,,0.772,0.083,0.09,0.027,160.29,15.318,14.659,15.921,,42.35,1.48,7523.2,1.4,0.144,36.26,71.61,2.66,7519.8,35.204
UGC4414,UGC04414,8.4516563,21.6452736,S0-a,B,R,,0.2,,0.998,0.094,0.038,0.047,,14.412,12.932,16.881,,54.1,3.74,7539.8,2.3,0.189,25.53,125.54,9.89,7543.1,35.204
NGC2592,NGC2592,8.4522375,25.97031,E,,,,-4.8,,1.166,0.043,0.09,0.025,47.17,13.555,,,,,,2043.7,16.5,0.255,51.27,,,2069.2,32.384
NGC2596,NGC2596,8.4573682,17.2841269,Sb,,,,3.1,,1.141,0.031,0.436,0.026,63.92,14.211,12.466,15.42,13.141,203.17,4.04,5935.3,1.5,0.177,74.22,211.13,4.23,5916.4,34.678
NGC2595,NGC2595,8.4616721,21.4791171,Sc,B,R,M,5.0,,1.22,0.038,0.17,0.028,30.57,13.165,11.431,14.938,12.852,159.24,3.74,4326.2,3.3,0.172,48.78,211.71,5.17,4328.9,33.993
UGC04425,UGC04425,8.4706637,28.057311,Sb,B,,,2.6,,1.129,0.04,0.542,0.029,132.1,15.059,13.465,16.046,,119.65,2.59,5908.1,3.9,0.15,84.25,120.26,2.61,5944.7,34.693
2MASXJ08281803+0017219,PGC023756,8.471668,0.2893372,S0-a,,R,,-1.0,,0.983,0.05,0.233,0.028,15.17,15.288,13.398,16.271,,96.57,5.82,9100.0,3.9,0.231,63.29,108.1,6.58,8996.8,35.592
IC2378,IC2378,8.4754565,30.4312978,E-S0,,,M,-3.1,,1.118,0.043,0.156,0.027,23.18,14.377,12.863,,,,,15085.2,2.8,0.206,58.26,,,15133.9,36.746
UGC04423,UGC04423,8.5148083,74.6874722,Scd,,,,6.6,,0.975,0.052,0.288,0.036,97.52,15.353,,,,,,3508.0,22.0,0.088,60.32,,,3745.2,33.686
UGC04455,UGC04455,8.5258031,-1.1977411,Sa,B,R,,1.0,,0.92,0.046,0.1,0.022,13.4,15.493,12.953,,,,,9272.3,30.3,0.147,39.99,,,9163.5,35.633
UGC04461,UGC04461,8.5562957,52.532288,Sbc,,,M,4.0,,1.14,0.042,0.513,0.026,43.92,14.399,13.442,15.37,13.097,298.4,14.06,4987.6,2.0,0.163,77.81,305.29,14.42,5143.2,34.37
NGC2604,NGC2604,8.5564206,29.5387746,SBc,B,,M,6.0,,1.17,0.046,0.033,0.023,,13.624,13.264,14.164,12.758,60.28,1.74,2083.4,1.4,0.178,22.44,157.9,5.43,2129.7,32.467
UGC04468,UGC04468,8.5585394,41.5254498,S0,,R,M,-2.0,,1.308,0.033,0.361,0.031,164.78,14.505,12.901,,,,,7409.1,3.2,0.147,90.0,,,7514.5,35.192
SDSSJ083516.34+481901.3,SDSSJ083516.32+481901.4,8.587869,48.3170247,S?,,,,10.0,,0.807,0.213,0.549,0.1,108.0,17.839,16.945,,,,,12868.1,3.4,0.132,90.0,,,13005.6,36.407
NGC2618,NGC2618,8.5982102,0.7071007,Sab,,R,,1.5,,1.316,0.032,0.37,0.028,141.46,13.962,12.395,15.683,,211.07,9.1,4033.1,3.5,0.188,71.9,222.06,9.63,3935.6,33.778
2MASXJ08374557+4928400,PGC2344163,8.6293278,49.4778514,Sc,,,,6.1,,0.626,0.08,0.211,0.027,17.72,16.886,15.836,,,,,15569.1,2.0,0.151,53.19,,,15712.6,36.827
NGC2623,NGC2623,8.6400187,25.7545702,Sb,,,M,2.7,,1.379,0.114,0.536,0.081,36.46,13.984,13.277,16.689,9.847,34.14,1.68,5496.6,30.9,0.178,82.99,34.39,1.7,5526.0,34.521
UGC04532,UGC04532,8.6947938,18.8600017,Sbc,,,,4.1,,1.007,0.051,0.685,0.031,35.02,15.476,14.691,15.79,,102.68,3.12,4631.4,3.1,0.112,90.0,102.68,,4627.3,34.132
NGC2638,NGC2638,8.7071583,37.2210462,S0-a,B,R,,0.1,,1.219,0.065,0.451,0.057,69.88,13.722,12.507,16.703,,228.59,15.41,3853.3,4.8,0.169,90.0,228.59,,3941.5,33.8
UGC04550,UGC04550,8.7210977,13.0857718,Sb,,,,3.3,,1.324,0.033,0.692,0.027,4.62,14.652,13.273,14.135,13.156,117.8,3.11,2067.7,2.0,0.211,90.0,117.8,,2035.1,32.384
NGC2639,NGC2639,8.7272387,50.2055329,Sa,,R,,0.8,S3,1.207,0.075,0.125,0.059,140.0,12.596,,,12.034,269.76,36.42,3225.0,6.7,0.102,44.64,383.91,53.01,3373.7,33.464
UGC04546,UGC04546,8.7309254,51.9911815,Sa,,,,1.0,,1.075,0.084,0.792,0.055,23.97,14.85,13.343,,,,,5209.7,2.8,0.122,90.0,,,5366.2,34.455
UGC04551,UGC04551,8.7349722,49.7939042,S0,,R,,-1.9,,1.233,0.074,0.51,0.061,112.0,13.386,,17.719,,81.29,5.41,1721.1,7.9,0.1,90.0,81.29,,1868.1,32.208
IC2402,IC2402,8.7997317,31.7856829,S0-a,,,,-1.1,,0.912,0.059,0.038,0.028,,15.405,13.253,,,,,20178.1,4.8,0.142,26.31,,,20242.1,37.395
IC2407,IC2407,8.8025467,17.6114502,Sbc,,,M,4.0,,1.098,0.038,0.736,0.025,85.59,15.115,13.442,16.539,,193.33,5.48,6177.5,2.7,0.11,90.0,193.33,,6170.3,34.767
LEDA1530175,PGC1530175,8.8992239,17.3285312,Sc,,,,5.3,,0.559,0.092,0.155,0.033,62.25,17.054,16.08,,,,,19999.5,3.0,0.101,46.72,,,19993.9,37.366
UGC04659,UGC04659,8.9112449,47.1047021,Sd,B,,,7.8,,1.153,0.039,0.517,0.023,108.53,16.392,16.745,15.622,,78.67,2.57,1763.5,7.4,0.118,90.0,78.67,,1902.4,32.209
NGC2691,NGC2691,8.9128642,39.5388353,Sa,,,,1.1,H2,1.1,0.048,0.147,0.047,166.04,13.932,12.754,15.47,12.651,182.38,8.6,4012.9,4.8,0.105,47.92,245.72,12.06,4117.3,33.888
UGC04722,UGC04722,9.0066683,25.6140406,Sd,,,M,8.0,,1.163,0.03,0.769,0.024,31.15,14.982,14.325,14.493,,60.57,1.59,1807.6,12.9,0.171,90.0,60.57,,1846.8,32.162
UGC04730,UGC04730,9.0328851,60.1517639,Sab,,,,1.5,,0.99,0.05,0.321,0.027,89.33,14.327,13.211,,12.421,,,3337.7,1.2,0.182,67.52,,,3532.2,33.565
NGC2730,NGC2730,9.037727,16.8382614,Sd,B,,,8.0,,1.16,0.039,0.18,0.03,71.99,13.78,13.252,15.414,13.209,83.79,2.11,3826.2,1.9,0.118,55.72,101.4,2.65,3822.3,33.732
2MASXJ09065870+2047103,PGC3089961,9.1163077,20.7862729,E,,,,-5.0,,0.96,0.144,0.18,0.106,100.99,16.047,13.965,,,,,24090.7,4.8,0.198,90.0,,,24109.1,37.791
NGC2765,NGC2765,9.1268465,3.3929101,S0,B,,,-1.8,,1.438,0.05,0.469,0.044,105.45,13.179,11.714,,,,,3774.6,1.2,0.139,90.0,,,3706.9,33.662
