InputName       	         NEDName          	     RA_J2000     	    Dec_J2000     	ObjectType	  cz  	 Redshift 	maj_diam_am	min_diam_am
UGC05598                      	UGC 05598                     	10h22m14.01s	+20d35m21.9s	G     	  5636	  0.018800	      1.50	      0.38
UGC06312                      	UGC 06312                     	11h18m00.20s	+07d50m41.6s	G     	  6325	  0.021098	      1.35	      0.58
UGC07012                      	UGC 07012                     	12h02m03.15s	+29d50m52.8s	G     	  3081	  0.010277	       1.7	       0.9
UGC08107                      	UGC 08107                     	12h59m39.78s	+53d20m28.2s	G     	  8300	  0.027685	      1.86	      0.58
UGC08250                      	UGC 08250                     	13h10m20.14s	+32d28m59.5s	G     	  5290	  0.017646	      1.56	      0.30
UGC08267                      	UGC 08267                     	13h11m11.34s	+43d43m34.8s	G     	  7232	  0.024123	      1.40	      0.32
UGC09067                      	UGC 09067                     	14h10m45.46s	+15d12m33.9s	G     	  7840	  0.026151	       1.4	       0.7
UGC09476                      	UGC 09476                     	14h41m32.02s	+44d30m45.9s	G     	  3262	  0.010881	      1.64	      0.97
UGC09537                      	UGC 09537                     	14h48m26.75s	+34d59m53.0s	G     	  8822	  0.029427	      1.42	      0.53
UGC09542                      	UGC 09542                     	14h49m01.19s	+42d27m50.1s	G     	  5461	  0.018217	      1.72	      0.49
UGC09665                      	UGC 09665                     	15h01m32.46s	+48d19m11.1s	G     	  2558	  0.008533	      1.83	      0.42
UGC09759                      	UGC 09759                     	15h10m40.99s	+55d20m59.4s	G     	  3420	  0.011408	       2.0	       0.4
UGC09873                      	UGC 09873                     	15h29m50.65s	+42d37m44.2s	G     	  5616	  0.018733	      1.43	      0.34
UGC09892                      	UGC 09892                     	15h32m51.95s	+41d11m29.2s	G     	  5669	  0.018911	      1.53	      0.39
UGC09919                      	UGC 09919                     	15h35m39.67s	+12d36m23.0s	G     	  3183	  0.010617	      1.58	      0.21
UGC10043                      	UGC 10043                     	15h48m41.21s	+21d52m09.8s	G     	  2161	  0.007208	      2.69	      0.35
UGC10123                      	UGC 10123                     	15h59m02.96s	+51d18m16.8s	G     	  3770	  0.012575	      1.52	      0.45
UGC10205                      	UGC 10205                     	16h06m40.18s	+30d05m56.7s	G     	  6556	  0.021868	      1.56	      0.83
UGC10331                      	UGC 10331                     	16h17m21.13s	+59d19m12.4s	G     	  4471	  0.014914	       1.7	       0.3
UGC10380                      	UGC 10380                     	16h25m49.91s	+16d34m33.8s	G     	  8752	  0.029194	      1.62	      0.32
UGC10384                      	UGC 10384                     	16h26m46.68s	+11d34m49.0s	G     	  4966	  0.016565	       1.3	       0.3
UGC10710                      	UGC 10710                     	17h06m52.52s	+43d07m19.9s	G     	  8387	  0.027976	       1.5	       0.4
