# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RACTR, unit: deg, datatype: float64}
# - {name: DCCTR, unit: deg, datatype: float64}
# - {name: offset, unit: arcsec, datatype: float64, description: offset from ned position. Only not equal to 0 when a 2D-Gaussian-fitted
#     position is used}
# - {name: XPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: YPOSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: INCFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: PAFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VSYSFIT(-1/0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VDISPFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous
#     fit}
# - {name: VROTFIT(0/1), datatype: int64, description: 0=fixed to input value; 1=fitted per ring; -1=fixed to mean value of previous fit}
# - {name: FTYPE, datatype: int64}
# - {name: WFUNC, datatype: int64}
# - {name: BADFLAG, datatype: int64, description: 'BADFLAG = 1 when some ringlog exits, but Bbarolo fails to produce at least one of the
#     plots'}
# - {name: RAD, unit: arcsec, datatype: float64}
# - {name: VROT, unit: km / s, datatype: float64}
# - {name: DISP, unit: km / s, datatype: float64}
# - {name: INC, unit: deg, datatype: float64}
# - {name: P.A., unit: deg, datatype: float64}
# - {name: Z0, unit: arcsec, datatype: float64}
# - {name: XPOS, unit: pix, datatype: float64}
# - {name: YPOS, unit: pix, datatype: float64}
# - {name: VSYS, unit: km / s, datatype: float64}
# - {name: E_VROT1, unit: km / s, datatype: float64}
# - {name: E_VROT2, unit: km / s, datatype: float64}
# - {name: E_PA1, unit: deg, datatype: float64}
# - {name: E_PA2, unit: deg, datatype: float64}
# - {name: E_VSYS1, unit: km / s, datatype: float64}
# - {name: E_VSYS2, unit: km / s, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RACTR,DCCTR,offset,XPOSFIT(-1/0/1),YPOSFIT(-1/0/1),INCFIT(-1/0/1),PAFIT(-1/0/1),VSYSFIT(-1/0/1),VDISPFIT(0/1),VROTFIT(0/1),FTYPE,WFUNC,BADFLAG,RAD,VROT,DISP,INC,P.A.,Z0,XPOS,YPOS,VSYS,E_VROT1,E_VROT2,E_PA1,E_PA2,E_VSYS1,E_VSYS2
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,10.5,194.928,8.0,64.5,157.572,0.302,88.279,88.996,4665.846,-8.343,7.044,-6.2,5.55,-4.848,4.198
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,13.5,192.787,8.0,64.5,158.006,0.302,88.279,88.996,4663.268,-5.048,4.679,-4.011,2.961,-3.02,2.547
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,16.5,195.837,8.0,64.5,161.039,0.302,88.279,88.996,4666.104,-5.134,5.095,-3.094,2.498,-2.743,2.531
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,19.5,205.572,8.0,64.5,159.573,0.302,88.279,88.996,4667.456,-4.679,3.671,-4.556,4.672,-3.078,2.781
IC1199,242.64312,10.04036,0.0,0,0,0,1,1,0,1,1,1,0,22.5,206.962,8.0,64.5,156.275,0.302,88.279,88.996,4666.149,-7.745,7.349,-3.667,4.145,-3.804,3.831
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,1.5,110.361,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-3.821,5.209,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,4.5,137.824,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-22.578,17.914,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,7.5,195.184,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-18.131,13.437,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,10.5,195.865,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-7.539,5.793,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,13.5,190.912,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-5.886,5.721,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,16.5,195.837,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-4.871,5.22,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,19.5,206.041,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-5.396,4.595,,,,
IC1199,242.64312,10.04036,0.0,0,0,0,-1,-1,0,1,1,1,0,22.5,204.619,8.0,64.5,160.075,0.302,88.279,88.996,4666.239,-7.784,7.032,,,,
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,0,1,1,1,0,1.5,157.294,8.0,54.8,200.627,0.296,88.897,89.032,4776.487,-8.963,7.543,-12.468,7.767,-7.144,5.103
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,0,1,1,1,0,4.5,210.896,8.0,54.8,186.717,0.296,88.897,89.032,4778.142,-10.287,8.006,-5.593,6.574,-11.747,12.551
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,0,1,1,1,0,7.5,198.016,8.0,54.8,194.803,0.296,88.897,89.032,4770.501,-8.512,8.352,-6.503,6.677,-5.005,5.01
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,0,1,1,1,0,10.5,191.853,8.0,54.8,193.811,0.296,88.897,89.032,4775.39,-8.943,7.386,-4.433,6.082,-10.176,9.579
IC1683,20.6621180314,34.4371200283,1.31,0,0,0,1,1,0,1,1,1,0,13.5,198.578,8.0,54.8,199.843,0.296,88.897,89.032,4780.797,-14.691,13.941,-7.133,5.811,-7.275,6.584
