# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC4210,22.5,318,0.02012,0.007576
NGC4211NED02,1.5,25,0.2499,0.03304
NGC4211NED02,4.5,72,0.1095,0.04563
NGC4211NED02,7.5,123,0.02683,0.01442
NGC4211NED02,10.5,128,0.009365,0.006669
NGC4211NED02,13.5,91,0.006138,0.005123
NGC4211NED02,16.5,35,0.003591,0.004076
NGC4211NED02,19.5,0,0.0,0.0
NGC4211NED02,22.5,0,0.0,0.0
NGC4470,1.5,20,0.0457,0.004241
NGC4470,4.5,57,0.04843,0.009169
NGC4470,7.5,95,0.04736,0.01407
NGC4470,10.5,132,0.03933,0.01848
NGC4470,13.5,143,0.03544,0.02021
NGC4470,16.5,152,0.03391,0.01985
NGC4470,19.5,166,0.0281,0.01677
NGC4470,22.5,172,0.01778,0.01155
NGC4644,1.5,8,0.06132,0.003796
NGC4644,4.5,24,0.0572,0.006266
NGC4644,7.5,42,0.05656,0.01012
NGC4644,10.5,58,0.05242,0.015
NGC4644,13.5,74,0.04646,0.01745
NGC4644,16.5,91,0.03735,0.02136
NGC4644,19.5,104,0.02985,0.0228
NGC4644,22.5,92,0.02936,0.02096
NGC4676A,1.5,18,0.7698,0.07513
NGC4676A,4.5,54,0.5219,0.1362
NGC4676A,7.5,89,0.2374,0.1199
NGC4676A,10.5,127,0.06946,0.0605
NGC4676A,13.5,108,0.02074,0.01879
NGC4676A,16.5,75,0.009503,0.008127
NGC4676A,19.5,64,0.008881,0.007359
NGC4676A,22.5,53,0.01036,0.007453
NGC4711,1.5,15,0.08012,0.005355
NGC4711,4.5,43,0.06969,0.008407
NGC4711,7.5,74,0.0596,0.009583
NGC4711,10.5,105,0.05157,0.01308
NGC4711,13.5,133,0.04784,0.01546
NGC4711,16.5,162,0.04155,0.01539
NGC4711,19.5,188,0.03032,0.01168
NGC4711,22.5,201,0.01832,0.008973
NGC4961,1.5,19,0.07522,0.008441
NGC4961,4.5,58,0.06171,0.01331
NGC4961,7.5,97,0.04948,0.01523
NGC4961,10.5,135,0.03836,0.01699
NGC4961,13.5,152,0.02854,0.01273
NGC4961,16.5,143,0.0164,0.007495
NGC4961,19.5,78,0.01081,0.003603
NGC4961,22.5,18,0.007931,0.002262
NGC5000,1.5,26,0.3776,0.05527
NGC5000,4.5,80,0.1721,0.07125
NGC5000,7.5,127,0.03816,0.02666
NGC5000,10.5,120,0.01225,0.008569
NGC5000,13.5,127,0.01937,0.01202
NGC5000,16.5,170,0.0236,0.01236
NGC5000,19.5,184,0.01922,0.009886
NGC5000,22.5,170,0.01157,0.006676
NGC5016,1.5,21,0.124,0.006371
NGC5016,4.5,65,0.1086,0.009568
NGC5016,7.5,109,0.09165,0.01377
NGC5016,10.5,151,0.07726,0.01195
NGC5016,13.5,195,0.05933,0.012
NGC5016,16.5,238,0.04051,0.01195
NGC5016,19.5,275,0.02509,0.009074
NGC5016,22.5,267,0.01643,0.006403
NGC5056,1.5,13,0.1672,0.02135
NGC5056,4.5,40,0.1213,0.03625
NGC5056,7.5,69,0.08064,0.02798
NGC5056,10.5,94,0.05844,0.01412
NGC5056,13.5,122,0.04326,0.009221
NGC5056,16.5,150,0.03297,0.009334
NGC5056,19.5,174,0.02496,0.008303
NGC5056,22.5,195,0.01758,0.007644
NGC5205,1.5,0,0.0,0.0
NGC5205,4.5,0,0.0,0.0
NGC5205,7.5,7,0.009984,0.001552
NGC5205,10.5,55,0.01048,0.003744
NGC5205,13.5,109,0.02039,0.01025
NGC5205,16.5,136,0.02993,0.0151
NGC5205,19.5,154,0.03082,0.01709
NGC5205,22.5,173,0.02457,0.01509
NGC5218,1.5,24,3.275,0.3718
NGC5218,4.5,73,1.789,0.5492
NGC5218,7.5,122,0.6025,0.2825
NGC5218,10.5,169,0.1873,0.1214
NGC5218,13.5,219,0.08236,0.06148
NGC5218,16.5,229,0.05863,0.05372
NGC5218,19.5,207,0.06293,0.06762
NGC5218,22.5,172,0.06679,0.07475
NGC5394,1.5,9,1.489,0.1087
NGC5394,4.5,28,1.106,0.2859
NGC5394,7.5,48,0.6886,0.3722
NGC5394,10.5,67,0.3963,0.3548
NGC5394,13.5,80,0.2464,0.2838
NGC5394,16.5,71,0.2055,0.2228
NGC5394,19.5,64,0.1604,0.1687
NGC5394,22.5,61,0.1175,0.1258
NGC5406,1.5,5,0.01167,0.002197
NGC5406,4.5,15,0.01312,0.003862
NGC5406,7.5,33,0.009768,0.004889
