# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: '# of pixels in ring'}
# - {name: SURFDENS, unit: Jy km / (arcsec2 s), datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: Jy km / (arcsec2 s), datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RADIUS,NPIX,SURFDENS,ERR_SD
NGC4149,22.5,30,0.01405,0.007316
NGC4185,1.5,0,0.0,0.0
NGC4185,4.5,5,0.0388,0.01462
NGC4185,7.5,32,0.04612,0.02388
NGC4185,10.5,60,0.04292,0.02365
NGC4185,13.5,73,0.03142,0.01721
NGC4185,16.5,78,0.03594,0.02148
NGC4185,19.5,84,0.03855,0.01916
NGC4185,22.5,51,0.03475,0.01838
NGC4210,1.5,0,0.0,0.0
NGC4210,4.5,1,0.01168,1.897e-06
NGC4210,7.5,16,0.02,0.01437
NGC4210,10.5,91,0.04633,0.02202
NGC4210,13.5,145,0.04466,0.02197
NGC4210,16.5,176,0.04427,0.0209
NGC4210,19.5,185,0.03728,0.01707
NGC4210,22.5,155,0.0301,0.02063
NGC4211NED02,1.5,24,0.4395,0.1254
NGC4211NED02,4.5,72,0.09517,0.07447
NGC4211NED02,7.5,69,0.01893,0.01388
NGC4211NED02,10.5,18,0.008626,0.009367
NGC4211NED02,13.5,1,0.0002212,0.005267
NGC4211NED02,16.5,0,0.0,0.0
NGC4211NED02,19.5,0,0.0,0.0
NGC4211NED02,22.5,0,0.0,0.0
NGC4470,1.5,20,0.03201,0.006296
NGC4470,4.5,57,0.03827,0.01299
NGC4470,7.5,96,0.04954,0.02048
NGC4470,10.5,116,0.04229,0.01935
NGC4470,13.5,110,0.04538,0.02538
NGC4470,16.5,116,0.05033,0.02534
NGC4470,19.5,112,0.03882,0.0205
NGC4470,22.5,97,0.02788,0.01392
NGC4644,1.5,8,0.04601,0.007475
NGC4644,4.5,25,0.04876,0.0108
NGC4644,7.5,41,0.05746,0.01742
NGC4644,10.5,57,0.05733,0.02002
NGC4644,13.5,70,0.05455,0.02485
NGC4644,16.5,81,0.04834,0.02937
NGC4644,19.5,79,0.04563,0.03104
NGC4644,22.5,66,0.04466,0.02992
NGC4676A,1.5,18,1.141,0.1841
NGC4676A,4.5,55,0.6199,0.2542
NGC4676A,7.5,90,0.1949,0.1657
NGC4676A,10.5,101,0.03618,0.0413
NGC4676A,13.5,43,0.01203,0.007942
NGC4676A,16.5,14,0.01092,0.00503
NGC4676A,19.5,2,0.01008,0.001555
NGC4676A,22.5,0,0.0,0.0
NGC4711,1.5,15,0.09227,0.02631
NGC4711,4.5,44,0.07606,0.02412
NGC4711,7.5,72,0.06266,0.02088
NGC4711,10.5,95,0.05459,0.01884
NGC4711,13.5,122,0.05579,0.02061
NGC4711,16.5,143,0.04866,0.02263
NGC4711,19.5,148,0.03834,0.0202
NGC4711,22.5,113,0.02705,0.01249
NGC4961,1.5,19,0.09165,0.02581
NGC4961,4.5,53,0.07147,0.03056
NGC4961,7.5,91,0.05916,0.0237
NGC4961,10.5,120,0.04766,0.02143
NGC4961,13.5,115,0.04077,0.01999
NGC4961,16.5,74,0.02341,0.011
NGC4961,19.5,24,0.01986,0.01266
NGC4961,22.5,23,0.0206,0.01336
NGC5000,1.5,26,0.6681,0.2231
NGC5000,4.5,71,0.1504,0.1218
NGC5000,7.5,48,0.02143,0.01498
NGC5000,10.5,45,0.0193,0.01381
NGC5000,13.5,89,0.02883,0.02235
NGC5000,16.5,126,0.03855,0.01667
NGC5000,19.5,137,0.02806,0.01729
NGC5000,22.5,78,0.01882,0.01141
NGC5016,1.5,22,0.1558,0.01784
NGC5016,4.5,65,0.1096,0.01626
NGC5016,7.5,108,0.09626,0.02286
NGC5016,10.5,150,0.08136,0.02057
NGC5016,13.5,195,0.06196,0.01995
NGC5016,16.5,227,0.04234,0.02035
NGC5016,19.5,216,0.02656,0.01268
NGC5016,22.5,137,0.02216,0.009939
NGC5056,1.5,13,0.2397,0.05961
NGC5056,4.5,41,0.1279,0.07123
NGC5056,7.5,67,0.07902,0.03832
NGC5056,10.5,95,0.0608,0.01537
NGC5056,13.5,122,0.04539,0.01266
NGC5056,16.5,143,0.03573,0.0131
NGC5056,19.5,163,0.02834,0.01249
NGC5056,22.5,170,0.02035,0.01064
NGC5205,1.5,0,0.0,0.0
NGC5205,4.5,0,0.0,0.0
NGC5205,7.5,0,0.0,0.0
NGC5205,10.5,1,0.01418,0.002851
NGC5205,13.5,12,0.03014,0.02153
NGC5205,16.5,33,0.05031,0.03323
NGC5205,19.5,35,0.07444,0.03061
NGC5205,22.5,43,0.04536,0.02567
NGC5218,1.5,24,5.248,1.282
NGC5218,4.5,73,1.735,1.047
NGC5218,7.5,121,0.3832,0.2982
NGC5218,10.5,161,0.1793,0.1304
NGC5218,13.5,194,0.07909,0.06456
NGC5218,16.5,173,0.07949,0.07939
NGC5218,19.5,150,0.09318,0.1035
NGC5218,22.5,123,0.09591,0.1013
NGC5394,1.5,10,2.164,0.3045
NGC5394,4.5,27,1.328,0.5542
NGC5394,7.5,49,0.7088,0.5287
NGC5394,10.5,58,0.4337,0.4106
NGC5394,13.5,52,0.343,0.3167
NGC5394,16.5,46,0.2791,0.2452
NGC5394,19.5,48,0.2005,0.1955
NGC5394,22.5,39,0.1461,0.1532
NGC5406,1.5,0,0.0,0.0
NGC5406,4.5,0,0.0,0.0
NGC5406,7.5,0,0.01285,2.598e-06
NGC5406,10.5,12,0.01793,0.01245
NGC5406,13.5,49,0.02983,0.02245
