# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5614,19.5,263,0.02315,0.02681
NGC5614,22.5,145,0.02963,0.03508
NGC5633,1.5,20,0.2487,0.007224
NGC5633,4.5,64,0.2202,0.01319
NGC5633,7.5,104,0.1922,0.01473
NGC5633,10.5,149,0.1649,0.02165
NGC5633,13.5,189,0.1259,0.03145
NGC5633,16.5,226,0.07783,0.03263
NGC5633,19.5,245,0.03839,0.02075
NGC5633,22.5,196,0.01964,0.01254
NGC5657,1.5,10,0.1342,0.01717
NGC5657,4.5,32,0.08863,0.0353
NGC5657,7.5,52,0.04379,0.03153
NGC5657,10.5,50,0.02745,0.02412
NGC5657,13.5,34,0.01851,0.01734
NGC5657,16.5,29,0.008255,0.005494
NGC5657,19.5,11,0.005293,0.002374
NGC5657,22.5,2,0.004539,0.000489
NGC5784,1.5,20,0.01918,0.01118
NGC5784,4.5,57,0.02763,0.01718
NGC5784,7.5,82,0.02963,0.01852
NGC5784,10.5,90,0.02203,0.01421
NGC5784,13.5,87,0.01237,0.007532
NGC5784,16.5,51,0.006312,0.005356
NGC5784,19.5,1,0.003978,0.0008975
NGC5784,22.5,0,0.0,0.0
NGC5908,1.5,6,0.5124,0.01021
NGC5908,4.5,19,0.5115,0.02032
NGC5908,7.5,31,0.5145,0.03698
NGC5908,10.5,44,0.5307,0.07364
NGC5908,13.5,57,0.5298,0.1026
NGC5908,16.5,68,0.5053,0.1138
NGC5908,19.5,85,0.4432,0.1085
NGC5908,22.5,95,0.3691,0.106
NGC5930,1.5,20,1.437,0.1399
NGC5930,4.5,59,0.8561,0.2324
NGC5930,7.5,100,0.3278,0.1561
NGC5930,10.5,140,0.08856,0.06448
NGC5930,13.5,141,0.0176,0.02145
NGC5930,16.5,48,0.00648,0.005056
NGC5930,19.5,17,0.00635,0.002
NGC5930,22.5,2,0.006647,0.001092
NGC5934,1.5,16,0.5377,0.03165
NGC5934,4.5,48,0.4137,0.07433
NGC5934,7.5,81,0.2486,0.0934
NGC5934,10.5,112,0.1218,0.07941
NGC5934,13.5,131,0.05553,0.04673
NGC5934,16.5,112,0.02436,0.02141
NGC5934,19.5,62,0.009065,0.00629
NGC5934,22.5,21,0.004789,0.0011
NGC5947,1.5,1,0.005085,3.457e-05
NGC5947,4.5,32,0.006464,0.002319
NGC5947,7.5,80,0.01055,0.005964
NGC5947,10.5,106,0.01444,0.008587
NGC5947,13.5,119,0.01485,0.007236
NGC5947,16.5,121,0.01106,0.004905
NGC5947,19.5,71,0.00612,0.002739
NGC5947,22.5,1,0.004768,0.0001266
NGC5953,1.5,25,1.052,0.04398
NGC5953,4.5,75,0.8539,0.09865
NGC5953,7.5,128,0.53,0.1201
NGC5953,10.5,176,0.2326,0.09262
NGC5953,13.5,227,0.06324,0.04272
NGC5953,16.5,278,0.01231,0.01418
NGC5953,19.5,174,0.007608,0.00824
NGC5953,22.5,49,0.01285,0.009138
NGC5980,1.5,12,0.362,0.02265
NGC5980,4.5,34,0.2972,0.03865
NGC5980,7.5,57,0.2403,0.04554
NGC5980,10.5,78,0.1991,0.05046
NGC5980,13.5,103,0.1586,0.05154
NGC5980,16.5,126,0.1242,0.04601
NGC5980,19.5,149,0.08808,0.04014
NGC5980,22.5,171,0.05597,0.03017
NGC6004,1.5,23,0.1441,0.02188
NGC6004,4.5,66,0.07979,0.0347
NGC6004,7.5,111,0.0394,0.02639
NGC6004,10.5,156,0.03361,0.02133
NGC6004,13.5,203,0.03545,0.0216
NGC6004,16.5,241,0.02922,0.01865
NGC6004,19.5,245,0.01651,0.01166
NGC6004,22.5,232,0.008965,0.005339
NGC6060,1.5,11,0.1535,0.00633
NGC6060,4.5,36,0.1454,0.0171
NGC6060,7.5,61,0.1274,0.01729
NGC6060,10.5,86,0.08753,0.02324
NGC6060,13.5,109,0.05901,0.02543
NGC6060,16.5,135,0.04839,0.02453
NGC6060,19.5,158,0.04688,0.02603
NGC6060,22.5,176,0.04666,0.02545
NGC6155,1.5,20,0.1186,0.007295
NGC6155,4.5,60,0.1065,0.01454
NGC6155,7.5,100,0.086,0.01835
NGC6155,10.5,141,0.07258,0.01944
NGC6155,13.5,180,0.06232,0.01636
NGC6155,16.5,221,0.04828,0.01699
NGC6155,19.5,261,0.03148,0.01763
NGC6155,22.5,260,0.01955,0.01523
NGC6168,1.5,5,0.04487,0.006365
NGC6168,4.5,20,0.0391,0.01131
NGC6168,7.5,32,0.03382,0.01379
NGC6168,10.5,45,0.02852,0.01417
NGC6168,13.5,48,0.02586,0.01195
NGC6168,16.5,52,0.026,0.01444
NGC6168,19.5,55,0.02199,0.01161
NGC6168,22.5,60,0.01694,0.008097
NGC6186,1.5,9,0.9758,0.07643
NGC6186,4.5,27,0.7231,0.2094
NGC6186,7.5,45,0.4402,0.2705
NGC6186,10.5,64,0.2712,0.2496
NGC6186,13.5,83,0.1757,0.1924
NGC6186,16.5,99,0.1213,0.1389
NGC6186,19.5,109,0.09304,0.1029
NGC6186,22.5,112,0.0781,0.08008
NGC6301,1.5,10,0.01307,0.006217
NGC6301,4.5,39,0.01534,0.009407
NGC6301,7.5,77,0.01871,0.01178
NGC6301,10.5,112,0.02279,0.01251
NGC6301,13.5,145,0.02449,0.01438
NGC6301,16.5,161,0.02529,0.01564
NGC6301,19.5,173,0.02602,0.01597
NGC6301,22.5,167,0.02335,0.01288
NGC6314,1.5,15,0.08394,0.02133
NGC6314,4.5,45,0.06204,0.02786
NGC6314,7.5,74,0.03087,0.01798
NGC6314,10.5,71,0.01513,0.009381
NGC6314,13.5,58,0.007146,0.003392
NGC6314,16.5,36,0.007205,0.002945
NGC6314,19.5,18,0.00942,0.002818
NGC6314,22.5,6,0.00719,0.002516
NGC6361,1.5,7,1.11,0.03911
NGC6361,4.5,22,0.9565,0.1275
NGC6361,7.5,36,0.7433,0.1948
NGC6361,10.5,52,0.5681,0.2242
NGC6361,13.5,64,0.4359,0.2319
NGC6361,16.5,80,0.3345,0.2266
NGC6361,19.5,96,0.2599,0.2201
NGC6361,22.5,108,0.2037,0.2085
NGC6394,1.5,14,0.02388,0.006629
NGC6394,4.5,40,0.01772,0.008628
NGC6394,7.5,44,0.01596,0.006301
NGC6394,10.5,47,0.01301,0.004871
NGC6394,13.5,32,0.0138,0.006811
NGC6394,16.5,35,0.01404,0.009088
NGC6394,19.5,36,0.01176,0.007535
NGC6394,22.5,26,0.00931,0.0053
NGC6478,1.5,8,0.3322,0.01224
NGC6478,4.5,23,0.3115,0.02292
NGC6478,7.5,40,0.2694,0.04193
NGC6478,10.5,57,0.2365,0.04821
NGC6478,13.5,71,0.213,0.04876
NGC6478,16.5,90,0.1846,0.04833
NGC6478,19.5,104,0.1504,0.04978
NGC6478,22.5,121,0.1139,0.04842
NGC7738,1.5,11,1.082,0.0958
NGC7738,4.5,34,0.7636,0.2024
NGC7738,7.5,59,0.4093,0.2157
NGC7738,10.5,81,0.1936,0.1538
NGC7738,13.5,105,0.08453,0.08622
NGC7738,16.5,118,0.03546,0.04238
NGC7738,19.5,102,0.01699,0.0211
NGC7738,22.5,70,0.009663,0.01224
NGC7819,1.5,16,0.1989,0.02023
NGC7819,4.5,50,0.1226,0.04691
NGC7819,7.5,81,0.05313,0.04392
NGC7819,10.5,80,0.02669,0.02392
NGC7819,13.5,69,0.01206,0.0077
NGC7819,16.5,44,0.007287,0.004027
NGC7819,19.5,32,0.005335,0.002804
NGC7819,22.5,56,0.007446,0.001687
UGC00809,1.5,0,0.0,0.0
UGC00809,4.5,2,0.01017,0.0007049
UGC00809,7.5,2,0.009842,0.0008042
UGC00809,10.5,4,0.008803,0.001034
UGC00809,13.5,4,0.009782,0.000517
UGC00809,16.5,5,0.009607,0.0006987
UGC00809,19.5,2,0.009679,0.0006201
UGC00809,22.5,0,0.009827,0.0
UGC03253,1.5,14,0.03393,0.00801
UGC03253,4.5,38,0.01924,0.009579
UGC03253,7.5,43,0.01109,0.007148
UGC03253,10.5,48,0.007955,0.003172
UGC03253,13.5,52,0.01084,0.004597
UGC03253,16.5,57,0.009862,0.003563
UGC03253,19.5,37,0.00696,0.002378
UGC03253,22.5,24,0.006999,0.001398
UGC03539,1.5,9,0.2411,0.01231
UGC03539,4.5,25,0.2198,0.01529
UGC03539,7.5,44,0.1848,0.02246
UGC03539,10.5,58,0.1435,0.03114
UGC03539,13.5,78,0.09938,0.03249
UGC03539,16.5,97,0.05636,0.0264
UGC03539,19.5,112,0.02717,0.01843
UGC03539,22.5,112,0.01262,0.01147
UGC03969,1.5,9,0.1123,0.01059
UGC03969,4.5,28,0.1009,0.01579
UGC03969,7.5,48,0.08151,0.02477
UGC03969,10.5,67,0.05995,0.02411
UGC03969,13.5,88,0.03668,0.01711
UGC03969,16.5,101,0.01974,0.01066
UGC03969,19.5,90,0.01169,0.007478
UGC03969,22.5,64,0.006393,0.003547
UGC03973,1.5,22,0.03143,0.005948
UGC03973,4.5,64,0.02616,0.01004
UGC03973,7.5,103,0.02178,0.00953
