# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC4961,16.5,48,0.01415,0.00908
NGC4961,19.5,29,0.006981,0.004047
NGC4961,22.5,7,0.003657,0.0006018
NGC5000,1.5,26,0.3342,0.05363
NGC5000,4.5,80,0.1509,0.0647
NGC5000,7.5,132,0.03162,0.02312
NGC5000,10.5,129,0.008542,0.008558
NGC5000,13.5,95,0.01324,0.007407
NGC5000,16.5,112,0.01786,0.009618
NGC5000,19.5,123,0.01603,0.00852
NGC5000,22.5,107,0.009638,0.005372
NGC5016,1.5,22,0.1074,0.01171
NGC5016,4.5,65,0.09378,0.01133
NGC5016,7.5,109,0.07881,0.01412
NGC5016,10.5,151,0.06386,0.01619
NGC5016,13.5,195,0.04631,0.01575
NGC5016,16.5,227,0.02756,0.01155
NGC5016,19.5,213,0.01713,0.008939
NGC5016,22.5,161,0.01219,0.006401
NGC5056,1.5,13,0.07376,0.01285
NGC5056,4.5,41,0.06175,0.02106
NGC5056,7.5,67,0.0467,0.01724
NGC5056,10.5,95,0.03405,0.01272
NGC5056,13.5,120,0.02541,0.01324
NGC5056,16.5,142,0.01843,0.01114
NGC5056,19.5,151,0.0138,0.007842
NGC5056,22.5,114,0.00863,0.004615
NGC5205,1.5,0,0.0,0.0
NGC5205,4.5,0,0.0,0.0
NGC5205,7.5,0,0.0,0.0
NGC5205,10.5,10,0.01156,0.006503
NGC5205,13.5,49,0.0159,0.006251
NGC5205,16.5,81,0.01551,0.005351
NGC5205,19.5,109,0.01362,0.004319
NGC5205,22.5,100,0.01233,0.004939
NGC5218,1.5,24,3.241,0.37
NGC5218,4.5,74,1.767,0.5427
NGC5218,7.5,122,0.5965,0.2814
NGC5218,10.5,169,0.174,0.1283
NGC5218,13.5,223,0.07052,0.06607
NGC5218,16.5,256,0.048,0.05434
NGC5218,19.5,190,0.05357,0.06992
NGC5218,22.5,116,0.07763,0.0826
NGC5394,1.5,10,1.442,0.1074
NGC5394,4.5,28,1.074,0.2742
NGC5394,7.5,47,0.6682,0.3577
NGC5394,10.5,67,0.3844,0.3478
NGC5394,13.5,86,0.2285,0.2779
NGC5394,16.5,95,0.1559,0.215
NGC5394,19.5,77,0.1323,0.1646
NGC5394,22.5,70,0.1009,0.1218
NGC5406,1.5,0,0.0,0.0
NGC5406,4.5,0,0.0,0.0
NGC5406,7.5,6,0.006076,0.0003151
NGC5406,10.5,12,0.005865,0.0005008
NGC5406,13.5,34,0.007345,0.002477
NGC5406,16.5,84,0.009885,0.003807
NGC5406,19.5,86,0.01081,0.003839
NGC5406,22.5,110,0.009816,0.003076
NGC5480,1.5,21,0.2808,0.02435
