# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5633,7.5,104,0.1912,0.01487
NGC5633,10.5,149,0.1659,0.02091
NGC5633,13.5,189,0.1303,0.02955
NGC5633,16.5,229,0.0846,0.02926
NGC5633,19.5,271,0.04407,0.02037
NGC5633,22.5,258,0.02328,0.01301
NGC5657,1.5,9,0.2809,0.02737
NGC5657,4.5,32,0.2024,0.05566
NGC5657,7.5,51,0.1193,0.06149
NGC5657,10.5,67,0.06768,0.05062
NGC5657,13.5,79,0.04263,0.03539
NGC5657,16.5,65,0.02984,0.02208
NGC5657,19.5,58,0.02095,0.01301
NGC5657,22.5,40,0.01709,0.01119
NGC5784,1.5,19,0.06679,0.01346
NGC5784,4.5,60,0.06623,0.02374
NGC5784,7.5,99,0.05519,0.02689
NGC5784,10.5,137,0.03327,0.02104
NGC5784,13.5,136,0.0184,0.01074
NGC5784,16.5,101,0.01005,0.006212
NGC5784,19.5,58,0.006919,0.003789
NGC5784,22.5,27,0.004902,0.001491
NGC5908,1.5,6,0.5185,0.01292
NGC5908,4.5,18,0.5144,0.02205
NGC5908,7.5,33,0.5105,0.0395
NGC5908,10.5,42,0.5201,0.07473
NGC5908,13.5,59,0.5155,0.1079
NGC5908,16.5,68,0.4836,0.1225
NGC5908,19.5,83,0.4225,0.135
NGC5908,22.5,94,0.346,0.139
NGC5930,1.5,21,1.466,0.1453
NGC5930,4.5,58,0.8831,0.2294
NGC5930,7.5,101,0.3397,0.1584
NGC5930,10.5,137,0.09139,0.06323
NGC5930,13.5,135,0.02508,0.02016
NGC5930,16.5,89,0.01135,0.007309
NGC5930,19.5,39,0.006206,0.003183
NGC5930,22.5,22,0.007708,0.001053
NGC5934,1.5,16,0.5847,0.03062
NGC5934,4.5,48,0.4615,0.07469
NGC5934,7.5,79,0.2966,0.102
NGC5934,10.5,115,0.1493,0.09308
NGC5934,13.5,138,0.07104,0.06126
NGC5934,16.5,135,0.03665,0.0321
NGC5934,19.5,118,0.01651,0.01426
NGC5934,22.5,82,0.007493,0.006005
NGC5947,1.5,23,0.02274,0.009055
NGC5947,4.5,69,0.02071,0.01236
NGC5947,7.5,119,0.02084,0.01073
NGC5947,10.5,155,0.02141,0.00895
NGC5947,13.5,183,0.01698,0.007599
NGC5947,16.5,200,0.01207,0.005254
NGC5947,19.5,190,0.008549,0.003405
NGC5947,22.5,94,0.005359,0.002117
NGC5953,1.5,25,1.059,0.04674
NGC5953,4.5,76,0.8607,0.1011
