Name: standard EDGE-CALIFA galaxy name
rfVsys: CO relativistic helocentric vsys (km/s); see VsysFlag for how this was derived 
rfVsysFlag: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA
rfLSRK2helio: conversion from LSRK velocity to heliocentric velocity (km/s); V(helio)=V(LSRK)-LSRK2helio
rfRflat: the radius (arcsec) at which the rotation curve flattens from the Lelli+16 algorithm
rfVrotMaxL: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016 algorithm
rfeVrotMaxL: the error in rfVrotMaxL from the Lelli+2016 algorithm
rfVrotMaxLFlag: 0 = either rfeVrotMaxL\rfVrotMaxL > 10% rfeVrotMaxL>rfVrotMaxL rfeVrotMaxL=0 so rfRflat rfVrotMaxL and rfeVrotMaxL values are unreliable; 1 = rfRflat rfVrotMaxL and rfeVrotMaxL values are reliable
rfVrotMax: the maximum CO rotation velocity (relativistic km/s) using median Vrot at radii larger than 12 arcsec as used in Levy+18
rfeVrotMax: the error in rfVrotMax using standard deviation of Vrot at radii larger than 12 arcsec as used in Levy+18
rfPA: position angle (degrees) ranging from 0-365 degrees defined counterclockwise from North to approaching side of major axis; see PAFlag for how this was derived
rfPAFlag: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfInc: inclination (degrees); see IncFlag for how this was derived
rfIncFlag: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfKinXoff: offset of CO kinematic center from ledaRA (arcsec); RA=ledaRA-xoff
rfKinYoff: offset of CO kinematic center from ledaDec (arcsec); Dec=ledaDE-yoff
rfKinRA: RA of kinematic center including rfKinXoff (J2000 hours); rfKinRA=ledaRA-rfKinXoff
rfKinDecl: Decl of kinematic center including rfKinYoff (J2000 degrees); rfKinDecl=ledaDE-rfKinYoff

Name, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
NGC5480,1879.0,0,3.36,19.2,115.6,8.3,1,111.4,6.6,183.0,0,41.5,3,-0.90,-0.40,14.10601307,50.72525591
NGC5485,1893.0,1,3.95,NaN,NaN,NaN,0,NaN,NaN,74.5,0,47.2,2,2.00,-0.60,14.11978116,55.00178837
NGC5520,1870.0,0,3.29,12.1,160.0,9.7,1,162.3,0.2,245.1,0,59.1,2,1.10,0.40,14.20631543,50.34837339
NGC5614,3859.0,0,0.95,13.2,101.0,14.1,0,101.0,9.4,270.0,0,35.9,2,0.00,0.00,14.40211750,34.85892960
NGC5633,2319.0,0,2.64,15.4,191.2,10.0,1,187.5,9.4,16.9,2,41.9,2,0.00,0.00,14.45786960,46.14642830
NGC5657,3860.0,0,0.05,NaN,NaN,NaN,0,NaN,NaN,349.0,0,68.3,2,2.10,0.20,14.51207751,29.18068614
NGC5682,2242.0,1,2.99,NaN,NaN,NaN,0,NaN,NaN,310.6,0,76.3,2,-0.90,1.70,14.57921667,48.66906108
NGC5732,3723.0,0,1.47,10.6,123.8,10.4,1,125.8,0.0,43.2,2,58.4,2,-2.00,-0.20,14.67753404,38.63774016
NGC5784,5427.0,0,2.02,5.1,361.4,28.9,1,NaN,NaN,255.0,0,45.0,0,-2.10,0.60,14.90460969,42.55766273
NGC5876,3240.0,1,3.74,NaN,NaN,NaN,0,NaN,NaN,51.4,2,65.9,2,-0.10,0.60,15.15877495,54.50629043
NGC5908,3294.0,0,3.85,39.4,321.7,16.1,1,319.1,31.9,153.0,0,77.0,0,-1.50,-2.00,15.27869448,55.40999996
NGC5930,2637.0,0,1.79,9.0,240.0,15.1,1,231.9,0.0,155.0,0,45.0,0,2.20,0.10,15.43549486,41.67602902
NGC5934,5566.0,0,1.98,8.6,297.0,14.1,1,NaN,NaN,5.0,0,55.0,0,0.00,0.00,15.47021220,42.92993110
NGC5947,5898.0,0,1.94,3.3,162.8,42.7,0,173.0,65.4,248.6,0,32.2,2,-0.90,0.10,15.51018037,42.71712882
NGC5953,1988.0,0,-2.34,5.0,197.1,16.2,1,192.3,0.0,48.3,0,26.0,0,-1.00,0.40,15.57568522,15.19369449
NGC5980,4060.0,0,-2.28,17.1,215.2,10.3,1,216.3,4.4,15.0,3,66.2,2,-1.00,1.00,15.69179492,15.78730552
NGC6004,3818.0,0,-1.83,12.2,154.1,12.6,1,155.0,6.9,272.3,0,37.3,2,3.20,1.10,15.83958394,18.93891224
NGC6021,4673.0,1,-2.31,NaN,NaN,NaN,0,NaN,NaN,157.1,2,43.4,2,1.70,-0.10,15.95849712,15.95602048
NGC6027,4338.0,1,-1.58,NaN,NaN,NaN,0,NaN,NaN,231.4,2,30.9,2,0.00,0.00,15.98682190,20.76333780
NGC6060,4416.0,0,-1.49,30.1,232.8,10.1,1,205.2,21.1,102.0,2,64.3,2,-1.20,-0.20,16.09779492,21.48499876
NGC6063,2807.0,1,-3.54,NaN,NaN,NaN,0,NaN,NaN,331.6,0,56.2,2,0.00,0.00,16.12027370,7.97887150
NGC6081,4978.0,1,-3.29,NaN,NaN,NaN,0,NaN,NaN,308.2,2,65.6,2,0.00,0.00,16.21579860,9.86702780
NGC6125,4522.0,1,4.07,NaN,NaN,NaN,0,NaN,NaN,4.8,2,16.9,2,0.00,0.00,16.31987500,57.98411110
NGC6146,8693.0,1,1.49,NaN,NaN,NaN,0,NaN,NaN,78.3,0,40.7,2,0.00,0.00,16.41954270,40.89261360
NGC6155,2418.0,0,2.64,12.0,117.3,7.5,1,121.4,0.0,130.0,0,44.7,2,3.00,3.00,16.43558904,48.36594697
NGC6168,2540.0,0,-1.79,24.2,140.4,20.0,0,67.5,55.7,111.1,3,76.6,2,0.00,0.00,16.52247350,20.18552400
NGC6186,2940.0,0,-1.59,14.1,91.4,9.0,1,91.4,6.8,64.6,0,71.2,3,-3.00,0.50,16.57381046,21.54074831
NGC6301,8222.0,0,1.59,15.5,238.2,12.0,1,234.1,13.5,288.5,2,52.8,2,0.00,0.00,17.14242800,42.33901250
NGC6310,3459.0,0,4.40,NaN,NaN,NaN,0,NaN,NaN,69.9,2,73.7,2,0.00,0.00,17.13262400,60.99011580
NGC6314,6551.0,0,-1.46,5.9,250.9,17.1,1,NaN,NaN,356.0,0,57.7,2,-2.20,0.00,17.21080034,23.27018050
NGC6361,3791.0,0,4.32,29.8,234.4,11.3,1,208.7,23.0,46.8,0,75.0,0,0.00,0.00,17.31142250,60.60811800
NGC6394,8453.0,0,4.16,13.2,267.5,12.4,1,267.5,22.3,237.4,0,60.0,0,0.00,0.00,17.50595010,59.63988000
NGC6478,6756.0,0,2.86,11.8,187.0,9.8,1,209.6,0.0,29.2,0,73.4,0,0.00,0.00,17.81065000,51.15722220
NGC7738,6682.0,0,-6.38,9.6,142.6,12.8,1,139.9,0.0,234.7,0,65.6,2,0.00,0.00,23.73390150,0.51670670
NGC7819,4918.0,3,3.48,9.5,85.0,13.5,0,38.0,0.0,270.3,0,54.0,2,0.00,0.00,0.07347080,31.47198610
UGC00809,4171.0,0,3.51,14.5,135.9,10.3,1,135.9,6.1,18.6,0,78.9,2,0.00,0.00,1.26440640,33.81072960
UGC03253,4040.0,1,7.50,NaN,NaN,NaN,0,NaN,NaN,267.7,2,58.3,2,0.00,0.00,5.32822780,84.05252780
UGC03539,3278.0,0,6.14,11.8,138.9,8.1,1,144.8,0.0,302.9,0,72.1,2,-0.10,0.50,6.81497845,66.26113741
UGC03969,8029.0,0,1.30,11.1,206.1,10.2,1,216.9,0.0,134.3,2,70.0,0,0.00,0.00,7.68730940,27.61405570
UGC03973,6594.0,0,4.25,18.1,60.5,31.5,0,123.0,106.4,143.8,0,39.1,2,0.50,-1.80,7.70903554,49.81031120
UGC04029,4389.0,0,2.21,21.4,163.7,8.4,1,161.0,12.2,63.5,2,77.6,2,-1.90,1.00,7.80531259,34.33193732
UGC04132,5151.0,0,1.98,25.4,244.2,10.0,1,238.5,11.4,212.6,0,72.0,2,0.00,-0.80,7.98694510,32.91515552
UGC04280,3500.0,0,4.76,NaN,NaN,NaN,0,NaN,NaN,183.7,2,71.5,2,0.00,0.00,8.24259450,54.79949260
UGC04461,4941.0,0,4.44,10.6,129.3,8.4,1,131.9,0.0,222.8,0,70.1,2,0.00,0.00,8.55629500,52.53229390
UGC05108,8015.0,0,1.20,10.3,283.3,14.0,1,286.3,0.0,136.1,0,66.1,2,0.00,0.00,9.59063960,29.81264270
UGC05111,6660.0,0,5.91,22.2,224.1,9.6,1,216.2,11.9,118.3,0,72.9,2,2.00,-1.00,9.61452876,66.78863648
UGC05244,2974.0,1,5.62,NaN,NaN,NaN,0,NaN,NaN,32.8,2,77.9,2,0.00,0.00,9.81337980,64.16798720
UGC05359,8344.0,0,-0.43,12.1,163.4,26.0,0,163.4,29.9,94.5,0,72.3,2,-0.90,0.80,9.98103607,19.21477358
UGC05498NED01,6250.0,1,0.08,NaN,NaN,NaN,0,NaN,NaN,61.8,0,81.0,0,0.00,0.00,10.20101667,23.08544700
UGC05598,5591.0,0,-0.32,12.5,183.8,12.9,1,183.8,2.8,215.6,2,74.8,2,0.00,0.00,10.37055850,20.58939180
UGC06312,6266.0,1,-2.39,NaN,NaN,NaN,0,NaN,NaN,224.6,0,68.7,2,0.00,0.00,11.30004800,7.84466250
UGC07012,3052.0,1,0.68,NaN,NaN,NaN,0,NaN,NaN,184.1,0,60.5,2,0.00,0.00,12.03420580,29.84807250
UGC08107,8201.0,0,3.89,13.9,315.3,15.7,1,312.3,9.2,228.2,0,71.4,2,0.00,0.00,12.99437100,53.34133120
UGC08250,5169.0,1,0.83,NaN,NaN,NaN,0,NaN,NaN,11.7,0,76.2,2,0.00,0.00,13.17225180,32.48262300
UGC08267,7159.0,0,2.50,13.7,210.8,10.6,1,210.8,5.4,223.0,0,75.4,2,-1.00,0.00,13.18648802,43.72645910
UGC09067,7740.0,0,-2.01,12.8,211.7,10.9,1,211.7,4.2,14.6,0,62.4,2,0.00,0.00,14.17929900,15.20924620
UGC09476,3243.0,0,2.35,22.3,140.9,22.2,0,126.4,15.7,307.0,0,48.5,2,0.00,0.00,14.69222020,44.51274520
UGC09537,8662.0,0,0.89,13.0,283.8,16.6,1,283.7,3.1,135.7,0,72.0,0,0.00,0.00,14.80743320,34.99804940
UGC09542,5417.0,0,2.03,17.3,151.4,8.8,1,144.7,13.7,214.3,2,72.7,2,2.10,-1.90,14.81696231,42.46450758
UGC09665,2561.0,0,2.86,17.4,122.3,7.3,1,115.9,11.8,138.2,2,74.0,2,-0.10,1.00,15.02568395,48.31955132
UGC09759,3394.0,0,3.85,NaN,NaN,NaN,0,NaN,NaN,49.7,2,66.8,2,3.60,-2.10,15.17795813,55.35093743
UGC09873,5575.0,0,1.93,NaN,NaN,NaN,0,NaN,NaN,129.0,0,75.3,2,0.00,0.00,15.49739770,42.62900230
UGC09892,5591.0,0,1.70,13.4,135.3,11.7,1,133.9,3.4,101.0,2,72.2,2,0.00,0.00,15.54776630,41.19144520
UGC09919,3160.0,0,-2.73,NaN,NaN,NaN,0,NaN,NaN,349.2,2,77.9,2,0.00,0.00,15.59434550,12.60633790
UGC10043,2154.0,0,-1.37,NaN,NaN,NaN,0,NaN,NaN,327.8,0,90.0,3,-2.00,-1.00,15.81150894,21.86976918
UGC10123,3738.0,0,3.15,15.5,207.9,9.4,1,204.6,10.5,236.6,0,70.0,0,1.10,-2.50,15.98410343,51.30525024
UGC10205,6491.0,0,-0.14,9.7,237.8,14.9,1,269.0,0.0,128.6,0,51.7,2,0.00,0.00,16.11116060,30.09897260
UGC10331,4415.0,1,4.26,NaN,NaN,NaN,0,NaN,NaN,140.8,2,76.2,2,0.00,0.00,16.28919710,59.32014400
UGC10380,8624.0,0,-2.33,NaN,NaN,NaN,0,NaN,NaN,288.2,2,77.9,2,0.00,0.00,16.43053800,16.57612970
UGC10384,4927.0,0,-3.09,14.9,187.4,8.9,1,187.4,8.1,275.8,0,70.0,0,0.00,0.00,16.44629640,11.58024130
UGC10710,8228.0,0,1.72,NaN,NaN,NaN,0,NaN,NaN,329.5,3,69.6,2,0.00,0.00,17.11458010,43.12211740
