Name: standard EDGE-CALIFA galaxy name
rfVsys: CO relativistic helocentric vsys (km/s); see VsysFlag for how this was derived 
rfVsysFlag: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA
rfRflat: the radius (arcsec) at which the rotation curve flattens from the Lelli+16 algorithm
rfVrotMax: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016 algorithm
rfeVrotMax: the error in rfVrotMax from the Lelli+2016 algorithm
rfVrotMaxFlag: 0 = either rfeVrotMax\rfVrotMax > 10% rfeVrotMax>rfVrotMax rfeVrotMax=0 so rfRflat rfVrotMax and rfeVrotMax values are unreliable; 1 = rfRflat rfVrotMax and rfeVrotMax value are reliable
rfPA: position angle (degrees) ranging from 0-365 degrees defined counterclockwise from North to approaching side of major axis; see PAFlag for how this was derived
rfPAFlag: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfInc: inclination (degrees); see IncFlag for how this was derived
rfIncFlag: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfKinXoff: offset of CO kinematic center from RA (arcsec); RA=RA-xoff
rfKinYoff: offset of CO kinematic center from Dec (arcsec); Dec=Dec-yoff

Name, rfVsys, rfVsysFlag, rfRflat, rfVrotMax, rfeVrotMax, rfVrotMaxFlag, rfPA, rfPAFlag, rfInc, rfIncFlag, rfKinXoff, rfKinYoff
NGC5934,5566.0,0,8.6,297.0,14.1,1,5.0,0,55.0,0,0.00,0.00
NGC5947,5898.0,0,3.3,162.8,42.7,0,248.6,0,32.2,2,-0.90,0.10
NGC5953,1988.0,0,5.0,197.1,16.2,1,48.3,0,26.0,0,-1.00,0.40
NGC5980,4060.0,0,17.1,215.2,10.3,1,15.0,3,66.2,2,-1.00,1.00
NGC6004,3818.0,0,12.2,154.1,12.6,1,272.3,0,37.3,2,3.20,1.10
NGC6021,4673.0,1,NaN,NaN,NaN,0,157.1,2,43.4,2,1.70,-0.10
NGC6027,4338.0,1,NaN,NaN,NaN,0,231.4,2,30.9,2,0.00,0.00
NGC6060,4416.0,0,30.1,232.8,10.1,1,102.0,2,64.3,2,-1.20,-0.20
NGC6063,2807.0,1,NaN,NaN,NaN,0,331.6,0,56.2,2,0.00,0.00
NGC6081,4978.0,1,NaN,NaN,NaN,0,308.2,2,65.6,2,0.00,0.00
NGC6125,4522.0,1,NaN,NaN,NaN,0,4.8,2,16.9,2,0.00,0.00
NGC6146,8693.0,1,NaN,NaN,NaN,0,78.3,0,40.7,2,0.00,0.00
NGC6155,2418.0,0,12.0,117.3,7.5,1,130.0,0,44.7,2,3.00,3.00
NGC6168,2540.0,0,24.2,140.4,20.0,0,111.1,3,76.6,2,0.00,0.00
NGC6186,2940.0,0,14.1,91.4,9.0,1,64.6,0,71.2,3,-3.00,0.50
NGC6301,8222.0,0,15.5,238.2,12.0,1,288.5,2,52.8,2,0.00,0.00
NGC6310,3459.0,0,NaN,NaN,NaN,0,69.9,2,73.7,2,0.00,0.00
NGC6314,6551.0,0,5.9,250.9,17.1,1,356.0,0,57.7,2,-2.20,0.00
NGC6361,3791.0,0,29.8,234.4,11.3,1,46.8,0,75.0,0,0.00,0.00
NGC6394,8453.0,0,13.2,267.5,12.4,1,237.4,0,60.0,0,0.00,0.00
NGC6478,6756.0,0,11.8,187.0,9.8,1,29.2,0,73.4,0,0.00,0.00
NGC7738,6682.0,0,9.6,142.6,12.8,1,234.7,0,65.6,2,0.00,0.00
NGC7819,4918.0,3,9.5,85.0,13.5,0,270.3,0,54.0,2,0.00,0.00
UGC00809,4171.0,0,14.5,135.9,10.3,1,18.6,0,78.9,2,0.00,0.00
UGC03253,4040.0,1,NaN,NaN,NaN,0,267.7,2,58.3,2,0.00,0.00
UGC03539,3278.0,0,11.8,138.9,8.1,1,302.9,0,72.1,2,-0.10,0.50
UGC03969,8029.0,0,11.1,206.1,10.2,1,134.3,2,70.0,0,0.00,0.00
UGC03973,6594.0,0,18.1,60.5,31.5,0,143.8,0,39.1,2,0.50,-1.80
