# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: W1, unit: mag, datatype: float64, description: 3.4 um Vega magnitude from image photometry from table by Bitsakis. NGC0598
#     and NGC4676A are from w1mpro in allWISE catalog}
# - {name: eW1, unit: mag, datatype: float64, description: Error in W1 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W2, unit: mag, datatype: float64, description: 4.6 um Vega magnitude from Bitsakis}
# - {name: eW2, unit: mag, datatype: float64, description: Error in W2 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W3, unit: mag, datatype: float64, description: 12 um Vega magnitude from Bitsakis}
# - {name: eW3, unit: mag, datatype: float64, description: Error in W3 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W4, unit: mag, datatype: float64, description: 22 um Vega magnitude from Bitsakis}
# - {name: eW4, unit: mag, datatype: float64, description: Error in W4 in Vega magnitudes from table by Bitsakis corrected by Rebecca
#     Levy for improper error propagation. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in allWISE catalog}
# - {name: W1lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W1 from caDistMpc and W1 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W2lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W2 from caDistMpc and W2 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W3lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W3 from caDistMpc and W3 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W4lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in W4 from caDistMpc and W4 magnitude using the zero
#     point, frequency, and bandwidth from Jarrett+11'}
# - {name: W4SFR, unit: solMass / yr, datatype: float64, description: SFR from W4lum using Catalan-Torrecilla+14 calibration}
# meta: !!omap
# - {date: '2021-06-28'}
# - {comments: WISE photometry from Bitsakis}
# schema: astropy-2.0
Name W1 eW1 W2 eW2 W3 eW3 W4 eW4 W1lum W2lum W3lum W4lum W4SFR
NGC3994 9.382 0.006393288755616806 9.221 0.009404253339081093 5.41 0.0033645293407839226 3.459 0.01324720691913084 43.0657 42.7369 43.1446 43.0485 2.34807243
NGC4047 9.005 0.0053718554765584455 8.898 0.008085824669107186 5.277 0.0031573615797994285 3.551 0.013820517969852637 43.2964 42.946 43.2777 43.0916 2.59320055
NGC4149 10.591 0.011202741631645087 10.478 0.016816062776843572 7.369 0.008545241086744202 5.767 0.03862996547253584 42.5689 42.2209 42.3477 42.1121 0.2718273
NGC4185 9.421 0.006536184759426989 9.41 0.010283106174358975 6.623 0.006060721388931207 5.033 0.027550172343093593 43.2436 42.8547 42.8528 42.6123 0.86012722
NGC4210 9.598 0.007074965394802536 9.579 0.011089815476284022 6.566 0.005745453577703184 5.051 0.027626401548509608 42.8553 42.4697 42.5581 42.2877 0.40726897
NGC4211NED02 10.028 0.008656140958615506 10.016 0.013656025528417957 7.436 0.008956211069519238 4.728 0.02384099188836 43.4784 43.09 43.0053 43.212 3.42176054
NGC4470 9.79 0.007743268520777996 9.737 0.011992902969682837 6.159 0.00488117434475925 4.425 0.020726421218176066 42.6492 42.2772 42.5917 42.4088 0.53827834
NGC4644 10.497 0.010698535201334772 10.42 0.01640303909420928 7.546 0.009249629134452472 5.916 0.04131657567841434 43.0286 42.6661 42.699 42.4745 0.6262796
NGC4676A 10.588 0.022525647310274968 10.339 0.019812704397245466 6.481 0.015270551428727778 4.077 0.025191095131321537 43.2518 42.9582 43.3847 43.4698 6.19446727
NGC4711 10.254 0.009570272854727268 10.202 0.014795318543721611 6.846 0.006602741882689358 5.132 0.028716024815995816 42.9546 42.5821 42.8078 42.617 0.86930635
NGC4961 10.495 0.0107083934556003 10.379 0.016044431003530066 6.661 0.006060721388931202 4.97 0.026602614430361913 42.4455 42.0987 42.4691 42.2691 0.39020001
NGC5000 10.169 0.00919865477196057 10.112 0.014181570228458196 6.966 0.006920290409436722 4.841 0.025056725772266298 43.2642 42.8938 43.0355 43.009 2.14418307
NGC5016 9.568 0.006971469312049151 9.539 0.010887403532313017 6.094 0.004827522648587065 4.462 0.021092318465692785 42.8239 42.4423 42.7036 42.4799 0.63403763
NGC5056 10.25 0.009579091462267165 10.125 0.014299614183718327 6.562 0.005761350805333152 4.702 0.023492234102037438 43.2355 42.8923 43.2007 43.0683 2.45750335
NGC5205 9.841 0.007923632414660303 9.842 0.012511930402765672 6.831 0.0065121488678145135 5.486 0.03383173886370593 42.3802 41.9866 42.0742 41.7358 0.11428382
NGC5218 9.003 0.0053817599195605395 8.881 0.008041263989782868 5.292 0.003177783604267392 2.636 0.00906409231371898 43.1559 42.8115 43.1303 43.3163 4.34989932
NGC5394 9.592 0.007068452110800503 9.413 0.010283106174358975 5.362 0.0033429071949498354 2.494 0.008490325099914979 43.0702 42.7486 43.2523 43.523 7.0024665
NGC5406 9.205 0.005900982408675433 9.179 0.00922410674138676 6.393 0.005312810431748959 4.935 0.02618932589540147 43.6174 43.2346 43.2322 42.939 1.82470881
NGC5480 9.21 0.005917309972604458 9.067 0.008760407734971649 5.135 0.00295749704908724 3.342 0.012546549950728757 42.6944 42.3584 42.8144 42.6552 0.94926686
NGC5485 8.324 0.003949338145519435 8.344 0.006282381708481863 7.304 0.008350727652007311 6.227 0.048097701193350544 43.0456 42.6444 41.9437 41.498 0.06610336
NGC5520 9.646 0.007226438649242045 9.503 0.010698535201334762 5.823 0.004063725086421516 4.031 0.017239486273892532 42.5127 42.1766 42.5319 42.3722 0.49484175
NGC5614 8.415 0.004105105472906344 8.392 0.006410978493298553 5.838 0.00412405377883996 4.36 0.020124463902055727 43.6432 43.2592 43.164 42.8788 1.58850377
NGC5633 9.279 0.006099922537538993 9.151 0.009089171959185 5.36 0.0032788709194620717 3.632 0.014339180115045575 42.8523 42.5103 42.91 42.7247 1.11406364
NGC5657 10.073 0.008833327246849983 9.998 0.013481068640745579 6.524 0.005645784797657196 4.313 0.019648270114913293 42.9893 42.6261 42.899 42.9069 1.69487865
NGC5682 11.391 0.016327673975404775 11.332 0.025172382363494315 8.107 0.012037167946075397 6.005 0.042946158239610496 41.9873 41.6177 41.791 41.7553 0.11954483
NGC5732 10.868 0.012709378684036363 10.812 0.019594054873886404 7.312 0.008123147140007655 5.667 0.036688023872153676 42.6345 42.2637 42.547 42.3285 0.44741761
NGC5784 9.128 0.005692778942686756 9.109 0.008923275874684796 6.773 0.006328842966985411 5.392 0.03230905978705241 43.6656 43.28 43.0977 42.7736 1.24685273
NGC5876 9.393 0.006428717177122278 9.433 0.010359154729883918 7.753 0.010076839004170588 6.365 0.050830492774059585 43.103 42.6938 42.249 41.9278 0.17782224
NGC5908 7.995 0.0033769475861594018 7.861 0.0050179267804093194 4.827 0.0025663998426250635 3.156 0.011516600981031121 43.6657 43.326 43.4229 43.2149 3.44407133
NGC5930 8.64 0.004551183224541613 8.514 0.00678147741894212 4.975 0.00274488604951705 1.971 0.006669976748521727 43.2028 42.86 43.1589 43.484 6.40083222
NGC5934 9.691 0.0073947640289161775 9.631 0.011369053756546753 6.634 0.0059064199180079305 4.89 0.025593184056728197 43.4757 43.1065 43.1886 43.0097 2.14742311
NGC5947 10.397 0.010235859593157884 10.261 0.015181836848509612 7.196 0.007672277808269412 5.337 0.031486495090645994 43.2279 42.8891 42.9983 42.8655 1.5405835
NGC5953 8.954 0.0052495771172882365 8.788 0.007679347492483792 4.844 0.002582999487314471 2.673 0.009215614936336238 42.8429 42.5161 42.977 42.9689 1.95480069
NGC5980 9.16 0.005777292019367834 9.008 0.008513817175682425 5.34 0.003248810050182939 3.457 0.013235011407763186 43.3999 43.0675 43.418 43.2947 4.13924727
NGC6004 10.074 0.008972724224506377 10.066 0.014090432375707427 7.027 0.0072664839724293885 5.303 0.03116910413820823 42.9713 42.5813 42.6802 42.4933 0.65396574
NGC6021 9.711 0.0074631869380396955 9.723 0.011872011810311717 8.531 0.015492600424637758 7.495 0.08898653984336866 43.3112 42.9132 42.2733 41.8112 0.13596814
NGC6027 10.659 0.011644593167033911 10.638 0.018118586761928058 8.416 0.013456258452636973 6.594 0.056198447727888866 42.8502 42.4654 42.2374 42.0898 0.25821291
NGC6060 9.067 0.005532536909912053 8.979 0.008404740713268868 5.695 0.0038951511947466285 3.995 0.01697165988997607 43.4922 43.1341 43.331 43.1346 2.86268004
NGC6063 10.26 0.0096410496622639 10.282 0.015492600424637775 7.264 0.008243740643469987 5.745 0.03841707716810506 42.6322 42.2302 42.3206 42.0518 0.23658485
NGC6081 9.594 0.007068452110800494 9.615 0.011316817699427351 7.965 0.011937800585793516 6.261 0.048811743447592544 43.4125 43.0109 42.5542 42.3593 0.48034241
NGC6125 8.83 0.004971922151162474 8.876 0.008019075824472753 8.245 0.012969532446036896 7.234 0.07608942811485121 43.6502 43.2385 42.3742 41.9022 0.1676394
NGC6146 9.298 0.006162037259072254 9.306 0.009775170023022162 8.518 0.015014964854108023 7.143 0.07354011759103717 44.0171 43.6207 42.8192 42.4927 0.65306383
NGC6155 9.664 0.007279881666511943 9.55 0.010917528139519694 5.867 0.004131657567841448 4.111 0.017869990431918868 42.7295 42.3818 42.7383 42.5643 0.7699704
NGC6168 10.282 0.009757180068848053 10.124 0.0143788555222581 6.519 0.005640587231626911 4.501 0.021444914544857013 42.519 42.189 42.5143 42.445 0.58509425
NGC6186 9.357 0.006334674731988873 9.273 0.00963217401538454 5.845 0.004101326271693137 3.793 0.015449851874193187 43.0284 42.6688 42.9233 42.8676 1.54815948
NGC6301 9.791 0.007750403619975022 9.763 0.012081596301437922 6.76 0.006317195538379789 5.239 0.03018035333652791 43.7687 43.3867 43.4712 43.2031 3.35229845
NGC6310 9.725 0.007511459326996578 9.715 0.011828354172163822 7.527 0.008997551061505188 6.102 0.04480477698506535 43.0018 42.6126 42.3711 42.0646 0.24368953
NGC6314 9.581 0.007035975523380658 9.505 0.01074791739611018 7.032 0.007306751206849518 5.603 0.03578691979509725 43.6479 43.2851 43.1576 42.8527 1.49587569
NGC6361 8.815 0.004926339294891742 8.637 0.007179997945503483 5.02 0.0027984936124760226 3.274 0.012159740868996675 43.4694 43.1474 43.4775 43.2994 4.18448201
NGC6394 10.543 0.010967921159770211 10.345 0.015780629371099565 7.061 0.007213139310219209 4.823 0.024827004329579336 43.4886 43.1746 43.3714 43.3902 5.15689679
NGC6478 9.451 0.006621011161045104 9.349 0.009975262200531838 5.879 0.004162213178629696 4.278 0.019325214362446344 43.7134 43.3609 43.6322 43.3962 5.2284048
NGC7738 9.572 0.006990758830808668 9.407 0.010254732120231659 5.917 0.004342344947185541 3.247 0.012015015073109904 43.6691 43.3419 43.6211 43.8127 13.64207194
NGC7819 10.61 0.011306399323709236 10.484 0.01692483018811527 6.848 0.006560309365855029 4.773 0.024284229020151583 42.9831 42.6403 42.9779 42.9315 1.79341157
UGC00809 11.259 0.015237871959557696 11.105 0.022517715097306917 7.763 0.010049034100624087 5.953 0.04185278090684317 42.576 42.2444 42.4644 42.312 0.43071753
UGC03253 9.898 0.00817568819539753 9.885 0.012838796641881178 7.078 0.007354011759103732 5.245 0.030235998837548787 43.1062 42.7182 42.7243 42.581 0.80025835
UGC03539 10.291 0.009739223222891029 10.13 0.014286449815682464 6.675 0.0060384339463695775 4.969 0.02655365571011601 42.747 42.4182 42.6835 42.4894 0.64809118
UGC03969 10.7 0.011774007821324388 10.518 0.017128696725470224 7.117 0.007476947306308059 5.508 0.03411334606265942 43.3837 43.0632 43.3069 43.0741 2.49042257
UGC03973 8.812 0.0049354223104285996 7.94 0.005206241623168872 4.967 0.002749946976331511 2.588 0.008874100032881874 43.9561 43.9117 43.9842 44.0593 24.07317525
UGC04029 10.09 0.008882277146183436 9.949 0.01322282712370544 6.589 0.005928220105910388 4.5 0.02148445394324949 43.0865 42.7496 42.9769 42.9361 1.81248007
UGC04132 9.303 0.006184780912922551 9.162 0.009190186398248024 5.324 0.003242831029481973 3.552 0.013833253001112936 43.55 43.2131 43.6316 43.4639 6.11173337
UGC04280 10.369 0.010104720841744148 10.25 0.015195826278375858 7.344 0.008412485331520652 5.361 0.031953932980085344 42.7823 42.4367 42.4824 42.3991 0.52639241
UGC04461 10.657 0.011548466529128075 10.423 0.016418153811044375 6.88 0.006725496019251599 4.933 0.026165215739681974 42.9721 42.6725 42.973 42.8753 1.57585409
UGC05108 10.364 0.010067562165258405 10.267 0.015223843822016208 7.15 0.007573982894870266 4.774 0.024306605925009897 43.5182 43.1637 43.2938 43.3677 4.89742447
UGC05111 10.049 0.008712129453435353 9.965 0.01325941366815392 6.648 0.0059941046365727686 5.081 0.02801072307696734 43.4813 43.1217 43.3318 43.0821 2.53724258
UGC05244 11.672 0.018506501210907498 11.579 0.028217875954035233 8.551 0.01504264893165345 6.961 0.0675031936046205 42.1289 41.7729 41.8674 41.6269 0.08894182
UGC05359 11.034 0.013731700419229876 10.902 0.020574264557141068 7.898 0.011008402999107976 6.185 0.046916361070115736 43.2846 42.9442 43.0291 42.8378 1.44551515
UGC05498NED01 10.233 0.009482532065803847 10.033 0.013681204040213677 7.611 0.009570272854727268 6.049 0.04419003239865128 43.349 43.0358 42.8879 42.6362 0.90871271
UGC05598 10.957 0.013247206919130857 10.87 0.020180146744020286 7.373 0.008498148580611818 5.728 0.03782024344028366 42.9526 42.5942 42.8763 42.6578 0.95509793
UGC06312 10.188 0.009283768876624262 10.186 0.014673182526777637 7.903 0.010937657503694449 6.568 0.056043380010930115 43.3507 42.9583 42.7548 42.4123 0.54263005
UGC07012 11.357 0.015926645736888775 11.251 0.024017307581755507 7.734 0.009975262200531828 5.961 0.042084708169919036 42.2666 41.9157 42.2058 42.0386 0.22949686
UGC08107 9.867 0.00800431773778363 9.738 0.011937800585793518 6.702 0.006128078500686739 5.043 0.027550172343093572 43.7402 43.3986 43.4963 43.2834 4.03288668
UGC08250 11.524 0.017223615430166046 11.307 0.02475849946804021 8.093 0.012363012830826534 6.116 0.04521935048219936 42.6693 42.3629 42.5317 42.4461 0.58652434
UGC08267 10.507 0.0107380227557091 10.365 0.01592664573688871 6.973 0.006945832723284967 5.305 0.031054484182331983 43.3458 43.0094 43.2495 43.0402 2.30371784
UGC09067 10.691 0.011730710578933871 10.591 0.017689856909057288 7.13 0.007422057592117316 5.514 0.0341447800891879 43.3582 43.005 43.2727 43.0426 2.31631735
UGC09476 10.009 0.008560996509363487 9.935 0.01306544842625056 6.527 0.005640587231626917 4.882 0.025569622715156032 42.8507 42.487 42.7335 42.5151 0.68750574
UGC09537 9.71 0.007470063953732213 9.675 0.011623162777899248 6.938 0.007023026707458529 5.312 0.03125534664923125 43.8613 43.4821 43.4602 43.2341 3.60029094
UGC09542 10.795 0.012272253565979486 10.71 0.018712177134658642 7.436 0.008608437287409716 5.724 0.03768116486378267 43.0019 42.6427 42.8355 42.6439 0.92488797
UGC09665 9.901 0.008145623262634016 9.766 0.012092728988860267 6.177 0.004792082872489323 4.339 0.019866635329382654 42.6821 42.3429 42.6618 42.5205 0.69622866
UGC09759 10.365 0.010067562165258382 10.263 0.015167860297452603 7.036 0.007127288193919925 5.311 0.0311117413758447 42.7558 42.4034 42.5775 42.391 0.51665647
UGC09873 11.412 0.01640303909420928 11.313 0.02478131339334832 8.012 0.011264821645189623 6.039 0.043543598812790164 42.8752 42.5216 42.7252 42.638 0.91239197
UGC09892 11.068 0.013948397648148463 11.03 0.021703227356480066 7.91 0.010847366651337977 6.377 0.0510651156684521 42.9199 42.5419 42.6732 42.4099 0.53968212
UGC09919 11.187 0.014768089646222565 11.053 0.02194443077381177 7.821 0.010283106174358974 5.859 0.0400796868798246 42.3888 42.0492 42.2253 42.1336 0.28562813
UGC10043 10.038 0.008656140958615525 9.837 0.01247740638011476 6.436 0.005396650834844086 4.909 0.02585379613680791 42.4851 42.1723 42.416 42.1503 0.29685869
UGC10123 9.692 0.0073811549084921765 9.54 0.010877380479577963 6.004 0.004402752982747548 4.347 0.019939961707998128 43.1011 42.7687 43.0663 42.8527 1.49584014
UGC10205 9.607 0.007114171328669293 9.59 0.011161545139573393 7.084 0.0074769473063080365 5.786 0.03895151194746634 43.6289 43.2425 43.1282 42.7709 1.23907578
UGC10331 11.142 0.014511901434318667 10.996 0.0213857418439499 7.217 0.007721902610866601 4.528 0.02166328533351233 42.6833 42.3484 42.7433 42.9424 1.83934673
