# %ECSV 1.0
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: Alias, datatype: string}
# - {name: NEDname, datatype: string}
# - {name: RAstr, datatype: string}
# - {name: DEstr, datatype: string}
# - {name: Type, datatype: string}
# - {name: Vel, datatype: string}
# - {name: z, datatype: float64}
# - {name: Dmaj, datatype: string}
# - {name: Dmin, datatype: string}
# - {name: Vrad, unit: km / s, datatype: float64, format: 7.0f}
# delimiter: ','
# schema: astropy-2.0
Name,Alias,NEDname,RAstr,DEstr,Type,Vel,z,Dmaj,Dmin,Vrad
SN2014dl,UGC10414,UGC 10414,16h29m47.31s,+08d38m39.1s,G,9883,0.032966,0.9,0.7,9573.9661363758
UGC00036,UGC00036,UGC 00036,00h05m13.88s,+06d46m19.2s,G,6291,0.020985,1.3,0.6,6166.016564882266
UGC00386,UGC00386,UGC 00386,00h38m23.73s,+15d02m22.5s,G,5332,0.017785,1.11,0.62,5242.202878239682
UGC02229,UGC02229,UGC 02229,02h45m27.62s,+00d54m51.9s,G,7303,0.024361,1.45,0.62,7134.379071774894
UGC02311,UGC02311,UGC 02311,02h49m27.95s,-00d52m22.7s,G,7157,0.023873,1.30,0.91,6994.797594469073
UGC02367,UGC02367,UGC 02367,02h53m41.22s,+06d15m56.2s,G,7380,0.024617,1.9,0.5,7207.548936813321
UGC04145,UGC04145,UGC 04145,07h59m40.14s,+15d23m12.7s,G,4651,0.015514,1.43,0.73,4583.0493498917
UGC04197,UGC04197,UGC 04197,08h03m25.54s,+10d03m02.3s,G,4586,0.015297,2.07,0.35,4519.9110552151005
UGC04375,UGC04375,UGC 04375,08h23m11.30s,+22d39m53.0s,G,2054,0.006851,2.5,1.6,2041.3053355439877
UGC04425,UGC04425,UGC 04425,08h28m14.38s,+28d03m26.3s,G,5912,0.01972,1.61,0.49,5801.514924156937
UGC09110,UGC09110,UGC 09110,14h14m13.39s,+15d37m20.6s,G,4649,0.015507,1.85,0.62,4581.013052175473
UGC09401,UGC09401,UGC 09401,14h36m09.26s,+21d47m36.8s,G,5628,0.018773,1.5,0.7,5528.050071927174
UGC09711,UGC09711,UGC 09711,15h06m36.62s,+09d26m19.5s,G,8343,0.027828,1.53,0.27,8122.218431569415
UGC10738,UGC10738,UGC 10738,17h11m05.86s,+05d51m08.2s,G,6716,0.022402,1.97,0.24,6573.244240820555
UGC11680NED01,2MASXJ21074136+0352182,UGC 11680 NED01,21h07m41.48s,+03d52m19.6s,G,7791,0.025988,1.0,0.8,7598.786037793364
UGC12518,UGC12518,UGC 12518,23h20m12.82s,+07d55m55.3s,G,3906,0.013029,1.3,0.2,3858.394180323106
UGC12633,UGC12633,UGC 12633,23h30m13.67s,+15d45m40.1s,G,4211,0.014046,1.39,0.81,4155.392944313663
UGC12767,UGC12767,UGC 12767,23h45m10.19s,+07d02m31.8s,G,5265,0.017562,2.0,1.9,5177.607901100225
UGC4310,UGC04310,UGC 04310,08h17m15.82s,+01d12m24.0s,G,4355,0.014527,1.2,1.1,4295.65383605116
UGC8472,UGC08472,UGC 08472,13h29m13.63s,+11d16m33.1s,G,6565,0.0219,1.32,0.44,6429.105125733101
sn2001bf,MCG+04-42-022,CGCG 141-044,18h01m33.63s,+26d15m10.6s,G,4647,0.015501,0.35,0.25,4579.267631773977
sn2003gt,NGC6930,NGC 6930,20h32m58.74s,+09d52m28.7s,G,4554,0.015191,1.3,0.5,4489.059488075544
sn2004dt,NGC799,NGC 0799,02h02m12.33s,-00d06m02.3s,G,5923,0.019757,1.66,1.28,5812.189084127215
sn2005A,NGC958,NGC 0958,02h30m42.84s,-02d56m20.1s,G,5741,0.01915,2.9,1.0,5636.977156529187
