  14 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
1340 6145  1  7 140.0  0.0  81.9  7.2 17.5  6.9 113.2  7.7 17.1  8.6 58.1  7.2  26.8  7.7  31.2 10.5
1360 7044  1  7  10.0  0.0  58.4  9.5 16.3  5.4  49.3 10.0 18.9  7.8 48.4  9.5  39.3 10.0   9.1 13.8
1520 6534  1  7 125.0  0.0  80.6 13.1 28.7  8.5  81.7 14.7 26.5 11.9 44.4 13.1  43.3 14.7   1.1 19.7
1589 6262  1  7        ---  96.5 11.1 30.4 13.1  89.7 12.6 27.3 17.7 90.5 11.1  83.7 12.6   6.8 16.8
1663 ---     --        ---        ---       ---        ---       ---       ---        ---        ---
1740 ---     --        ---        ---       ---        ---       ---       ---*       ---*       ---*
1780 4195  3 14 109.1  7.1   3.1  3.9 16.8  5.3 174.3  5.9 17.8  4.7 74.0  8.1  65.3  8.1   8.7  5.5
1781 8508  4 12  43.6  1.0  20.7 12.9 42.0 10.2  19.1  6.4 12.8  5.0 22.9 12.9  24.5  6.5   1.6 14.4
1795 2505  2 10  45.2  4.2  59.0  9.0 21.2  6.5  46.0  8.1 23.7  5.0 13.7  9.9   0.7  9.1  13.0 12.1
1796 5362  8 10  26.5  0.6  29.8  3.6  9.5  3.1  23.2  4.0  9.5  3.8  3.3  3.6   3.3  4.0   6.6  5.4
1801 1944  4 20   1.7  0.9   8.4  4.2 11.5  2.4 165.9  4.6 23.3 10.5  6.7  4.3  15.8  4.7  22.4  6.2
1871 6072  3 20 139.0  0.0 164.7  3.6 32.1  4.1 156.0  3.0 11.8  2.3 25.7  3.6  17.0  3.0   8.7  4.7
1873 7806  6  8  55.8 10.3 135.9 20.6 66.1 17.4 143.0 21.4 27.8 12.5 80.2 23.0  87.2 23.8   7.0 29.7
