Name,ledaRA,ledaDE, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
NGC3381,10.8068937,34.7113984,1625,1,1.65,NaN,NaN,NaN,0,NaN,NaN,333.1,0,30.8,2,0,0,10.8068937,34.7113984
NGC3687,11.4668265,29.5109671,2497,1,0.75,NaN,NaN,NaN,0,NaN,NaN,326,0,19.6,2,0,0,11.4668265,29.5109671
NGC3811,11.6879568,47.6908405,3073,0,3.32,15,181.1,13.3,1,179.3,7.3,351.5,2,39.9,2,-2.6,0.1,11.68790865,47.69086828
NGC3815,11.6942435,24.8004214,3686,0,0,12.5,185.8,9.5,1,185.8,5.2,67.8,2,59.9,2,3,0.1,11.69429906,24.80044918
NGC3994,11.9602289,32.277334,3097,0,1.05,9.1,218.3,12.1,1,220.1,0,188.1,2,59.5,2,2.4,1.6,11.96027334,32.27777844
NGC4047,12.0474048,48.6362246,3419,0,3.39,15,212.8,11.4,1,216.3,2.2,104,0,42.1,2,0.5,0,12.04741406,48.6362246
NGC4149,12.1757985,58.3040585,3050,0,4.65,10.2,231.4,10.9,1,239.6,0,85,0,66.2,2,-0.5,-0.9,12.17578924,58.3038085
NGC4185,12.2228391,28.5109689,3874,0,0.44,NaN,0,229.6,0,-549.6,1032.7,344.4,2,48.2,2,0,0,12.2228391,28.5109689
NGC4210,12.2544012,65.9853766,2714,0,5.56,22.2,175.2,11.9,1,177.7,9.9,277.7,2,40.9,2,0,0,12.2544012,65.9853766
NGC4211NED02,12.2603674,28.169634,6605,0,0.38,NaN,NaN,NaN,0,NaN,NaN,25,0,30,0,0,0,12.2603674,28.169634
NGC4470,12.4938265,7.8239014,2338,0,-2.69,14.7,55.4,13,0,55.4,4.5,349.5,0,47.5,2,0,0,12.4938265,7.8239014
NGC4644,12.7118501,55.1454901,4915,0,4.17,14.8,186.1,9.9,1,186.1,5.8,57,2,72.9,2,-3.2,-0.1,12.71179084,55.14546232
NGC4676A,12.7694665,30.7320598,6541,0,0.65,NaN,NaN,NaN,0,NaN,NaN,185.3,0,50,0,-2.1,-0.8,12.76942761,30.73183758
NGC4711,12.8127385,35.332715,4044,1,1.34,15.8,148.1,7.9,1,142.8,10.5,220,0,58.3,2,3,0.6,12.81279406,35.33288167
NGC4961,13.0965545,27.7338728,2521,0,0.13,8.5,105.2,7.1,1,NaN,NaN,100,0,46.6,2,-2.2,0.4,13.09651376,27.73398391
NGC5000,13.1631931,28.9068429,5557,0,0.29,17.6,111.2,28.3,0,176,75.5,31.3,0,20,0,0,0,13.1631931,28.9068429
NGC5016,13.2018597,24.0949897,2588,0,-0.44,14.7,178.4,9.3,1,178.4,0.8,57.4,2,39.9,2,-0.1,-0.6,13.20185785,24.09482303
NGC5056,13.2700896,30.9502441,5544,0,0.58,12.6,175.6,10.6,1,176.5,2,178,0,61.4,3,-1,1,13.27007108,30.95052188
NGC5205,13.5010074,62.5115234,1762,0,5.01,NaN,NaN,NaN,0,NaN,NaN,169,2,49.8,2,0,0,13.5010074,62.5115234
NGC5218,13.5362025,62.7677788,2888,0,5.04,14.2,235.4,15.8,1,235.4,14,236.4,0,30.1,2,0,0,13.5362025,62.7677788
NGC5394,13.9760117,37.4534963,3431,0,1.42,14.5,32.7,8.8,0,32.7,26.2,189.3,0,70.2,2,0,0,13.9760117,37.4534963
NGC5406,14.0055875,38.9154293,5350,0,1.64,27.5,255.1,13.9,1,291.5,23.2,111.4,2,45,2,0,0,14.0055875,38.9154293
NGC5480,14.1059964,50.7251448,1879,0,3.36,19.2,115.6,8.3,1,111.4,6.6,183,0,41.5,3,-0.9,-0.4,14.10597973,50.72503369
NGC5485,14.1198182,55.0016217,1893,1,3.95,NaN,NaN,NaN,0,NaN,NaN,74.5,0,47.2,2,2,-0.6,14.11985524,55.00145503
NGC5520,14.2063358,50.3484845,1870,0,3.29,12.1,160,9.7,1,162.3,0.2,245.1,0,59.1,2,1.1,0.4,14.20635617,50.34859561
NGC5614,14.4021175,34.8589296,3859,0,0.95,13.2,101,14.1,0,101,9.4,270,0,35.9,2,0,0,14.4021175,34.8589296
