# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSS DR7 imaging
# DATE: 2014-09-09
# VERSION: 1.0
# COLAPRV: CJW
# PUBAPRV: None
# COLUMN1: CALIFAID, int, , the ID of the CALIFA galaxy
# COLUMN2: REALNAME, string , Galaxy name
# COLUMN3: DBName, string, , Name in CALIFA database
# COLUMN4: RA, float, degrees, right ascension J2000.0
# COLUMN5: DE, float, degrees, declination J2000.0
# COLUMN6: hubtyp, int, , Hubble type (see accompanying text file)
# COLUMN7: bar, int, Barredness A (0) or AB (1) or B (2)
# COLUMN8: merg, int, , Merging (1) or Isolated (0)
124, UGC02628, UGC02628,49.132670000000005,-0.46813999999999995,13,1,0
125, UGC02690, UGC02690,50.17893,-1.10864,15,1,0
126, NGC1324, NGC1324,51.257020000000004,-5.7458,12,0,0
127, NGC1349, NGC1349,52.864630000000005,4.3809,6,0,0
128, NGC1361, NGC1361,53.573930000000004,-6.265,5,0,0
129, MCG-01-10-015, MCG-01-10-015,54.663180000000004,-5.34735,14,1,0
130, MCG-01-10-019, MCG-01-10-019,55.1791,-6.41516,13,1,0
131, NGC1542, NGC1542,64.30905,4.7817300000000005,11,1,0
132, UGC03038, UGC03038,66.25546999999999,7.17097,11,0,0
133, UGC03107, UGC03107,69.34105,9.54465,12,0,0
134, NGC1645, NGC1645,71.02665999999999,-5.465669999999999,9,2,0
135, UGC03151, UGC03151,71.33183000000001,11.06795,10,1,0
136, NGC1656, NGC1656,71.47243,-5.1367199999999995,6,0,0
137, NGC1659, NGC1659,71.62477,-4.78885,13,1,0
138, NGC1665, NGC1665,72.07118,-5.42761,8,1,0
139, NGC1666, NGC1666,72.13685,-6.57005,9,2,0
140, NGC1667, NGC1667,72.15491999999999,-6.31998,13,2,0
141, IC2095, IC2095,72.19117,-5.124630000000001,14,1,0
142, IC2098, IC2098,72.68449,-5.4183900000000005,12,1,0
143, NGC1677, NGC1677,72.717,-4.89266,15,1,0
144, IC2101, IC2101,72.92567,-6.23154,15,1,0
145, ARP180, ARP180,73.35251,-4.792680000000001,15,1,1
146, UGC03253, UGC03253,79.92452,84.05261999999999,12,2,0
147, NGC2253, NGC2253,100.92432,65.20638000000001,13,2,0
148, UGC03539, UGC03539,102.22501,66.26163000000001,14,1,0
149, NGC2347, NGC2347,109.01703,64.71133,13,1,0
150, UGC03899, UGC03899,113.15728999999999,35.61448,16,0,0
151, NGC2410, NGC2410,113.75941999999999,32.8221,12,1,0
152, UGC03944, UGC03944,114.65211000000001,37.63351,13,1,0
153, UGC03969, UGC03969,115.30976000000001,27.61407,12,0,0
154, UGC03973, UGC03973,115.63676000000001,49.80966,13,2,0
155, UGC03995, UGC03995,116.03803,29.247429999999998,12,2,0
156, NGC2449, NGC2449,116.83458,26.9302,11,1,0
157, UGC04029, UGC04029,117.07901000000001,34.33227,14,1,0
158, UGC04054, UGC04054,117.73355,23.89591,15,0,0
159, IC0480, IC0480,118.84678999999998,26.741120000000002,14,1,0
160, NGC2476, NGC2476,119.18828,39.927890000000005,6,0,0
161, NGC2480, NGC2480,119.29352,23.77981,17,0,1
162, NGC2481, NGC2481,119.3073,23.767770000000002,8,0,0
163, NGC2486, NGC2486,119.48536999999999,25.160870000000003,11,2,0
164, NGC2487, NGC2487,119.58527,25.14921,12,2,0
165, UGC04132, UGC04132,119.80436,32.91467,13,1,0
166, UGC04140, UGC04140,119.84257,18.11019,15,0,0
167, UGC04145, UGC04145,119.91716000000001,15.38681,10,1,0
168, UGC04136, UGC04136,119.97683,47.4131,10,1,0
169, IC0485, IC0485,120.08236000000001,26.70144,11,1,0
170, NGC2507, NGC2507,120.40503999999999,15.70974,9,0,0
171, NGC2513, NGC2513,120.6028,9.41355,2,0,0
172, UGC04176, UGC04176,120.67853999999998,40.67863,16,1,0
173, UGC04190, UGC04190,120.73971999999999,16.299310000000002,9,0,0
174, UGC04197, UGC04197,120.85636000000001,10.05053,11,1,0
175, UGC04210, UGC04210,121.27251000000001,25.06258,15,0,0
176, UGC04195, UGC04195,121.27876,66.78304,12,2,0
177, NGC2522, NGC2522,121.55601999999999,17.70658,11,0,0
178, UGC04233, UGC04233,121.82196,8.869060000000001,13,0,0
179, NGC2530, NGC2530,121.98168999999999,17.8185,16,1,0
180, UGC04240, UGC04240,122.02553999999999,14.83775,12,1,0
181, UGC04245, UGC04245,122.19096,18.19421,13,1,0
182, UGC04258, UGC04258,122.69913999999999,46.912279999999996,17,0,0
183, NGC2540, NGC2540,123.19353000000001,26.36178,13,2,0
184, NGC2543, NGC2543,123.24136000000001,36.25463,13,2,0
185, UGC04280, UGC04280,123.63893,54.79956,12,1,0
186, IC2247, IC2247,123.99623999999999,23.19962,11,0,0
187, UGC04308, UGC04308,124.3575,21.685489999999998,14,2,0
188, NGC2553, NGC2553,124.39583,20.90306,12,1,0
189, NGC2554, NGC2554,124.47295,23.472179999999998,9,0,0
190, UGC04262, UGC04262,124.76158999999998,83.26646,13,1,0
191, NGC2558, NGC2558,124.80317,20.51073,12,1,0
192, NGC2565, NGC2565,124.95126,22.03145,12,2,0
193, UGC04323, UGC04323,125.08287,66.98206,5,0,0
194, NGC2572, NGC2572,125.35262,19.147779999999997,10,1,0
195, NGC2577, NGC2577,125.68101999999999,22.55307,7,0,0
196, UGC04375, UGC04375,125.79683999999999,22.66465,13,0,0
197, IC2341, IC2341,125.92268,21.43488,6,0,0
198, UGC04386, UGC04386,126.00683000000001,21.02717,13,1,0
199, IC2361, IC2361,126.43541,27.874570000000002,13,0,0
200, UGC04405, UGC04405,126.63701999999999,23.19275,11,0,0
201, NGC2592, NGC2592,126.78355,25.97032,4,0,0
202, UGC04416, UGC04416,126.81997,22.87758,13,2,0
203, NGC2596, NGC2596,126.86048999999998,17.28408,13,0,0
204, NGC2595, NGC2595,126.92509,21.4791,14,1,0
205, UGC04425, UGC04425,127.05993000000001,28.057309999999998,14,2,0
206, NGC2598, NGC2598,127.51051000000001,21.48865,11,1,0
207, UGC04464, UGC04464,128.25083999999998,26.014029999999998,14,2,0
208, UGC04461, UGC04461,128.34447,52.53227,13,0,0
209, NGC2604, NGC2604,128.34641000000002,29.538809999999998,16,2,0
210, UGC04468, UGC04468,128.37819,41.52547,7,0,0
211, UGC04505, UGC04505,129.0486,50.41899,12,0,0
212, NGC2620, NGC2620,129.36758,24.946720000000003,11,1,0
213, NGC2623, NGC2623,129.60003999999998,25.75453,15,1,1
214, UGC04515, UGC04515,130.03946000000002,52.45599,12,2,0
215, UGC04532, UGC04532,130.42191,18.85993,15,0,0
216, NGC2638, NGC2638,130.60736,37.22104,12,0,0
217, UGC04548, UGC04548,130.78143,18.2226,13,1,0
218, UGC04550, UGC04550,130.81635,13.0858,12,1,0
219, NGC2639, NGC2639,130.90861999999998,50.20554,10,0,0
220, UGC04546, UGC04546,130.96388000000002,51.9912,10,1,0
221, UGC04551, UGC04551,131.02466,49.79387,8,0,0
222, UGC04559, UGC04559,131.03171,30.11914,11,0,0
223, IC2393, IC2393,131.70496,28.17131,3,0,0
224, UGC04587, UGC04587,131.84471000000002,49.55878,7,0,0
225, IC2407, IC2407,132.03812,17.61147,13,0,0
226, UGC04659, UGC04659,133.6689,47.104890000000005,17,0,0
227, NGC2692, NGC2692,134.24171,52.06595,10,2,0
228, NGC2693, NGC2693,134.24696,51.347429999999996,3,0,0
229, NGC2710, NGC2710,134.95172,55.706230000000005,14,2,0
230, NGC2719, NGC2719,135.06546,35.72763,16,0,1
231, UGC04722, UGC04722,135.10054,25.61474,17,0,0
232, NGC2730, NGC2730,135.56593,16.83829,15,2,0
233, NGC2735, NGC2735,135.66109,25.93459,11,1,1
234, NGC2738, NGC2738,136.00191,21.96761,15,1,0
235, 2MASXJ09043394+4517323, 2MASXJ09043394+4517323,136.14104,45.29221,14,0,0
236, UGC04773, UGC04773,136.50122,18.764570000000003,12,1,0
237, IC2434, IC2434,136.81688,37.21537,13,2,0
238, NGC2764, NGC2764,137.07277,21.44334,11,1,1
239, UGC04800, UGC04800,137.33101000000002,54.91195,14,2,0
240, NGC2742A, NGC2742A,137.49199,62.24736,12,1,1
241, NGC2769, NGC2769,137.63402,50.43327,11,1,0
242, NGC2776, NGC2776,138.06052,44.95485,13,0,0
243, NGC2778, NGC2778,138.10155,35.02753,4,0,0
244, UGC04845, UGC04845,138.10777,9.95552,15,2,0
245, UGC04851, UGC04851,138.35785,52.98131,6,0,0
246, NGC2783, NGC2783,138.41446000000002,29.992959999999997,6,0,1
247, UGC04869, UGC04869,138.64603,30.14156,11,0,0
248, NGC2794, NGC2794,139.00745,17.58982,12,0,0
249, NGC2795, NGC2795,139.01633,17.62837,1,0,0
250, NGC2796, NGC2796,139.17438,30.915409999999998,4,0,0
251, IC2450, IC2450,139.272,25.42916,16,1,0
252, UGC04906, UGC04906,139.41631,52.99292,11,0,0
253, NGC2800, NGC2800,139.64673,52.51444,2,0,0
254, UGC04926, UGC04926,139.64841,34.55322,12,0,0
255, CGCG151-054, CGCG151-054,139.69815,27.95627,5,0,1
256, UGC04938, UGC04938,139.79482,20.24296,12,2,0
257, NGC2826, NGC2826,139.85069,33.624,10,1,0
258, NGC2832, NGC2832,139.94527,33.74974,4,0,1
259, IC2461, IC2461,139.99178,37.19126,11,1,0
260, NGC2805, NGC2805,140.08493,64.10297,14,0,0
261, UGC04958, UGC04958,140.26102,49.60229,12,1,0
262, UGC04970, UGC04970,140.43985,39.5248,12,0,0
263, UGC04982, UGC04982,140.76288,44.55494,14,0,0
264, NGC2854, NGC2854,141.01178000000002,49.20381,13,2,0
265, NGC2860, NGC2860,141.22171,41.060179999999995,11,2,0
266, NGC2872, NGC2872,141.42723,11.432139999999999,3,0,0
267, NGC2874, NGC2874,141.44818,11.42822,13,2,0
268, UGC05020, UGC05020,141.50621,34.65345,15,0,0
269, NGC2882, NGC2882,141.64932,7.95445,13,0,0
270, 2MASXJ09283754+3832213, 2MASXJ09283754+3832213,142.15646,38.53922,17,1,0
271, NGC2894, NGC2894,142.37604,7.71881,10,0,0
272, NGC2880, NGC2880,142.39403000000001,62.49057,7,1,0
273, IC2487, IC2487,142.53819,20.09085,14,1,0
274, IC0540, IC0540,142.54308,7.90275,11,1,0
275, NGC2906, NGC2906,143.02591,8.44177,13,0,0
276, NGC2919, NGC2919,143.698,10.283710000000001,14,1,0
277, NGC2916, NGC2916,143.74001,21.70526,13,0,0
278, UGC05108, UGC05108,143.8595,29.812620000000003,12,2,0
279, NGC2918, NGC2918,143.9335,31.705470000000002,6,0,0
280, UGC05111, UGC05111,144.21898000000002,66.7883,12,1,0
281, UGC05113, UGC05113,144.23783999999998,66.54867,9,1,0
282, NGC2927, NGC2927,144.31331,23.59061,13,2,0
283, NGC2929, NGC2929,144.3743,23.16161,14,1,0
284, NGC2939, NGC2939,144.53288,9.52391,13,0,0
285, NGC2943, NGC2943,144.63695,17.0313,5,0,0
286, NGC2942, NGC2942,144.78316999999998,34.00632,14,1,0
287, UGC05145, UGC05145,144.8947,48.42194,11,0,0
288, NGC2954, NGC2954,145.10037,14.922620000000002,5,0,0
289, UGC05164, UGC05164,145.20801,11.55415,14,1,1
290, UGC05157, UGC05157,145.24225,47.62045,14,1,0
291, NGC2955, NGC2955,145.31926,35.882259999999995,13,0,0
292, NGC2968, NGC2968,145.80002,31.9287,10,0,0
293, NGC2965, NGC2965,145.8298,36.247820000000004,4,0,0
294, NGC2959, NGC2959,146.28736999999998,68.59456999999999,11,2,0
295, UGC05215, UGC05215,146.30998,9.110339999999999,13,1,0
296, IC0565, IC0565,146.96014,15.852039999999999,11,1,1
297, UGC05244, UGC05244,147.19907,64.16691,13,0,0
298, UGC05267, UGC05267,147.47028999999998,9.09576,12,0,0
299, NGC3021, NGC3021,147.73813,33.55362,13,1,0
300, UGC05315, UGC05315,148.56082,37.29886,14,0,0
301, UGC05320, UGC05320,148.57405,23.28748,13,2,0
302, NGC3053, NGC3053,148.89005,16.43286,12,1,0
303, NGC3043, NGC3043,149.06174,59.30716999999999,14,1,0
304, NGC3060, NGC3060,149.07986,16.83119,11,1,0
305, NGC3070, NGC3070,149.52893,10.35978,2,0,0
306, UGC05358, UGC05358,149.6964,11.3887,16,2,0
307, UGC05359, UGC05359,149.71518999999998,19.214979999999997,12,2,0
308, NGC3075, NGC3075,149.7345,14.418779999999998,15,0,0
309, UGC05396, UGC05396,150.41869,10.75643,13,1,0
