# (1) Name
# (2) QC_flag  0:OK;1:BAD;2:WARNING
# (3) Reason   0:OK,1:partially covered/too large,2:bad quality,3:not good quality,4:too small,5:repeated, 6:Crowded with field stars, 7:Bright single field star, 8:Scale factor is clearly wrong, 9:Wrong convolucion, 10:Integrated and resolved masses do not match, 11:pyPipe3D fitting issues
# (4) multiple 0:single,1:multiple
NGC0932,0,0,0
NGC0938,0,0,0
NGC0941,0,0,0
NGC0955,0,0,0
NGC0962,0,0,0
NGC0976,1,2,0
NGC0991,0,0,0
NGC1015N,1,1,0
NGC1015S,2,1,0
NGC1026,0,0,0
NGC1041,0,0,0
NGC1056,0,0,0
NGC1060,0,0,0
NGC1070,0,0,0
NGC1093,0,0,0
NGC1094,0,0,0
NGC1132,0,0,0
NGC1142,0,0,1
NGC1167,2,7,0
NGC1211,0,0,0
NGC1259,0,0,0
NGC1260,1,2,0
NGC1270,0,0,0
NGC1271,0,0,0
NGC1277,0,0,0
NGC1278,1,2,0
NGC1281,0,0,0
NGC1324,0,0,0
NGC1349,0,0,0
NGC1361,0,0,0
NGC1488,1,2,0
NGC1542,0,0,0
NGC1550,1,2,0
NGC1590,2,3,0
NGC1645,0,0,0
NGC1656,2,7,0
NGC1659,0,0,0
NGC1665,0,0,0
NGC1666,2,7,0
NGC1667,0,0,0
NGC1677,0,0,0
NGC2253,0,0,0
NGC2276N1,1,1,0
NGC2276N2,1,2,0
NGC2276N3,1,2,0
NGC2276P1,1,1,0
NGC2276P2,1,1,0
NGC2276P3,1,1,0
NGC2276P4,1,2,0
NGC2276P5,1,2,0
NGC2315,0,0,0
NGC2333,2,7,0
NGC2347,0,0,0
NGC2410,0,0,0
NGC2431,2,3,0
NGC2445,2,1,0
NGC2449,2,7,0
NGC2476,0,0,0
NGC2480,0,0,0
NGC2481,2,7,0
NGC2484,0,0,0
NGC2486,1,2,0
NGC2487,0,0,0
NGC2507,1,2,0
NGC2513,0,0,0
NGC2522,0,0,0
NGC2526,0,0,0
NGC2530,2,7,0
NGC2540,0,0,0
NGC2543,0,0,0
NGC2553,0,0,0
NGC2554,0,0,0
NGC2558,2,3,0
NGC2565,2,7,0
NGC2572,2,7,0
NGC2577,1,2,0
