name-obj,redshift,error redshift,u band mag,u band mag error,u band abs mag,u band abs mag error,g band mag,g band mag error,g band abs mag,g band abs mag error,r band mag,r band mag error,r band abs mag,r band abs mag error,i band mag,i band mag error,i band abs mag,i band abs mag error,B band mag,B band mag error,B band abs mag,B band abs mag error,V band mag,V band mag error,V band abs mag,V band abs mag error,R band mag,R band mag error,R band abs mag,R band abs mag error,X centroid,Y centroid,Re (arcsec),error Re (arcsec),mean S/N at Re,sigma S/N at Re,ellipticy,Pa (deg),R50 (arcsec),error R50 (arcsec),R90 (arcsec),error R90 (arcsec),C (R90/R50),error C (R90/R50),SN at Re,error_SN at Re,SN integrated,SN at R50,error_SN at R50,R_50 (kpc),error Re (kpc),B-V (mag),error B-V (mag),B-R (mag),error B-R (mag),log10 Mass/Msun phot.,error Mass phot.,nRe (R_FoV/Re),V-band SB at Re (mag),error V-band SB at Re (mag),V-band SB at R_50 (mag),error V-band SB at R_50 (mag)
NGC6946P4,0.000459030989096251,1.06937706611551e-08,15.9087733781366,0.0828251115046795,-9.09321971070946,0.0828251115047315,15.1573592706681,0.067677646770782,-9.84463381817794,0.0676776467708457,14.6193324225938,0.0680451857255804,-10.3826606662523,0.0680451857256438,14.4721371217498,0.0872751970153215,-10.5298559670963,0.0872751970153709,15.3342608251415,0.072252286456703,-9.66773226370463,0.0722522864567626,14.9021508862696,0.0676534111821297,-10.0998422025765,0.0676534111821934,14.5872146158557,0.0719327234065318,-10.4147784729904,0.0719327234065918,22.0957183837891,19.1677684783936,40.0509357261669,40.0509357261669,6.8478573297132,10.5428701539815,0.619349483073712,-48.2479140069291,33.3274665081151,0.0323406742692214,62.7008268203521,0.0103626425794801,1.88135593220339,0.00213658490812672,6.75177026567929,3.40322842149904,31.9052851306609,6.8478573297132,10.5428701539815,0.18344582237521,0.200254478633246,0.432109938871843,0.0989817000399558,0.747046209285728,0.101954448627326,5.94198556463114,0.322517160824281,1.17020596181542,23.3269136751457,0.134645333376688,23.4054279415767,0.875728725661706
NGC7253AF1,0.000454283781227077,3.85679375379685e-09,15.158375278345,0.0684424927084588,-9.84359720304979,0.068442492708467,14.0594822971974,0.056312511546999,-10.9424901841974,0.056312511547009,13.760621894411,0.0580117020496312,-11.2413505869838,0.0580117020496409,13.6183159435741,0.0682808645719719,-11.3836565378207,0.0682808645719801,14.230267664712,0.0584039109312289,-10.7717048166828,0.0584039109312385,13.8720402702666,0.0564068545953265,-11.1299322111282,0.0564068545953365,13.7476794921054,0.0599895917711629,-11.2542929892894,0.0599895917711723,58.4361877441406,41.9210929870605,40.9475698091983,40.9475698091983,30.6856507711554,24.4069091317604,0.674033546315342,-1.89823336193652,40.1059342724774,0.572946398234762,57.6169759970803,0.884970913949019,1.43661971830986,0.0425891339566637,28.7215463601235,23.3490939655671,49.2442999579521,30.6856507711554,24.4069091317604,0.202633557830573,0.204737644570988,0.358227394445404,0.0811957514738378,0.482588172606558,0.0837243568678416,6.25393999549797,0.28075912539933,0.972424672494504,22.4969554255541,0.505257146201911,22.4278338913746,0.49461510512722
NGC7253AF2,0.000502243146321648,2.98919075307988e-10,15.1545691971421,0.0683866275081071,-9.84761146956144,0.0683866275081071,14.0198626489004,0.0566660479140417,-10.9823180178032,0.0566660479140418,13.7401091008248,0.0589375366333552,-11.2620715658787,0.0589375366333552,13.6065006692868,0.0690631864464913,-11.3956799974168,0.0690631864464914,14.1904950127844,0.0585355660781804,-10.8116856539192,0.0585355660781805,13.8421191910857,0.0576926608213719,-11.1600614756179,0.057692660821372,13.7297721757959,0.0609809556983483,-11.2724084909077,0.0609809556983483,47.4148979187012,35.3546981811523,49.1762648861698,49.1762648861698,24.7793359550017,21.001447697752,0.721600987844273,12.3211997992724,32.1977218807213,0.408176578640621,42.9302958409618,1.29895412891699,1.33333333333333,0.0572459621190811,0,0,48.7576548153582,24.7793359550017,21.001447697752,0.203434763743434,0.245881078865191,0.348375821698701,0.0821879286072042,0.460722836988518,0.0845286309718603,6.25093114023465,0.281656765276195,1.21126582012473,38.9,0.505257146201911,22.5614873629528,0.43268282036923
PTF11owc,0.0959296583264623,1.93769032695771e-10,12.5864147481457,0.0621246122855628,-25.5820896651725,0.0621246122855628,11.5243640444359,0.0505884096190249,-26.6441403688823,0.0505884096190249,9.73355967203707,0.0503960095217149,-28.4349447412811,0.0503960095217149,18.1586581134142,0.05,-20.009846299904,0.05,11.3636376041558,0.0506387787864274,-26.8048668091624,0.0506387787864274,10.9781292475834,0.0506498240699533,-27.1903751657348,0.0506498240699533,9.53108031671992,0.0503659882893868,-28.6374240965983,0.0503659882893868,37.7340316772461,33.6749229431152,17.6745750823586,17.6745750823586,0,0,0.711718362900082,-1.7618978900558,53.0979974875054,11.6407339493926,27.6787433711464,3.18788494273099,0.521276595744681,0.174317818859702,5.21889273809717,9.52817269726324,9.22820610234552,0,0,63.3782261509278,31.6558569518008,0.385508356572464,0.0716218583624996,1.83255728743591,0.0714214162093372,12.9781248929429,0.266589881426325,0.734490976033083,19.9952046305533,0.667669656228095,38.9,0.43268282036923
PTF11qzq,0.0675504086233347,4.53848535956648e-06,17.0169894736429,0.120829014818372,-20.3503862485813,0.120829016229,16.4634737532613,0.110501066685659,-20.9039019689629,0.110501068228131,16.1997008650216,0.121525887004044,-21.1676748572025,0.121525888406583,15.8718014075319,0.148224521546545,-21.4955743146922,0.148224522696454,16.6360068276315,0.114652283860379,-20.7313688945927,0.114652285347002,16.262320839501,0.0997893494576871,-21.1050548827231,0.0997893511657329,16.1300779316124,0.129687688717086,-21.2372977906118,0.129687690031358,36.5425415039062,31.0789051055908,11.5892085258615,11.5892085258615,8.85954552866561,3.22189310102832,0.524017340685491,-75.2451738762399,9.03795701914985,0.00426107178022406,25.9841264300558,0.0178154970245217,2.875,0.00332664542760727,6.88537257781518,2.85268922320134,19.3410940418877,8.85954552866561,3.22189310102832,13.4610051749074,15.1259168982073,0.373685988130475,0.151996909375123,0.505928896019132,0.173101250137545,10.4279797409665,0.412394864206168,4.31513448419436,23.8516905054607,0.0806182880260425,23.6697038362485,0.110988992290754
PTF13ddg,0.0881395933468943,1.59409578063467e-05,17.8820789577746,0.171310107843814,-20.1082733958777,0.17131011965831,17.6699047780347,0.185673247518165,-20.3204475756176,0.185673258418727,17.3428159199428,0.212621642868972,-20.6475364337096,0.212621652387959,18.1586581134142,0.05,-19.8316942402381,0.0500000404788388,17.970396856355,0.204810441316994,-20.0199554972973,0.204810451199023,17.366700655769,0.179714057859308,-20.6236516978834,0.179714069121325,17.2696852641947,0.217929227042302,-20.7206670894576,0.217929236329458,35.2021141052246,31.5370254516602,11.7571773628561,11.7571773628561,0,0,0.911827464188743,81.3522295008468,14.1218078424216,0.0158080608529474,41.2356788998712,0.000443123987241556,2.92,0.0033000492711602,0,0,3.91074239043415,0,0,21.6564896436295,19.6776796135794,0.603696200586015,0.272478365131474,0.70071159216031,0.299065987487239,10.59059852806,0.663802357913308,2.76168606988439,38.9,0.0806182880260425,38.9,0.110988992290754
SN2007jd,0.0728440509850049,1.00030607205507e-05,17.7010428773217,0.158805733211255,-19.8308636515027,0.158805738373814,16.8022531362164,0.109809024694473,-20.729653392608,0.109809032160563,16.49149775906,0.127720290996169,-21.0404087697644,0.127720297415228,16.3480087576067,0.180803208780919,-21.1838977712177,0.180803213315374,16.9735073693381,0.116872564904906,-20.5583991594864,0.11687257191976,16.5704840739463,0.111877564654034,-20.9614224548781,0.111877571982081,16.4211392905038,0.131854450617795,-21.1107672383206,0.13185445683559,30.58056640625,31.8752384185791,11.4389526195019,11.4389526195019,9.03789794662924,8.22019559337897,0.718796678881345,-3.13557405398052,5.08385082327179,0.193213215594369,37.2815727039931,0.00372395368194756,7.33333333333333,0.279437953123572,8.14651680895183,2.773371112197,10.3720134549255,9.03789794662924,8.22019559337897,11.5167893266387,15.9464473317115,0.40302329539173,0.161789325668812,0.552368078834245,0.176195325066166,10.4145135339029,0.436454104378737,7.67135019412331,23.7985109775959,0.0526492754131471,22.9448889196829,0.304890633482871
SN2008bz,0.0605455750461678,3.1448054837333e-07,17.235891331237,0.131540770562613,-19.8810569721611,0.131540770568916,16.2824488516517,0.0914306185908208,-20.8344994517464,0.0914306185998901,15.7727715020352,0.0970241821355877,-21.344176801363,0.0970241821441341,15.5288050045044,0.129214614962678,-21.5881432988937,0.129214614969096,16.5066197067649,0.09740109953222,-20.6103285966333,0.0974010995407334,15.9703313549042,0.0891374921064378,-21.1466169484939,0.0891374921157404,15.7037358652502,0.101197466097251,-21.4132124381479,0.101197466105445,30.58056640625,32.8239059448242,12.6688343281387,12.6688343281387,8.71867801568001,7.08332105551589,0.909865475129547,11.7539435615227,7.90821239175612,0.241190231956921,54.792614428596,0.0186445288581805,6.92857142857143,0.213670067916599,4.49235098198352,1.78668751815199,15.9306438254934,8.71867801568001,7.08332105551589,12.1242143729025,14.929223356492,0.536288351860653,0.132032066897064,0.802883841514626,0.140456047696743,10.701804057537,0.3963146275518,4.9315822676507,23.6375011084985,0.152008401092801,23.0337229295216,0.356117296277936
SQdF1,0.0776018117116695,6.24961109689627e-06,17.6936633610565,0.16517479299287,-19.9911368048505,0.165174794913237,17.4071032509422,0.185267430413566,-20.2776969149648,0.185267432125665,17.636462037089,0.268175188009821,-20.0483381288181,0.268175189192615,18.3833709211803,0.49745074317749,-19.3014292447267,0.497450743815133,17.5603699090369,0.182654371259519,-20.1244302568701,0.182654372996112,17.3800095858305,0.206607512184239,-20.3047905800765,0.206607513719499,17.5909730852554,0.276347669169016,-20.0938270806516,0.276347670316831,39.5212707519531,32.3005599975586,78.085807168162,78.085807168162,0,0,0.626672393660128,-62.1288661257957,48.5790189779304,0.0663216184684643,53.6628698012022,0.231182398981218,1.1046511627907,0.0062669987650199,0,0,1.91384331791692,0,0,93.8942535604875,115.767080740574,0.180360323206397,0.275770345452826,-0.0306031762184951,0.331256175180717,9.79006375602811,0.628506594119328,0.802815717989649,38.9,0.152008401092801,38.9,0.356117296277936
SQdF2,0.0743901173289853,5.388358571459e-06,17.901532309191,0.180063702404997,-19.6919958229351,0.180063703722348,17.8313718670217,0.222533985135755,-19.7621562651045,0.222533986201691,19.0503614899114,0.583469043419859,-18.5431666422147,0.583469043826405,20.4897407149482,2.61158868084767,-17.103787417178,2.6115886809385,17.8347245202857,0.205164510032442,-19.7588036118405,0.205164511188622,18.0550304319922,0.277062715327988,-19.538497700134,0.277062716184138,19.286690462501,0.735300471764683,-18.3068376696252,0.735300472087282,41.7553176879883,34.7438697814941,55.9363135954003,55.9363135954003,3.63758528061724,2.31490441858444,0.727248856833923,-37.21162242371,22.0300202341778,0.0226064284721588,36.1518280765994,0.0318650805912286,1.64102564102564,0.00313040154448261,0,0,0.435245100692171,3.63758528061724,2.31490441858444,55.7478733504348,79.9917188057797,-0.22030591170649,0.344755310911623,-1.45196594221529,0.763386704072201,8.83916281247464,0.717742341368652,1.77031158325923,38.9,0.152008401092801,23.7130274143776,0.151327660930227
UGC00386,0.000466458633509876,1.96598034294962e-09,15.3671071189918,0.0773417366098451,-9.63491821278386,0.077341736609847,13.2467179249046,0.0535511682133736,-11.7553074068711,0.0535511682133763,17.960258441849,1.00130422017356,-7.04176688992663,1.00130422017356,14.1995188375072,0.0804683861865534,-10.8025064942685,0.0804683861865552,13.0261539234272,0.0533077854552068,-11.9758714083484,0.0533077854552095,14.0270627969944,0.0587357265928203,-10.9749625347812,0.0587357265928228,15.5117884580204,0.129771303307464,-9.49023687375522,0.129771303307465,38.0319061279297,34.2857513427734,86.0150667187772,86.0150667187772,-1.78625135895589,0.408008079262542,0.530185685657166,-83.5855921384735,42.9302958409618,0.141738502163207,51.4033805464148,2.54378960752217,1.19736842105263,0.0632071771438998,0,0,-2.28422417098161,-1.78625135895589,0.408008079262542,0.322363084449796,0.43007490407069,-1.00090887356721,0.0793196417574165,-2.48563453459322,0.140293660413635,4.04519050281947,0.112856609013404,0.90844936509355,38.9,0.152008401092801,23.3552714859192,0.250799388121966
UGC02175,0.0867739351536363,1.96573171541941e-06,15.0843112715951,0.0674396818297296,-22.8544026821184,0.0674396822872317,13.9578535481843,0.0532325588185776,-23.9808604055291,0.0532325593981815,14.2918413156688,0.0623557593328275,-23.6468726380446,0.0623557598276302,18.1586581134142,0.05,-19.7800558402992,0.050000000617076,14.0072865330757,0.0536390752256165,-23.9314274206378,0.0536390758008278,14.052770408491,0.0567228629101503,-23.8859435452224,0.0567228634540897,14.2785945445918,0.0639516209879655,-23.6601194091216,0.0639516214704208,35.4999885559082,33.8276290893555,36.2338364220239,36.2338364220239,12.0209170110401,9.23249927742107,0.362690483222998,63.3512270886943,31.6328495670245,3.3277421244793,46.8844020368398,2.1408160996217,1.48214285714286,0.223596843681301,2.86922236721271,9.98574818335283,9.66112412481046,12.0209170110401,9.23249927742107,55.5981806734679,59.3674305596608,-0.0454838754153215,0.0780681341379634,-0.27130801151613,0.0834683186487408,10.9235135142473,0.226674677345173,1.23289556691268,22.7939500191062,2.17944239719331,21.080347838742,0.441233903983622
UGC04145,0.000456564261965525,1.10255363514831e-09,15.5596576197454,0.0752403717841192,-9.44232476114294,0.0752403717841198,14.3417082090865,0.0576495111617557,-10.6602741718019,0.0576495111617565,13.6622328823949,0.0557717427320805,-11.3397494984935,0.0557717427320813,13.3198996890991,0.0651005239789161,-11.6820826917893,0.0651005239789168,14.6445143687242,0.0609303025463126,-10.3574680121641,0.0609303025463134,13.9859069844268,0.0576295169466384,-11.0160753964615,0.0576295169466392,13.5848289769676,0.0580062310703435,-11.4171534039207,0.0580062310703442,33.5638160705566,32.9113883972168,11.7781598204721,11.7781598204721,46.0027361440579,35.2248391592084,0.849970578999232,39.0046079570697,10.1677016465436,1.43235687993081,34.4572111355088,0.0468525591641367,3.38888888888889,0.482011672338088,32.9171550560719,26.2070882753201,64.6094602364706,46.0027361440579,35.2248391592084,0.0548645988733217,0.0588907402871664,0.658607384297406,0.0838669362257146,1.05968539175658,0.0841262421089357,6.68047906298634,0.322149780400568,3.83567509706166,22.8990280727945,0.490785369332157,22.4608513536366,0.482317193785206
UGC06035,0.000464481809281419,6.4529361353536e-09,15.8657846051542,0.0817969538911984,-9.13623214537724,0.0817969538912175,14.6482902519677,0.0623910104188926,-10.3537264985637,0.0623910104189177,14.3500172927799,0.0633102059142296,-10.6519994577516,0.0633102059142544,14.2260484464737,0.081483378485036,-10.7759683040577,0.0814833784850553,14.8319698132626,0.0656836088503088,-10.1700469372688,0.0656836088503327,14.4782937741816,0.0615234019962925,-10.5237229763498,0.061523401996318,14.3360782673314,0.0670977595511033,-10.6659384832001,0.0670977595511267,46.2234077453613,32.9113883972168,9.86185894120751,9.86185894120751,7.64441930118925,5.7454444277615,0.290122775695725,61.2041045263956,13.5569355287248,0.38947035270732,44.0600404683555,0.227802844271096,3.25,0.11017102555406,10.0603466749987,5.23234563231933,41.5359079746731,7.64441930118925,5.7454444277615,0.0585469277030081,0.0493092454600469,0.353676039081021,0.0899970303109929,0.495891545931277,0.0938959307338611,5.99457637149887,0.29621762119864,2.87675632279624,22.8199655411476,0.167811343670241,23.2636945520607,0.325151321493779
