Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
NGC5614,3838.5,3.28,7,5.33,3.90,10.6,47.1,1022,21.69,2.65E+04,04/03/15 00:38:54 CDT
NGC5633,2307.6,3.32,7,4.42,3.55,10.6,62.4,735,11.78,1.55E+04,04/03/15 00:43:50 CDT
NGC5657,3870.7,3.34,7,4.52,3.63,10.1,56.7,349,6.16,1.27E+03,04/05/15 17:24:54 CDT
NGC5682,2253.9,3.32,7,4.29,3.47,10.1,62.6,290,4.63,5.90E+02,04/03/15 00:51:43 CDT
NGC5732,3722.2,2.32,7,4.82,3.18,10.7,64.2,309,4.81,3.44E+02,04/03/15 00:55:38 CDT
NGC5784,5400,3.26,7,4.55,3.59,6.8,38.3,322,8.42,1.98E+03,04/03/15 00:59:57 CDT
NGC5876,3231.8,2.88,7,4.47,3.84,11,59.1,286,4.83,6.49E+02,04/03/15 01:04:00 CDT
NGC5908,3283,6.17,10,4.28,3.52,6.6,40.5,1117,27.56,4.24E+04,04/03/15 01:14:28 CDT
NGC5930,2600.5,3.65,7,4.73,3.57,10.1,55.3,1649,29.84,1.43E+04,04/03/15 01:20:21 CDT
NGC5934,5520,3.29,7,4.50,3.57,7.2,41.2,573,13.92,9.32E+03,04/03/15 01:26:01 CDT
NGC5947,5777.4,3.33,7,4.86,3.58,7.9,41.9,193,4.61,1.21E+03,04/03/15 01:29:57 CDT
NGC5953,1965.7,6.2,10,4.83,3.74,9.1,46.3,2644,57.11,4.16E+04,04/03/15 01:38:59 CDT
NGC5980,4030.9,3.33,7,4.29,3.94,7.3,39.7,774,19.49,1.56E+04,04/05/15 17:34:07 CDT
NGC6004,3785,3.98,7,4.84,3.79,9.8,49.1,456,9.29,4.88E+03,04/03/15 01:48:24 CDT
NGC6021,4674.9,1.56,7,4.28,3.76,9.6,55.1,229,4.15,5.91E+02,04/03/15 01:52:08 CDT
NGC6027,4370.1,2.35,7,4.53,3.52,9,52.2,254,4.86,2.58E+02,04/03/15 01:55:48 CDT
NGC6060,4449.1,3.92,7,4.63,3.57,7.1,39.7,470,11.86,1.34E+04,04/03/15 02:00:51 CDT
NGC6063,2831.1,2.34,7,4.88,3.84,13.6,66.7,330,4.95,1.43E+03,04/03/15 02:04:30 CDT
NGC6081,5032.1,3.33,7,4.59,4.13,9.8,47.6,205,4.31,1.05E+03,04/03/15 02:08:40 CDT
NGC6125,4555.8,3.34,7,5.09,3.50,8.9,46.2,189,4.09,9.89E+02,04/03/15 02:12:50 CDT
NGC6146,8505.6,2.28,7,4.59,3.56,7.8,43.9,189,4.29,5.54E+02,04/03/15 02:16:45 CDT
NGC6155,2400.2,3.96,7,5.28,3.44,9.8,49.7,438,8.8,7.75E+03,04/03/15 02:21:05 CDT
NGC6168,2555.2,3.34,7,4.62,3.56,10.8,60.5,263,4.36,2.18E+03,04/03/15 02:25:03 CDT
NGC6186,2917.4,3.35,7,4.52,3.69,10.7,59,1308,22.17,1.67E+04,04/03/15 02:30:27 CDT
NGC6301,8148.2,3.31,7,4.45,3.79,7.5,41.2,252,6.12,3.26E+03,04/03/15 02:34:30 CDT
