CALIFA_name,RA,DEC,Distance,zstar,SNR,PA,Final_QS,Final_NA,SFR,Mstar,Det_4sig?
NGC6941,309.0975,-4.61869444444445,87.22312662571106,0.020657097352414,4.0954120282917685,224.921135453543,QnR,nonA,2.5534191750052666,141471656886.6891,Y
NGC6962,311.82916666666694,0.32077777777777794,58.50933893477979,0.0138567964387195,4.132127272077506,134.412561944027,nR,nonA,0.21407955183804064,100997578257.41672,Y
NGC6977,313.12375,-5.746083333333329,85.95167034319353,0.020355977715646,4.070867569063184,241.876112147028,QnR,wAGN,1.3103436945159088,118724959274.94038,Y
NGC6978,313.1475,-5.71108333333333,83.76073940587327,0.0198370984296643,5.7155618844425025,216.868870599617,MX,nonA,1.7257235395449626,109142589716.10522,Y
NGC7047,319.115,-0.8265,81.20584669538196,0.0192320218921989,5.5893812129302125,195.136692668793,cQ,nonA,2.3659180578410326,78774068652.69324,Y
NGC7253C,334.86749999999995,29.387194444444404,62.942580167035985,0.0149067232100267,9.157201237643841,210.921112747711,MX,nonA,0.05849522669825259,19382808334.564556,Y
NGC7550,348.81666666666695,18.9615,70.98874946478033,0.0168123015689721,5.675270241779366,243.414521227115,nR,wAGN,0.24862667291567653,180222280261.9057,Y
NGC7631,350.36083333333295,8.217583333333332,52.01936518090884,0.01231977266034,9.585652982285334,165.915141250957,QnR,nonA,0.963001043124218,49452336476.99718,Y
NGC7653,351.20541666666696,15.275583333333302,58.97014214413242,0.0139659286966899,12.171806722036022,253.103898432742,cQ,nonA,3.1445507768112337,53435474501.79863,Y
NGC7722,354.67166666666697,15.954583333333298,55.80338119954502,0.0132159430947649,9.40552813288431,230.831682189615,nR,nonA,0.8294560876565971,130953791721.55989,Y
NGC7782,358.4741666666669,7.970583333333331,75.25539694510067,0.0178227738574469,7.49766511662915,265.624868464959,QnR,wAGN,3.3508763845690686,200827421624.5509,Y
NGC7803,0.33291666666666697,13.111249999999998,74.35276718445532,0.0176090035930668,7.563389126807652,170.919837301744,MX,S,2.8689487892704295,101194695210.70401,Y
NGC7824,1.2758333333333298,6.92008333333333,85.8339853645067,0.0203281063224078,4.033447083927874,247.032390181691,nR,wAGN,0.411651500678762,148476290941.01004,Y
SN2000cn,269.41999999999996,27.835000000000004,98.80956189667569,0.0234011186988032,7.107050300887794,122.760670742049,cQ,nonA,1.635804217140602,1e-12,Y
SN2005W,27.674583333333295,21.7601111111111,39.80360808250822,0.00942670870612123,6.7814472726272905,182.360914147734,MX,nonA,0.17857639152279942,34897663711.966606,Y
SN2005bl,181.047083333333,20.4098611111111,100.5566564997743,0.023814884000464,5.35304646114184,123.783578383574,nR,nonA,0.2495356846021855,194237685680.4094,Y
SN2007N,192.25624999999997,-9.45691666666667,53.13405661511316,0.0125837655985096,4.207899750163844,97.3546456514084,cQ,nonA,0.189496895109339,21062907233.827698,Y
SN2014aa,176.265833333333,19.9738055555556,71.3618026384863,0.0169006519414592,5.022599389306182,128.822296119901,QnR,wAGN,1.0429133134587418,81137516473.83626,Y
SN2014dl,247.44666666666697,8.644250000000001,138.94383267597425,0.0329061384192466,5.630991292203684,180.483957596641,QnR,nonA,0.3197058248917287,40895958720.837975,Y
UGC00036,1.3075,6.77197222222222,87.87516493028872,0.0208115199150557,7.110459193225266,108.30030458193,QnR,nonA,1.547496578011401,98776419361.69037,Y
UGC00386,9.598749999999999,15.0395555555556,78.58145221388934,0.0186104852150288,9.282605818558693,261.295420134319,MX,nonA,3.558484915040073,11308331962.986797,Y
UGC02229,41.36458333333329,0.914277777777778,102.81387232362167,0.0243494615697675,6.324244808528787,263.818996555684,nR,nonA,0.3575257747668176,138720910655.89847,Y
UGC02311,42.366249999999994,-0.873,100.35531017265284,0.0237671990476103,5.97034640737357,156.28874309839,QnR,nonA,2.516141745436456,100415815968.54556,Y
