Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
NGC6168,2555.2,4.04,7,5.00,4.00,10.6,49,260,5.32,4.11E+03,06/08/16 23:37:14 CDT
NGC6186,2917.4,4.02,7,4.85,4.17,10.8,49,1122,22.87,1.82E+04,06/08/16 23:46:54 CDT
NGC6301,8148.2,3.97,7,4.84,4.13,7.2,33.3,262,7.86,4.33E+03,06/08/16 23:55:27 CDT
NGC6310,3370.9,3.99,7,5.12,3.79,9.8,46.4,220,4.74,1.35E+03,06/09/16 00:04:16 CDT
NGC6314,6530,3.99,7,4.41,3.87,5.8,31.2,239,7.66,3.02E+03,06/09/16 00:12:42 CDT
NGC6361,3777.3,6.87,13,5.54,3.98,7.7,32.2,1123,34.86,4.13E+04,06/09/16 00:30:51 CDT
NGC6394,8350,3.17,7,5.65,3.92,8.5,35.2,248,7.05,2.87E+03,06/09/16 00:44:25 CDT
NGC6478,6645.4,5.35,10,4.88,4.02,8.1,37.8,574,15.18,1.59E+04,06/09/16 00:57:27 CDT
NGC7738,6613,13.35,7,4.44,3.61,4.6,26.7,882,33.07,1.09E+04,06/09/16 01:10:42 CDT
NGC7819,4917.6,4.02,7,4.60,3.71,7.4,39.9,360,9.01,3.73E+03,06/09/16 01:20:15 CDT
UGC00809,4142.1,3.98,7,4.25,3.62,8,47.7,250,5.25,9.31E+02,06/09/16 01:29:07 CDT
UGC03253,4070.9,5.31,7,6.81,4.37,10.2,31.6,223,7.06,2.19E+03,06/09/16 01:37:40 CDT
UGC03539,3270.9,4.03,7,5.63,4.42,10,37.1,487,13.13,6.44E+03,06/09/16 01:47:19 CDT
UGC03969,7910,3.68,7,5.38,4.14,8.2,33.9,251,7.41,3.73E+03,06/09/16 01:56:20 CDT
UGC03973,6453.5,3.99,7,4.62,4.50,7.9,35,209,5.96,3.42E+03,06/09/16 02:04:19 CDT
UGC04029,4383,3.98,7,4.90,3.96,7.8,37.2,446,11.99,5.90E+03,06/09/16 02:13:34 CDT
UGC04132,5119.4,4.01,7,5.48,3.96,8.9,37.9,675,17.82,1.98E+04,06/09/16 02:24:28 CDT
UGC04280,3469.7,4.01,7,4.77,4.51,10.2,43.7,249,5.68,1.88E+03,06/09/16 02:33:24 CDT
UGC04461,4906.5,3.99,7,4.88,4.22,9.2,41.4,352,8.52,4.16E+03,06/09/16 02:42:51 CDT
UGC05108,7913.4,3.98,7,5.47,4.38,7.2,27.5,229,8.34,2.48E+03,06/09/16 02:52:17 CDT
UGC05111,6595.5,4.61,7,5.21,4.95,8.2,29.4,373,12.7,9.83E+03,06/09/16 03:01:45 CDT
UGC05244,2981.7,2.33,7,5.10,4.64,11.9,46.5,225,4.83,2.17E+03,06/09/16 03:10:13 CDT
UGC05359,8249.5,3.99,7,6.75,4.87,7.7,21.6,125,5.76,1.76E+03,06/09/16 03:18:33 CDT
UGC05498NED01,6174.4,3.93,7,5.24,3.92,10.7,47.8,250,5.23,7.12E+02,06/09/16 03:26:43 CDT
UGC05598,5519.8,2.98,7,5.83,4.07,11.1,43,307,7.14,2.30E+03,06/09/16 03:35:37 CDT
UGC06312,6201.5,2.94,7,4.61,4.57,9,39.5,189,4.78,1.63E+03,06/09/16 03:43:53 CDT
UGC07012,3031.5,4,7,4.73,3.92,8.6,42.7,249,5.83,2.05E+03,06/09/16 03:52:51 CDT
UGC08107,8076.9,3.88,7,4.87,4.47,6.7,28.2,272,9.67,7.68E+03,06/09/16 04:02:41 CDT
UGC08250,5184,4.01,7,4.87,3.92,8.1,39,166,4.27,1.18E+03,06/09/16 04:11:46 CDT
UGC08267,7078.6,4.27,7,4.70,3.92,8,39.7,445,11.2,6.20E+03,06/09/16 04:21:29 CDT
UGC09067,7645.8,4.03,7,5.61,4.39,9.7,36.1,335,9.27,4.03E+03,06/09/16 04:30:12 CDT
UGC09476,3236.1,4,7,5.16,3.89,9.8,45.2,243,5.39,4.47E+03,06/09/16 04:38:44 CDT
UGC09537,8576.5,4.36,7,4.61,3.96,6.6,33.5,223,6.66,2.49E+03,06/09/16 04:47:31 CDT
UGC09542,5386.6,3.98,7,5.06,3.61,8.1,41,289,7.04,3.76E+03,06/09/16 04:56:27 CDT
UGC09665,2535.6,4.01,7,4.57,3.73,9.4,50.8,564,11.08,6.02E+03,06/09/16 05:05:17 CDT
UGC09759,3408.4,3.97,7,5.04,3.67,8.5,42.1,620,14.73,5.04E+03,06/09/16 05:14:47 CDT
UGC09873,5528.4,3.98,7,4.73,3.70,7.6,40.2,278,6.91,1.63E+03,06/09/16 05:23:40 CDT
UGC09892,5569.7,3.67,7,4.84,4.15,7.5,34.5,194,5.6,1.29E+03,06/09/16 05:32:06 CDT
UGC09919,3151.3,4.66,7,4.82,4.49,9.8,41.9,198,4.73,1.77E+03,06/09/16 05:41:15 CDT
UGC10043,2153.2,4.29,7,4.67,3.90,10.7,54.1,610,11.26,7.58E+03,06/09/16 05:50:59 CDT
UGC10123,3720,4.01,7,4.38,3.88,8.1,43.7,589,13.46,1.03E+04,06/09/16 06:01:25 CDT
UGC10205,6432.9,2.96,7,5.57,4.14,8.6,34.4,213,6.17,2.63E+03,06/09/16 06:09:41 CDT
UGC10331,4485.4,3.01,7,6.50,4.08,14.2,49.2,194,3.94,1.66E+03,06/09/16 06:17:50 CDT
UGC10380,8510.7,4.01,7,4.82,4.38,8.2,35.9,226,6.28,1.79E+03,06/09/16 06:26:18 CDT
UGC10384,4869,4.01,7,5.15,4.04,7.6,33.8,612,18.09,7.06E+03,06/09/16 06:36:15 CDT
UGC10710,8153.9,4.01,7,5.04,3.95,8.3,38.4,236,6.16,1.72E+03,06/09/16 06:44:41 CDT
