# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDobstim, unit: h, datatype: float64, description: D array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDbmaj, unit: arcsec, datatype: float64, description: Native D-array beam major axis}
# - {name: coDbmin, unit: arcsec, datatype: float64, description: Native D-array beam minor axis}
# - {name: coRMS_mJybm, unit: mJy / beam, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coRMS_mK, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_mK, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak, datatype: float64, description: Peak brightness in SNR units}
# - {name: ImagingDate, datatype: string, description: Date of imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDobstim,coNpt,coDbmaj,coDbmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,ImagingDate
UGC09476,3236.1,3.34,7,4.64,3.49,9.9,56.5,314,5.57,04/03/15 04:47:16 CDT
UGC09537,8576.5,3.69,7,4.23,3.6,6.4,38.5,246,6.38,04/03/15 04:51:26 CDT
UGC09542,5386.6,3.32,7,4.49,3.29,8.4,52.7,324,6.15,04/03/15 04:55:39 CDT
UGC09665,2535.6,3.35,7,4.13,3.46,9.5,61.0,636,10.43,04/03/15 05:00:00 CDT
UGC09759,3408.4,3.31,7,4.6,3.43,8.6,50.1,721,14.37,04/03/15 05:04:49 CDT
UGC09873,5528.4,3.31,7,4.38,3.42,7.5,46.1,294,6.38,04/03/15 05:08:55 CDT
UGC09892,5569.7,3.01,7,4.44,3.79,7.2,39.3,228,5.81,04/03/15 05:12:54 CDT
UGC09919,3151.3,4.0,7,4.59,4.06,9.6,47.3,249,5.27,04/03/15 05:17:17 CDT
UGC10043,2153.2,3.95,7,4.5,3.72,10.4,57.3,607,10.59,04/03/15 05:22:15 CDT
UGC10123,3720.0,3.35,7,4.06,3.56,8.0,51.0,653,12.79,04/03/15 05:27:39 CDT
UGC10205,6432.9,2.3,7,5.07,3.83,8.0,37.7,230,6.11,04/05/15 18:12:49 CDT
UGC10331,4485.4,2.35,7,5.86,3.4,15.2,70.5,293,4.16,04/03/15 05:34:58 CDT
UGC10380,8510.7,3.35,7,4.54,4.04,8.2,41.1,274,6.68,04/03/15 05:39:00 CDT
UGC10384,4869.0,3.32,7,4.82,3.62,7.9,41.8,648,15.51,04/03/15 05:43:50 CDT
UGC10710,8153.9,3.35,7,4.58,3.58,8.7,48.6,278,5.72,04/03/15 05:47:39 CDT
