# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDEobstim, unit: h, datatype: float64, description: D+E array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDEbmaj, unit: arcsec, datatype: float64, description: Native D+E-array beam major axis}
# - {name: coDEbmin, unit: arcsec, datatype: float64, description: Native D+E-array beam minor axis}
# - {name: coRMS_10, unit: mK, datatype: float64, description: Noise in 10 km/s channel}
# - {name: coTpk_10, unit: mK, datatype: int64, description: Peak brightness in 10 km/s channel}
# - {name: coSNRpeak_10, datatype: float64, description: Peak brightness at 10 km/s in SNR units}
# - {name: ImagingDate_10, datatype: string, description: Date of 10 km/s imaging}
# - {name: coRMS_20, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_20, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak_20, datatype: float64, description: Peak brightness at 20 km/s in SNR units}
# - {name: ImagingDate_20, datatype: string, description: Date of 20 km/s imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDEobstim,coNpt,coDEbmaj,coDEbmin,coRMS_10,coTpk_10,coSNRpeak_10,ImagingDate_10,coRMS_20,coTpk_20,coSNRpeak_20,ImagingDate_20
NGC6004,3785.0,4.5,7,5.06,4.13,54.7,506,9.25,02/13/16 13:32:42 CST,42.7,383,8.97,06/08/16 22:17:03 CDT
NGC6021,4674.9,2.23,7,4.54,4.02,71.9,338,4.71,02/13/16 13:47:52 CST,56.8,241,4.25,06/08/16 22:25:02 CDT
NGC6027,4370.1,3.01,7,4.89,3.99,58.7,279,4.74,02/13/16 14:05:33 CST,46.3,216,4.67,06/08/16 22:35:19 CDT
NGC6060,4449.1,4.25,7,4.75,3.67,52.6,528,10.05,02/13/16 14:22:41 CST,40.5,510,12.57,06/08/16 22:44:40 CDT
NGC6063,2831.1,3.02,7,5.32,4.32,65.9,325,4.93,02/13/16 14:36:59 CST,51.9,237,4.57,06/08/16 22:52:37 CDT
NGC6081,5032.1,4.0,7,4.72,4.22,62.3,289,4.64,02/13/16 14:51:22 CST,48.8,197,4.04,06/08/16 23:01:19 CDT
NGC6125,4555.8,4.01,7,5.43,3.85,48.9,216,4.41,02/13/16 15:07:18 CST,38.6,160,4.14,06/08/16 23:10:39 CDT
NGC6146,8505.6,2.94,7,5.18,3.99,46.6,233,5.0,02/13/16 15:23:30 CST,36.6,153,4.18,06/08/16 23:19:28 CDT
NGC6155,2400.2,4.66,7,5.57,3.78,54.1,518,9.58,02/13/16 15:41:01 CST,42.3,437,10.31,06/08/16 23:28:51 CDT
NGC6168,2555.2,4.04,7,5.0,4.0,63.2,310,4.9,02/13/16 15:56:23 CST,49.0,260,5.32,06/08/16 23:37:14 CDT
NGC6186,2917.4,4.02,7,4.85,4.17,62.3,1218,19.54,02/13/16 16:14:09 CST,49.0,1122,22.87,06/08/16 23:46:54 CDT
NGC6301,8148.2,3.97,7,4.84,4.13,43.6,308,7.06,02/13/16 16:28:59 CST,33.3,262,7.86,06/08/16 23:55:27 CDT
NGC6310,3370.9,3.99,7,5.12,3.79,58.9,292,4.96,02/13/16 16:45:05 CST,46.4,220,4.74,06/09/16 00:04:16 CDT
NGC6314,6530.0,3.99,7,4.41,3.87,39.7,277,6.98,02/13/16 16:59:18 CST,31.2,239,7.66,06/09/16 00:12:42 CDT
NGC6361,3777.3,6.87,13,5.54,3.98,41.5,1254,30.19,02/13/16 17:30:37 CST,32.2,1123,34.86,06/09/16 00:30:51 CDT
NGC6394,8350.0,3.17,7,5.65,3.92,44.6,270,6.05,02/13/16 17:55:50 CST,35.2,248,7.05,06/09/16 00:44:25 CDT
NGC6478,6645.4,5.35,10,4.88,4.02,49.1,695,14.15,02/13/16 18:19:08 CST,37.8,574,15.18,06/09/16 00:57:27 CDT
NGC7738,6613.0,13.35,7,4.44,3.61,34.0,886,26.04,02/13/16 18:42:41 CST,26.7,882,33.07,06/09/16 01:10:42 CDT
NGC7819,4917.6,4.02,7,4.6,3.71,50.6,454,8.99,02/13/16 18:59:19 CST,39.9,360,9.01,06/09/16 01:20:15 CDT
UGC00809,4142.1,3.98,7,4.25,3.62,62.7,296,4.72,02/13/16 19:15:25 CST,47.7,250,5.25,06/09/16 01:29:07 CDT
UGC03253,4070.9,5.31,7,6.81,4.37,40.7,221,5.44,02/13/16 19:31:34 CST,31.6,223,7.06,06/09/16 01:37:40 CDT
UGC03539,3270.9,4.03,7,5.63,4.42,47.9,609,12.7,02/13/16 19:48:30 CST,37.1,487,13.13,06/09/16 01:47:19 CDT
UGC03969,7910.0,3.68,7,5.38,4.14,43.0,316,7.34,02/13/16 20:04:57 CST,33.9,251,7.41,06/09/16 01:56:20 CDT
UGC03973,6453.5,3.99,7,4.62,4.5,44.7,254,5.68,02/13/16 20:19:45 CST,35.0,209,5.96,06/09/16 02:04:19 CDT
UGC04029,4383.0,3.98,7,4.9,3.96,47.8,482,10.07,02/13/16 20:35:12 CST,37.2,446,11.99,06/09/16 02:13:34 CDT
UGC04132,5119.4,4.01,7,5.48,3.96,48.8,728,14.94,02/13/16 20:54:16 CST,37.9,675,17.82,06/09/16 02:24:28 CDT
UGC04280,3469.7,4.01,7,4.77,4.51,56.8,290,5.11,02/13/16 21:11:01 CST,43.7,249,5.68,06/09/16 02:33:24 CDT
UGC04461,4906.5,3.99,7,4.88,4.22,53.1,376,7.09,02/13/16 21:27:23 CST,41.4,352,8.52,06/09/16 02:42:51 CDT
UGC05108,7913.4,3.98,7,5.47,4.38,36.1,251,6.97,02/13/16 21:43:33 CST,27.5,229,8.34,06/09/16 02:52:17 CDT
