# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: Refcode, datatype: string, description: Ref Code for spectrum}
# - {name: Vsys, unit: km / s, datatype: float32, description: 'Vsys from LEDA, optical barycentric'}
# - {name: Deltav, unit: km / s, datatype: float32, description: Velocity channel width}
# - {name: Robust_rms, unit: mJy, datatype: float32, description: rms noise from mad_std over noise region}
# - {name: RefInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over fixed window of +/- 600.0}
# - {name: RefUnc, unit: Jy km / s, datatype: float32, description: uncertainty in RefInt}
# - {name: SigInt, unit: Jy km / s, datatype: float32, description: integrated HI flux over get_signal_range window}
# - {name: SigUnc, unit: Jy km / s, datatype: float32, description: uncertainty in SigInt}
# - {name: SigVmin, unit: km / s, datatype: float32, description: signal start from get_signal_range}
# - {name: SigVmax, unit: km / s, datatype: float32, description: signal end from get_signal_range}
# - {name: BadFlag, datatype: bool, description: True for poor signal}
# delimiter: ','
# schema: astropy-2.0
Name,Refcode,Vsys,Deltav,Robust_rms,RefInt,RefUnc,SigInt,SigUnc,SigVmin,SigVmax,BadFlag
NGC6004,edge2015,3818.8,10.4648,1.61112,2.67177,0.180016,2.51586,0.0892149,3677.6,3977.01,False
NGC6021,edge2015,4740.2,10.5275,0.918052,1.46492,0.102738,1.38962,0.0869832,4490.04,5353.02,False
NGC6027,edge2015,4415.8,10.5062,1.33937,4.30802,0.149584,3.66478,0.0878778,4256.11,4671.8,False
NGC6060,edge2015,4404.3,10.5118,1.56076,26.9288,0.174401,26.368,0.11601,4179.46,4714.04,False
NGC6063,edge2015,2844.9,10.3979,1.85877,7.85622,0.20636,7.1729,0.109332,2679.47,3014.97,False
NGC6081,edge2015,5113.3,10.5533,2.02685,0.22078,0.226369,0.200473,0.320848,3936.6,6331.45,True
NGC6125,edge2015,4810.0,10.5196,0.729084,-0.0300775,0.0815295,-0.0322834,0.0785905,4228.37,5343.55,True
NGC6132,shg2005,4965.2,8.6,4.07226,7.21619,0.412897,7.28862,0.237527,4785.46,5185.21,False
NGC6146,edge2015,8816.8,10.8053,1.76762,-2.81892,0.200318,-2.17634,0.264652,8021.45,10114.5,True
NGC6154,shg2005,5965.7,11.3,3.36521,5.18913,0.38966,4.85607,0.161334,5870.58,6077.33,False
NGC6155,edge2015,2413.7,10.3684,1.14315,4.98102,0.126552,4.69181,0.0592634,2283.36,2551.31,False
NGC6168,edge2015,2523.2,10.3789,1.70578,6.65929,0.189855,7.83517,0.0969692,2361.45,2679.37,False
NGC6186,edge2015,2936.5,10.4042,1.68028,3.06546,0.187474,2.68205,0.100427,2793.81,3134.79,False
NGC6301,edge2015,8360.9,10.7791,1.28958,4.39398,0.14579,4.9636,0.0963054,8080.21,8596.35,False
NGC6310,edge2015,3400.1,10.4362,1.10355,2.04059,0.122966,2.23845,0.0789556,3158.59,3655.76,False
NGC6314,edge2015,6620.3,10.6902,1.68545,3.33292,0.18983,2.99156,0.0936234,6552.44,6841.67,False
NGC6361,edge2015,3798.9,10.4647,1.49132,14.5933,0.166629,14.5499,0.110353,3555.89,4082.48,False
NGC6394,edge2015,8522.4,10.8114,0.893671,1.50251,0.101794,1.42561,0.0754613,8130.32,8802.66,False
NGC6478,edge2015,6776.0,10.6695,1.74162,6.14392,0.195776,6.2707,0.136551,6486.06,7066.75,False
NGC6497,edge2015,6162.0,10.4183,0.97299,0.0,0.0,0.200932,0.158019,1922.48,4482.39,True
NGC6762,edge2015,2923.9,10.4035,1.06316,-0.928288,0.118094,-0.840805,0.182415,1526.02,4392.77,True
NGC7738,shg2005,6801.1,8.7,7.76468,2.18397,0.790685,2.02082,0.47767,6561.58,7001.14,True
NGC7819,shg2005,4955.8,8.6,2.74074,9.10297,0.276889,8.96539,0.139444,4822.06,5128.32,False
UGC00809,shg2005,4205.8,8.5,2.91124,5.0273,0.292793,4.92035,0.164143,4031.96,4407.18,False
UGC00841,shg2005,5573.3,8.6,2.15348,2.62438,0.191572,2.49702,0.118585,5411.53,5771.02,False
UGC00987,shg2005,4656.1,8.6,2.28677,5.46192,0.231025,5.29696,0.141815,4447.07,4895.16,False
UGC03253,edge2015,4123.7,10.4855,1.1586,7.11073,0.12914,7.28344,0.0748881,3919.38,4322.98,False
UGC03539,edge2015,3304.5,10.4291,1.37933,7.29617,0.153592,7.47181,0.085104,3125.97,3492.32,False
UGC03899,edge2015,3884.0,10.4683,0.943141,-4.96877,0.104953,1.57522,0.0312216,3739.32,3841.33,True
UGC03944,shg2005,3898.5,8.3,5.47036,7.25763,0.541051,6.93817,0.283548,3744.03,4071.95,False
UGC03969,edge2015,8169.0,10.7694,0.826678,1.75739,0.0937975,1.80152,0.0616808,7882.48,8398.42,False
UGC03973,edge2015,6653.5,10.6953,1.49158,3.00046,0.168829,2.99533,0.076507,6540.95,6784.91,False
UGC03995,edge2015,4763.4,10.5295,1.00453,6.31601,0.112438,6.17304,0.0732815,4492.88,5002.25,False
UGC04029,edge2015,4417.0,10.5075,1.91164,11.4734,0.213522,10.8209,0.123821,4213.81,4626.94,False
UGC04054,edge2015,2121.1,10.3805,0.959728,10.1269,0.106836,9.72809,0.0536495,1964.73,2271.36,False
UGC04132,edge2015,5195.2,10.5599,1.38275,9.08329,0.155217,9.04494,0.109269,4934.05,5532.08,False
UGC04280,edge2015,3512.3,10.4742,1.08908,3.82179,0.121796,3.53618,0.0703192,3309.25,3714.88,False
UGC04461,edge2015,4987.6,10.544,0.899469,6.66374,0.100817,7.00464,0.0544816,4821.45,5177.94,False
UGC05111,m2014,6731.3,5.3447,1.12715,2.53002,0.0899616,2.65412,0.0587174,6479.17,6991.18,False
UGC05244,edge2015,3014.4,10.4085,0.812342,5.69815,0.0902778,6.02354,0.0463116,2868.41,3178.88,False
UGC05359,edge2015,8470.9,10.7857,1.00077,5.15187,0.113208,5.28723,0.0739996,8217.99,8723.13,False
UGC05396,shg2005,5402.2,8.5,2.97825,5.11086,0.300601,5.11915,0.171696,5215.69,5605.96,False
UGC05498NED01,edge2015,6295.8,10.6345,0.988146,3.09887,0.111211,3.14099,0.0765026,6027.44,6595.67,False
UGC05598,edge2015,5636.6,10.5874,1.09591,4.53466,0.122794,4.42156,0.0705777,5435.14,5826.55,False
UGC05990,edge2015,1571.9,10.3131,1.52203,2.56125,0.169059,2.52515,0.0784838,1440.24,1704.48,False
UGC06312,edge2015,6330.9,10.6364,0.886254,4.57261,0.0997612,5.12463,0.0679758,6079.19,6638.71,False
UGC07012,shg2005,3073.2,8.4,3.52622,10.5076,0.354207,10.0585,0.164919,2954.57,3211.18,False
UGC07145,edge2015,6639.7,10.6581,1.52666,3.68809,0.172198,3.15437,0.101614,6441.27,6862.01,False
UGC08004,shg2005,6183.4,8.5,2.00848,4.35435,0.201277,4.68208,0.107973,6017.45,6360.57,False
UGC08107,edge2015,8296.1,10.7733,2.61187,5.15159,0.29512,5.35607,0.248513,7852.48,8698.87,False
UGC08250,edge2015,5267.6,10.5636,1.21574,2.48126,0.135914,3.21496,0.0715048,5109.93,5439.41,False
UGC08267,edge2015,7261.8,10.7002,1.90487,-0.361575,0.214744,-0.220648,0.331804,5839.86,8704.6,True
UGC08778,edge2015,3229.8,10.4242,1.47382,1.83421,0.164037,1.60434,0.0947067,3045.77,3446.43,False
UGC09067,shg2005,7840.4,8.6,1.2488,2.32797,0.126619,2.65415,0.0774447,7617.63,8066.17,False
UGC09476,shg2005,3270.7,2.7,8.35498,8.34929,0.45454,8.88138,0.238736,3141.9,3435.93,False
UGC09537,shg2005,8820.5,8.7,2.62702,11.5941,0.268487,11.2625,0.204422,8469.1,9173.11,False
UGC09542,shg2005,5458.2,11.3,3.6177,6.88137,0.418895,6.74937,0.241849,5261.62,5659.91,False
UGC09598,shg2005,5577.3,11.4,2.80879,3.96526,0.328109,3.60872,0.199966,5365.33,5814.0,False
UGC09665,shg2005,2557.6,11.1,6.36867,23.2337,0.731246,23.0944,0.509769,2374.23,2957.14,False
UGC09759,shg2005,3427.3,11.2,2.75275,11.3814,0.318916,11.1722,0.174405,3242.74,3606.59,False
UGC09873,shg2005,5618.2,11.3,2.40226,4.99973,0.278159,4.53674,0.15114,5433.6,5783.67,False
UGC09892,edge2015,5658.2,10.6131,1.62896,4.09892,0.182963,3.54152,0.105161,5474.99,5873.29,False
UGC09919,edge2015,3177.7,10.4201,1.19564,3.53526,0.133023,3.81594,0.0682392,3031.5,3346.79,False
UGC10043,edge2015,2156.9,10.3509,1.66808,20.211,0.185159,20.8159,0.105026,1964.43,2352.73,False
UGC10123,edge2015,3750.7,10.4606,0.955064,5.75357,0.10667,5.80852,0.067759,3516.61,4000.84,False
UGC10205,edge2015,6563.6,10.6535,1.36465,2.21575,0.153172,2.20496,0.192325,6224.61,8118.84,False
UGC10257,shg2005,3827.4,11.3,2.9019,7.45771,0.337609,7.39802,0.188372,3635.22,4008.29,False
UGC10297,shg2005,2305.4,8.5,2.4205,3.56465,0.24517,3.51746,0.119967,2181.41,2471.62,False
UGC10331,edge2015,4472.1,10.5146,0.908659,6.25291,0.101562,5.86987,0.0588958,4218.27,4617.71,False
UGC10337,shg2005,8758.9,8.7,1.52797,3.01177,0.155595,2.8539,0.112012,8469.01,9095.36,False
UGC10380,edge2015,8750.3,10.8053,1.99224,4.86794,0.225774,4.10167,0.159646,8451.04,9047.89,False
UGC10384,edge2015,4961.4,10.5414,1.01898,8.0401,0.114183,7.79214,0.0679349,4749.06,5178.64,False
UGC10650,shg2005,2964.1,5.3,5.89379,4.68536,0.446155,4.20422,0.190008,2879.55,3076.03,False
UGC10710,edge2015,8327.5,10.7794,1.54396,3.59579,0.175344,3.74559,0.120014,8048.18,8617.02,False
UGC10972,shg2005,4651.6,8.4,2.16549,8.50452,0.215996,8.39796,0.134901,4425.86,4889.45,False
UGC12864,shg2005,4683.0,8.6,4.64714,10.5818,0.45392,10.6954,0.2431,4533.19,4859.63,False
