# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_natv, unit: km / s, datatype: float64, format: .3f, description: 'Velocity, VRAD, LSRK'}
# - {name: coNomaskSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: coNomaskUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: coDilatedSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: coDilatedUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: coSmoothSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: coSmoothUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: coMask2dSpec_natv, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: coMask2dUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# - {name: cottNomaskSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Unmasked spectrum}
# - {name: cottNomaskUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Unmasked spectrum}
# - {name: cottDilatedSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Dilated mask spectrum}
# - {name: cottDilatedUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Dilated mask spectrum}
# - {name: cottSmoothSpec_natv, unit: Jy, datatype: float32, format: .5f, description: Smoothed mask spectrum}
# - {name: cottSmoothUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in Smoothed mask spectrum}
# - {name: cottMask2dSpec_natv, unit: Jy, datatype: float32, format: .5f, description: 2D mask spectrum}
# - {name: cottMask2dUnc_natv, unit: Jy, datatype: float32, format: .5f, description: Error in 2D mask spectrum}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-28'}
# - {comments: Integrated CO spectra from de20 cubes}
# schema: astropy-2.0
Name,coVlsr_natv,coNomaskSpec_natv,coNomaskUnc_natv,coDilatedSpec_natv,coDilatedUnc_natv,coSmoothSpec_natv,coSmoothUnc_natv,coMask2dSpec_natv,coMask2dUnc_natv,cottNomaskSpec_natv,cottNomaskUnc_natv,cottDilatedSpec_natv,cottDilatedUnc_natv,cottSmoothSpec_natv,cottSmoothUnc_natv,cottMask2dSpec_natv,cottMask2dUnc_natv
IC0480,4380.000,0.03030,0.24540,0.11640,0.02270,0.13720,0.03920,0.11810,0.06620,0.02380,0.12180,nan,nan,nan,nan,-0.01130,0.01630
IC0480,4400.000,-0.11460,0.24540,0.18950,0.02590,0.18470,0.04350,0.14740,0.06620,-0.00180,0.12180,-0.00030,0.00290,-0.00110,0.00260,-0.02030,0.01630
IC0480,4420.000,0.09920,0.24540,0.29420,0.02680,0.32730,0.04450,0.30500,0.06620,-0.01590,0.12180,0.00840,0.00540,0.01250,0.00880,0.01550,0.01630
IC0480,4440.000,0.24340,0.24540,0.28250,0.02520,0.30790,0.04400,0.29330,0.06620,-0.04970,0.12180,0.01410,0.00660,0.01450,0.01030,-0.00210,0.01630
IC0480,4460.000,0.00210,0.24540,0.23470,0.02360,0.18170,0.04560,0.18600,0.06620,-0.06970,0.12180,0.02260,0.00680,0.03870,0.01260,0.03960,0.01630
IC0480,4480.000,0.18540,0.24540,0.24850,0.02270,0.23270,0.04450,0.27600,0.06620,0.04220,0.12180,0.01620,0.00650,0.02250,0.01420,0.01170,0.01630
IC0480,4500.000,0.16210,0.24540,0.24280,0.02160,0.29900,0.04520,0.22940,0.06620,-0.03560,0.12180,0.02400,0.00760,0.03640,0.01450,0.03680,0.01630
IC0480,4520.000,0.26850,0.24540,0.25120,0.02130,0.23910,0.04680,0.29530,0.06620,-0.07890,0.12180,0.02990,0.00750,0.05870,0.01480,0.05660,0.01630
IC0480,4540.000,-0.07170,0.24540,0.20070,0.01990,0.21880,0.04450,0.25060,0.06620,0.02050,0.12180,0.01810,0.00670,0.01190,0.01320,0.01290,0.01630
IC0480,4560.000,0.17780,0.24540,0.22830,0.02130,0.26560,0.04030,0.23700,0.06620,-0.02370,0.12180,0.01580,0.00660,0.00890,0.01170,0.01570,0.01630
IC0480,4580.000,0.17850,0.24540,0.25880,0.02310,0.23810,0.03960,0.21010,0.06620,0.04950,0.12180,0.02070,0.00700,0.02030,0.00880,0.02500,0.01630
IC0480,4600.000,0.11680,0.24540,0.24830,0.02400,0.23010,0.04020,0.17520,0.06620,0.04360,0.12180,0.00460,0.00520,0.00540,0.00740,0.00660,0.01630
IC0480,4620.000,0.03060,0.24540,0.23620,0.02370,0.24060,0.04070,0.19620,0.06620,-0.09110,0.12180,0.00050,0.00130,0.00800,0.00590,0.01890,0.01630
IC0480,4640.000,0.05140,0.24540,0.19720,0.02360,0.21100,0.04130,0.13540,0.06620,-0.02960,0.12180,nan,nan,nan,nan,0.02020,0.01630
IC0480,4660.000,0.06150,0.24540,0.17590,0.02440,0.19050,0.04090,0.20360,0.06620,0.05340,0.12180,nan,nan,nan,nan,0.02160,0.01630
IC0480,4680.000,-0.14650,0.24540,0.24050,0.02690,0.27090,0.04250,0.20790,0.06620,-0.03760,0.12180,nan,nan,nan,nan,0.01180,0.01630
IC0480,4700.000,0.27710,0.24540,0.21240,0.02610,0.23840,0.04230,0.20790,0.06620,-0.00370,0.12180,nan,nan,nan,nan,0.00710,0.01630
IC0480,4720.000,-0.11010,0.24540,0.03240,0.02070,0.04040,0.03840,0.02560,0.06620,0.11490,0.12180,nan,nan,nan,nan,-0.00460,0.01630
IC0480,4740.000,-0.04870,0.24540,nan,nan,0.01580,0.03400,-0.01090,0.06620,-0.02040,0.12180,nan,nan,nan,nan,0.01860,0.01630
IC0480,4760.000,0.12190,0.24540,nan,nan,nan,nan,0.00870,0.06620,0.01280,0.12180,nan,nan,nan,nan,-0.02150,0.01630
IC0480,4780.000,-0.34630,0.24540,nan,nan,nan,nan,-0.00420,0.06620,-0.02070,0.12180,nan,nan,nan,nan,-0.00140,0.01630
IC0480,4800.000,-0.12670,0.24540,nan,nan,nan,nan,0.01620,0.06620,-0.03880,0.12180,nan,nan,nan,nan,-0.00810,0.01630
IC0480,4820.000,-0.20500,0.24540,nan,nan,nan,nan,-0.03030,0.06620,-0.05930,0.12170,nan,nan,nan,nan,0.02360,0.01630
IC0480,4840.000,0.06460,0.24540,nan,nan,nan,nan,0.03690,0.06620,-0.07030,0.12170,nan,nan,nan,nan,-0.01700,0.01630
IC0480,4860.000,-0.12690,0.24540,nan,nan,nan,nan,0.08340,0.06620,-0.01680,0.12170,nan,nan,nan,nan,0.00310,0.01630
IC0480,4880.000,0.19910,0.24530,nan,nan,nan,nan,0.05910,0.06620,-0.08470,0.12170,nan,nan,nan,nan,0.00470,0.01630
IC0480,4900.000,-0.16490,0.24530,nan,nan,nan,nan,0.00300,0.06620,0.03340,0.12170,nan,nan,nan,nan,-0.02950,0.01630
