Name,Dname,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
NGC4211NED02,NGC4211NED02,6542.7,0.65,7,8.99,6.31,21.2,34.4,174,5.06,2.00E+02,07/22/15 00:11:50 CDT
IC2487,IC2487,4292.1,0.66,7,11.36,7.84,26.7,27.6,139,5.05,6.99E+03,07/21/15 19:18:10 CDT
UGC05359,UGC05359,8249.5,0.67,7,8.53,6.54,13.1,21.6,109,5.05,3.66E+02,07/22/15 08:34:48 CDT
UGC04280,UGC04280,3469.7,0.66,7,8.33,6.92,19.9,31.9,160,5.02,1.21E+03,07/22/15 08:02:23 CDT
UGC09542,UGC09542,5386.6,0.66,7,8.7,6.17,17.1,29.4,147,5.01,2.43E+03,07/22/15 10:42:57 CDT
NGC6762,,2899.8,0.67,7,9.95,6.28,29.2,43.1,214,4.96,1.44E+03,07/22/15 06:23:30 CDT
NGC6394,NGC6394,8350,0.82,7,9.15,6.87,19.6,28.8,142,4.95,5.67E+02,07/22/15 06:03:59 CDT
NGC3381,NGC3381,1614.9,0.68,7,9.82,6.53,31,44.5,219,4.93,1.78E+03,07/21/15 22:57:49 CDT
UGC05598,UGC05598,5519.8,0.67,7,11.47,8.09,24.9,24.8,122,4.91,8.82E+02,07/22/15 08:53:40 CDT
UGC07012,UGC07012,3031.5,0.65,7,8.58,6.35,20.6,34.9,171,4.9,1.82E+03,07/22/15 09:19:24 CDT
NGC6310,NGC6310,3370.9,0.66,7,9.09,6.64,26.3,40.2,195,4.84,8.58E+02,07/22/15 05:43:20 CDT
NGC5947,NGC5947,5777.4,0.61,1,6.93,5.95,12.1,27,131,4.84,4.94E+02,07/22/15 03:28:38 CDT
NGC5056,NGC5056,5454.1,0.66,7,7.48,6.61,17.1,31.8,153,4.82,9.69E+02,07/22/15 01:16:55 CDT
UGC03973,UGC03973,6453.5,0.66,7,7.66,6.16,18.3,35.7,171,4.79,1.38E+03,07/22/15 07:28:21 CDT
NGC2880,NGC2880,1530.1,0.95,7,8.84,6.28,20.3,33.7,161,4.77,2.98E+02,07/21/15 22:01:14 CDT
UGC10337,,8522.5,0.66,7,8.39,6.36,19.1,32.9,156,4.73,2.21E+02,07/22/15 12:19:35 CDT
NGC5406,NGC5406,5302.2,0.68,7,10.14,6.38,18.7,26.6,126,4.73,1.86E+03,07/22/15 01:45:16 CDT
NGC1167,NGC1167,4851.2,0.98,7,7.86,6.76,26.2,45.5,214,4.71,1.19E+03,07/21/15 20:30:39 CDT
NGC6314,NGC6314,6530,0.67,7,7.77,6.13,18.8,36.5,171,4.7,2.34E+02,07/22/15 05:49:18 CDT
NGC6125,NGC6125,4555.8,0.67,7,8.81,6.29,20.6,34.2,161,4.7,1.65E+02,07/22/15 04:43:41 CDT
UGC10710,UGC10710,8153.9,0.66,7,7.61,7.26,16,26.8,124,4.64,1.15E+03,07/22/15 12:45:45 CDT
NGC3687,NGC3687,2480.2,0.66,7,7.37,6.39,23.6,46.2,213,4.62,1.40E+03,07/21/15 23:11:11 CDT
UGC05108,UGC05108,7913.4,0.66,7,8.34,6.12,18.9,34.1,157,4.62,1.04E+03,07/22/15 08:14:58 CDT
NGC0477,NGC0477,5751.4,0.67,7,7.03,6.64,16.5,32.6,150,4.61,5.78E+02,07/21/15 19:50:47 CDT
NGC3303,NGC3303,6150,0.67,7,7.14,6.51,17.6,34.8,160,4.59,5.55E+02,07/21/15 22:51:14 CDT
NGC2604,,2067,0.67,7,8.03,6.47,20.7,36.7,168,4.58,1.49E+01,07/21/15 21:28:23 CDT
UGC05396,,5325.5,0.67,7,7.37,6.61,19,35.9,162,4.53,5.94E+01,07/22/15 08:41:14 CDT
NGC2918,NGC2918,6615.2,0.67,7,7.49,6.35,21.5,41.7,188,4.52,2.46E+02,07/21/15 22:21:44 CDT
UGC08004,,6070.7,0.44,7,9.33,6.57,25.5,38.3,173,4.52,9.02E+02,07/22/15 09:31:36 CDT
NGC6154,,5850.4,1.29,7,6.86,6.64,10.3,20.9,94,4.52,1.58E+02,07/22/15 05:03:40 CDT
UGC10650,,2931,0.53,7,8.43,6.34,29.5,50.8,230,4.51,1.39E+02,07/22/15 12:39:41 CDT
NGC5485,NGC5485,1900.3,0.64,1,7.35,5.64,20.1,44.7,201,4.5,5.35E+02,07/22/15 01:55:52 CDT
NGC6032,,4281.8,0.46,7,7.2,6.65,22.7,43.7,196,4.49,1.33E+03,07/22/15 04:18:58 CDT
UGC09892,UGC09892,5569.7,0.66,7,8.89,6.1,17.3,29.3,131,4.47,2.41E+02,07/22/15 11:21:23 CDT
IC0540,IC0540,2056.6,0.33,7,7.4,6.59,32.6,61.5,274,4.45,7.12E+02,07/21/15 18:31:29 CDT
NGC5682,NGC5682,2253.9,0.67,7,9.72,7.06,24.7,33.2,148,4.45,1.26E+03,07/22/15 02:34:00 CDT
