# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrot_bsc, unit: km / s, datatype: float64, description: Beam smearing corrected rotation curve}
# - {name: e_Vrot_bsc, unit: km / s, datatype: float64, description: Error in corrected rotation curve}
# delimiter: ','
# meta: !!omap
# - {comments: CO Rotation Curves from 2018MNRAS.477..254L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrot_bsc,e_Vrot_bsc
NGC5218,20.4488,251.579,14.6759,261.681,14.7739
NGC5480,3.16198,89.0781,1.76616,118.679,11.7855
NGC5480,5.58743,96.423,2.19382,87.6959,12.2191
NGC5480,7.51899,109.647,2.15207,115.446,12.1772
NGC5480,9.4542,112.529,1.12869,117.686,11.1283
NGC5480,11.2823,112.263,1.18584,116.423,11.175
NGC5480,13.1838,114.543,3.0456,109.558,13.0469
NGC5480,15.0872,149.014,6.61406,129.393,16.5439
NGC5480,22.5625,124.901,5.56839,122.263,15.5597
NGC5520,3.35837,122.07,4.5241,169.995,4.7484
NGC5520,6.09809,148.895,1.53457,160.221,3.3223
NGC5520,8.19246,154.049,1.97383,162.347,2.67824
NGC5520,10.254,158.216,1.36868,159.861,1.84071
NGC5520,12.2322,161.688,1.16923,163.005,1.5758
NGC5520,14.2271,174.484,5.66293,170.674,6.3183
NGC5520,16.3094,175.657,6.06781,173.808,6.82192
NGC5633,2.05561,79.0495,2.13125,94.7873,2.33372
NGC5633,4.11806,103.881,1.63654,118.851,2.24599
NGC5633,6.14223,127.785,1.15288,133.161,2.23666
NGC5633,8.20022,145.121,0.706928,146.743,1.43295
NGC5633,10.2488,163.834,0.796396,171.735,1.80435
NGC5633,12.3076,173.399,0.507512,175.818,1.01868
NGC5633,14.3873,182.383,0.443023,180.904,0.525401
NGC5633,16.4144,191.379,1.30103,191.41,1.55936
NGC5784,3.38843,187.052,25.0505,361.147,25.0057
NGC5784,6.02665,299.84,5.23886,336.614,5.24977
NGC5784,8.02303,313.291,3.19996,324.124,3.21738
NGC5784,10.107,311.154,6.41709,330.526,6.42082
NGC5784,12.1804,322.93,4.56356,332.384,4.48922
NGC5784,17.0733,323.944,28.6232,315.94,28.761
NGC5908,4.63571,88.3046,3.6284,98.1564,6.17794
NGC5908,8.81161,165.184,7.17956,181.318,4.91142
NGC5908,11.5991,205.286,5.55787,226.607,3.61656
NGC5908,13.6491,235.959,3.80961,256.273,3.38222
NGC5908,15.4577,257.896,4.49479,281.325,3.73184
NGC5908,17.2353,274.298,3.97345,299.865,2.57027
NGC5908,19.1796,284.689,4.25034,312.045,2.78995
NGC5908,21.0661,286.889,3.4882,308.469,2.60823
NGC5908,23.0056,286.176,3.36196,299.611,2.72371
NGC5908,24.8933,288.193,3.56471,296.898,2.60635
NGC5908,26.8182,295.55,3.17229,300.348,2.28282
NGC5908,28.7986,307.461,2.19242,309.721,1.45533
NGC5908,30.8477,319.371,2.78116,322.445,1.42917
NGC5908,32.8275,327.103,4.78173,334.502,2.09857
NGC5908,34.6606,321.469,7.10689,338.008,2.55553
NGC5908,36.6143,306.99,11.0807,331.913,4.25373
NGC5908,38.5789,283.415,18.2191,314.081,8.9256
NGC5980,3.17753,117.747,4.1372,145.412,6.17351
NGC5980,5.78455,172.492,3.60726,198.877,3.33624
NGC5980,7.81048,192.557,2.29495,211.381,4.02226
NGC5980,9.73237,204.222,1.38989,213.975,2.37799
NGC5980,11.4815,208.98,1.23828,213.949,1.53865
NGC5980,13.3158,211.444,0.907733,217.719,0.967257
NGC5980,15.3143,211.251,0.773455,215.979,1.26116
NGC5980,17.3145,211.795,0.613466,214.078,0.683593
NGC5980,19.2506,213.005,0.527125,212.789,0.567442
NGC5980,21.2231,213.895,0.637388,212.98,0.687453
NGC5980,23.1856,214.992,0.770176,215.794,0.783
NGC5980,25.1507,218.704,1.2321,222.604,1.45432
NGC6060,3.17767,139.888,5.49846,171.556,6.54633
NGC6060,5.80532,198.478,3.54866,232.368,4.71561
NGC6060,7.85884,215.592,5.17959,233.505,3.63882
NGC6060,9.89981,213.101,2.06278,217.524,2.48374
NGC6060,11.9649,215.739,3.79828,220.016,5.9792
NGC6060,14.0598,191.397,4.356,196.137,4.55518
NGC6060,16.0303,202.621,3.66793,198.815,5.50665
NGC6060,18.0164,197.335,2.14043,191.465,3.09618
NGC6060,20.0076,162.693,3.11614,160.968,3.69037
NGC6060,21.9659,187.977,2.27565,186.858,2.28051
NGC6060,24.0372,199.946,1.07781,204.403,1.29957
NGC6060,26.1208,211.179,1.82352,215.995,1.83097
NGC6060,28.0458,216.482,1.91891,221.939,1.9434
NGC6060,30.1418,224.359,1.94983,229.003,2.22381
NGC6168,5.10541,45.2952,6.96502,23.5404,6.993
NGC6168,9.49909,40.2272,1.51257,35.4239,1.51296
NGC6168,12.2726,54.9921,2.80238,53.5753,2.94588
NGC6168,14.4574,64.5044,2.44121,65.1308,2.45621
NGC6168,16.7044,74.7279,3.53906,86.4114,3.5577
NGC6168,23.0272,97.2432,3.52056,101.208,3.5485
NGC6186,3.13621,106.478,1.38302,171.076,11.3949
NGC6186,5.92088,123.387,1.13295,145.722,11.1367
NGC6186,7.93385,120.241,1.52815,131.6,11.517
NGC6186,10.0319,114.909,2.12483,112.966,2.04975
NGC6186,12.0349,127.311,7.54597,132.846,7.58931
NGC6186,14.1798,144.646,16.1594,140.28,16.3122
NGC6186,16.32,147.339,10.5409,121.14,10.6549
NGC6186,34.9625,93.8462,20.8768,136.804,20.9257
NGC6301,3.17112,116.62,7.64203,140.683,9.73852
NGC6301,6.05874,163.992,10.0893,168.82,14.6918
NGC6301,8.10643,173.586,9.64245,188.271,19.9659
NGC6301,10.2026,192.377,4.15119,196.686,5.15233
NGC6301,12.283,210.376,2.37813,214.093,3.19075
NGC6301,14.3051,222.145,1.91801,221.741,2.14041
NGC6301,16.3737,234.197,2.14848,231.21,2.23092
NGC6301,18.4719,245.352,2.11313,250.985,4.41366
NGC6301,20.4831,269.199,2.66484,274.562,3.46831
NGC6301,22.4354,270.856,2.1975,268.38,2.7509
NGC6301,24.6524,249.204,8.53583,249.579,8.37039
NGC6301,26.7179,217.271,61.5384,242.984,50.6087
NGC6394,3.79643,76.4135,6.21974,88.3776,9.54078
NGC6394,6.82405,129.813,9.88818,129.71,14.2082
NGC6394,9.20455,188.049,15.3443,185.688,19.2976
NGC6394,11.4977,248.544,10.6427,261.671,12.9482
NGC6394,13.8462,261.482,7.96612,275.945,10.9427
NGC6394,16.226,272.33,15.6687,271.252,16.4254
NGC6478,3.35185,187.791,4.00397,264.229,4.56008
NGC6478,6.07232,244.872,2.65761,290.851,3.83726
NGC6478,8.06486,244.275,2.74186,278.377,4.74728
NGC6478,10.0666,233.054,1.83032,235.066,2.02153
NGC6478,12.2152,231.111,0.928834,227.272,1.10099
NGC6478,14.3357,237.351,0.634518,234.206,0.747704
NGC6478,16.4298,248.18,0.579784,248.931,0.894041
NGC6478,18.4916,257.954,0.688563,260.024,0.750589
NGC6478,20.501,266.225,0.746093,270.908,0.797488
NGC6478,22.4392,270.931,1.19523,277.552,1.29209
NGC6478,24.6307,267.608,2.45166,277.586,2.52056
NGC6478,26.7788,260.319,3.90247,253.724,3.892
UGC00809,4.19703,69.9746,2.31492,71.3585,2.28301
UGC00809,7.9832,97.1189,4.61753,110.454,4.54932
UGC00809,10.7742,122.869,3.42308,122.783,3.32174
UGC00809,13.4313,120.858,5.44886,110.509,15.4754
UGC03539,3.74728,53.7811,1.90547,64.8006,4.52961
UGC03539,6.72183,93.2378,2.13647,95.8992,3.75226
UGC03539,9.08485,114.836,1.75931,120.563,2.44568
UGC03539,11.4002,130.015,2.31604,137.601,2.49057
UGC03539,13.676,135.016,6.05963,144.842,2.92953
UGC03539,15.8675,121.162,12.3919,150.365,5.05348
UGC03539,18.2926,130.501,14.4458,159.251,20.2476
UGC03539,20.6826,138.482,23.6197,161.011,10.5974
UGC03539,23.1244,121.33,98.6124,156.911,17.5241
UGC03969,5.10783,94.5138,4.09025,89.2072,5.85477
UGC03969,8.65756,156.887,3.864,159.727,4.57735
UGC03969,10.8865,187.108,3.40017,193.782,4.30215
UGC03969,13.0917,207.166,2.91791,217.093,3.40453
UGC03969,15.3022,217.663,3.28427,225.569,4.17143
UGC03969,17.5698,217.576,4.50863,227.111,6.65974
UGC03969,19.7813,203.786,6.68357,215.73,11.0991
UGC04029,4.71277,61.1292,4.73193,85.3384,6.67956
UGC04029,8.02867,97.9094,5.0319,108.09,7.11614
UGC04029,10.2012,108.689,5.70885,102.581,8.90119
UGC04029,12.3525,117.022,4.01955,115.318,5.67256
UGC04029,14.5,132.804,3.30352,133.943,3.55078
UGC04029,16.4868,142.972,5.2748,142.312,8.06327
UGC04029,18.5402,157.476,3.61279,164.762,4.76038
UGC04029,20.608,167.226,3.88025,175.775,5.40138
UGC04029,22.6848,177.222,4.65919,184.814,5.46132
UGC04029,26.6907,184.21,6.2852,190.415,7.51615
UGC04132,3.70538,150.372,5.21771,208.677,5.67938
UGC04132,6.73527,185.655,1.93025,215.499,2.26045
UGC04132,9.06848,202.7,2.384,225.553,5.90552
UGC04132,11.386,211.507,1.51402,221.219,1.89577
UGC04132,13.7446,218.342,1.72602,223.928,2.54432
UGC04132,16.0926,223.337,0.719357,223.169,0.617524
UGC04132,18.4555,229.389,0.964094,227.629,1.0938
UGC04132,20.716,237.506,0.774803,238.609,0.834765
UGC04132,23.1223,246.133,0.922998,248.894,1.03777
UGC04132,25.4371,246.445,1.52709,246.472,1.56587
UGC04132,27.7217,243.831,2.15243,244.051,2.30204
UGC05108,3.62559,158.082,7.86512,187.834,7.92273
UGC05108,6.54702,215.447,8.90402,226.294,8.98275
UGC05108,8.98679,267.24,6.56797,272.833,7.23604
UGC05108,11.1979,296.853,5.13603,309.364,5.60534
UGC05598,3.92359,73.2521,3.85318,91.782,23.9329
UGC05598,6.9954,98.1437,5.12677,110.731,16.3118
UGC05598,9.34283,120.118,7.79926,125.365,12.4872
UGC05598,11.8949,144.578,8.52294,148.582,25.4329
UGC05598,14.2823,178.819,66.1327,149.579,26.1698
UGC08107,3.38748,177.552,4.55832,228.469,6.33635
UGC08107,6.25783,260.49,4.97954,296.67,8.16487
UGC08107,8.35528,291.909,5.9354,320.867,9.97236
UGC08107,10.2257,303.122,5.45364,328.7,7.67313
UGC08107,12.3389,310.126,4.01836,325.039,5.08712
UGC08107,14.4584,316.83,2.76675,320.689,3.17831
UGC08107,16.5365,319.712,4.24266,319.716,5.38284
UGC08107,18.5954,323.801,4.6029,323.479,5.05223
UGC08107,20.6017,351.57,6.10793,339.231,10.7703
UGC09067,3.87128,134.13,5.2929,177.65,7.92149
UGC09067,6.90128,191.816,3.68218,220.063,5.36162
UGC09067,9.15383,204.453,1.90745,209.707,2.25717
UGC09067,11.4015,208.35,2.62765,209.901,3.56768
UGC09067,13.6849,219.211,2.86002,226.705,3.71531
UGC09067,15.8533,231.98,6.40534,230.603,7.29901
UGC09537,4.5289,96.1266,6.65312,96.6597,6.63357
UGC09537,7.93196,154.201,17.2753,183.251,17.2964
UGC09537,10.8577,239.914,3.04575,260.932,13.0115
UGC09537,13.7897,289.619,2.41362,305.932,12.4097
UGC09537,17.4041,287.921,2.8831,293.97,12.881
UGC09537,22.6578,299.016,9.2896,257.921,9.41412
UGC09542,3.46019,51.4252,4.56808,59.9303,4.63288
UGC09542,6.24924,77.8911,3.74902,76.7166,3.75654
UGC09542,10.6428,106.809,3.13867,105.483,3.14847
UGC09542,12.7901,144.91,4.27606,142.122,4.30516
UGC09542,15.0198,145.821,3.52967,137.929,3.57339
UGC09542,17.0068,157.82,5.25018,162.479,5.28557
UGC09542,19.2674,195.603,2.82397,164.287,12.8108
UGC09542,21.3297,257.202,10.1594,185.242,10.1021
UGC09665,3.42167,41.1313,2.61632,43.3631,12.5997
UGC09665,6.93808,67.0876,3.29385,73.3938,13.272
UGC09665,9.5795,80.671,3.19702,80.7291,13.1943
UGC09665,11.5726,99.6569,2.75347,109.196,12.7186
UGC09665,13.656,105.985,2.93999,108.786,13.2205
