# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# delimiter: ','
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7
IC0480,4760.0,0.14607,0.25196,nan,nan,nan,nan,-0.01404,0.06686
IC0480,4780.0,-0.11478,0.25194,nan,nan,nan,nan,0.00014,0.06685
IC0480,4800.0,-0.24048,0.25194,nan,nan,nan,nan,-0.02180,0.06685
IC0480,4820.0,-0.16279,0.25194,nan,nan,nan,nan,0.00775,0.06685
IC0480,4840.0,0.15603,0.25192,nan,nan,nan,nan,0.03064,0.06685
IC0480,4860.0,0.13709,0.25189,nan,nan,nan,nan,0.05067,0.06685
IC0480,4880.0,0.01282,0.25190,nan,nan,nan,nan,-0.00062,0.06685
IC0480,4900.0,0.09181,0.25190,nan,nan,nan,nan,0.01281,0.06685
IC0480,4920.0,-0.11688,0.25190,nan,nan,nan,nan,0.05723,0.06684
IC0540,1620.0,0.05450,0.35271,nan,nan,nan,nan,-0.02624,0.06646
IC0540,1640.0,0.22419,0.35272,nan,nan,nan,nan,0.07503,0.06646
IC0540,1660.0,0.03642,0.35272,nan,nan,nan,nan,-0.01899,0.06645
IC0540,1680.0,0.17244,0.35273,nan,nan,nan,nan,0.03319,0.06645
IC0540,1700.0,-0.28512,0.35273,nan,nan,nan,nan,0.08773,0.06645
IC0540,1720.0,0.11008,0.35273,nan,nan,nan,nan,0.02156,0.06645
IC0540,1740.0,-0.43105,0.35274,nan,nan,nan,nan,0.02906,0.06645
IC0540,1760.0,-0.12370,0.35274,nan,nan,nan,nan,0.09314,0.06644
IC0540,1780.0,0.09759,0.35274,nan,nan,nan,nan,-0.03747,0.06644
IC0540,1800.0,0.18741,0.35275,nan,nan,nan,nan,0.03059,0.06644
IC0540,1820.0,0.79881,0.35275,nan,nan,nan,nan,0.02081,0.06644
